id,book,anchor_verse_id,start_chapter,start_verse,end_chapter,end_verse,ref,verse_count,rule,source,needs_review,created_at,deleted,verse_reference,verse_text,candidate_chars
18158,Rom,28059,1,3,1,3,Rom 1:3,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:3,"concerning his Son, who was descended from David according to the flesh",flesh
18159,Rom,1767,1,4,1,4,Rom 1:4,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:4,"and was declared to be the Son of God in power according to the Spirit of holiness by his resurrection from the dead, Jesus Christ our Lord,","dead, holiness, power, spirit/breath: spirit"
18160,Rom,9180,1,5,1,5,Rom 1:5,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:5,"through whom we have received grace and apostleship to bring about the obedience of faith for the sake of his name among all the nations,","faith, grace, name, obedience"
18161,Rom,1769,1,7,1,7,Rom 1:7,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:7,To all those in Rome who are loved by God and called to be saints: Grace to you and peace from God our Father and the Lord Jesus Christ.,"beloved, grace, peace"
18162,Rom,1770,1,8,1,8,Rom 1:8,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:8,"First, I thank my God through Jesus Christ for all of you, because your faith is proclaimed in all the world.",faith
18163,Rom,22901,1,9,1,9,Rom 1:9,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:9,"For God is my witness, whom I serve with my spirit in the gospel of his Son, that without ceasing I mention you",spirit/breath: spirit
18164,Rom,18544,1,10,1,10,Rom 1:10,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:10,"always in my prayers, asking that somehow by God’s will I may now at last succeed in coming to you.","prayer, to pray, will/desire"
18165,Rom,18457,1,11,1,11,Rom 1:11,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:11,"For I long to see you, that I may impart to you some spiritual gift to strengthen you —","to long for, to perceive: understand"
18166,Rom,22668,1,12,1,12,Rom 1:12,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:12,"that is, that we may be mutually encouraged by each other’s faith, both yours and mine.",faith
18167,Rom,18594,1,13,1,13,Rom 1:13,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:13,"I do not want you to be unaware, brothers, that I have often intended to come to you ( but thus far have been prevented ), in order that I may reap some harvest among you as well as among the rest of the Gentiles.",to will/desire
18168,Rom,23151,1,14,1,14,Rom 1:14,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:14,"I am under obligation both to Greeks and to barbarians, both to the wise and to the foolish.","foolish, wise"
18169,Rom,23418,1,15,1,15,Rom 1:15,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:15,So I am eager to preach the gospel to you also who are in Rome.,to speak good news
18170,Rom,22638,1,16,1,16,Rom 1:16,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:16,"For I am not ashamed of the gospel, for it is the power of God for salvation to everyone who believes, to the Jew first and also to the Greek.","be ashamed of, power, salvation, to trust (in)"
18171,Rom,22669,1,17,1,17,Rom 1:17,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:17,"For in it the righteousness of God is revealed from faith for faith, as it is written, “The righteous shall live by faith.”","faith, righteousness"
18172,Rom,565,1,18,1,18,Rom 1:18,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:18,"For the wrath of God is revealed from heaven against all ungodliness and unrighteousness of men, who by their unrighteousness suppress the truth.",wrath
18173,Rom,22902,1,19,1,19,Rom 1:19,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:19,"For what can be known about God is plain to them, because God has shown it to them.",acquainted with
18174,Rom,24051,1,20,1,20,Rom 1:20,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:20,"For his invisible attributes, namely, his eternal power and divine nature, have been clearly perceived, ever since the creation of the world, in the things that have been made. So they are without excuse.","power, to perceive, to understand"
18175,Rom,8024,1,21,1,21,Rom 1:21,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:21,"For although they knew God, they did not honor him as God or give thanks to him, but they became futile in their thinking, and their foolish hearts were darkened.","heart, reasoning, senseless, to darken, to glorify, to know"
18176,Rom,23167,1,22,1,22,Rom 1:22,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:22,"Claiming to be wise, they became fools,","be foolish, wise"
18177,Rom,16159,1,23,1,23,Rom 1:23,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:23,and exchanged the glory of the immortal God for images resembling mortal man and birds and animals and creeping things.,"image, likeness"
18178,Rom,17156,1,24,1,24,Rom 1:24,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:24,"Therefore God gave them up in the lusts of their hearts to impurity, to the dishonoring of their bodies among themselves,","desire, heart, impurity, to deliver, to dishonor"
18179,Rom,22903,1,25,1,25,Rom 1:25,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:25,"because they exchanged the truth about God for a lie and worshiped and served the creature rather than the Creator, who is blessed forever! Amen.","lie, to worship"
18180,Rom,22904,1,26,1,26,Rom 1:26,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:26,For this reason God gave them up to dishonorable passions. For their women exchanged natural relations for those that are contrary to nature;,"dishonour, passion, to deliver"
18181,Rom,17241,1,27,1,27,Rom 1:27,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:27,"and the men likewise gave up natural relations with women and were consumed with passion for one another, men committing shameless acts with men and receiving in themselves the due penalty for their error.",lust
18182,Rom,19416,1,28,1,28,Rom 1:28,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:28,"And since they did not see fit to acknowledge God, God gave them up to a debased mind to do what ought not to be done.","knowledge, mind, to deliver"
18183,Rom,20,1,29,1,29,Rom 1:29,1,char-continuity,passage-build,0,2026-07-19T06:29:06Z,0,Rom 1:29,"They were filled with all manner of unrighteousness, evil, covetousness, malice. They are full of envy, murder, strife, deceit, maliciousness. They are gossips,","deceit, envy, evil, malice, quarrel, sexual sin"
