id,run_id,table_name,op,where_json,set_json,before_json,applied_at
1,TEST-PROPOSE-2,cfg_setting,insert,{},"{""key"": ""configmaint.selftest"", ""value"": ""\""hello\"""", ""use"": ""self-test row, safe to delete""}",,2026-07-21T14:26:04Z
2,TEST-CLEANUP-1,cfg_setting,delete,"{""key"": ""configmaint.selftest""}",{},"{""key"": ""configmaint.selftest"", ""value"": ""\""hello\"""", ""use"": ""self-test row, safe to delete""}",2026-07-21T14:26:46Z
3,RUN-20260721_152758_426-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""configmaint.pstest"", ""value"": ""\""hi\"""", ""use"": ""PS wrapper self-test, safe to delete""}",,2026-07-21T14:28:23Z
4,TEST-CLEANUP-2,cfg_setting,delete,"{""key"": ""configmaint.pstest""}",{},"{""key"": ""configmaint.pstest"", ""value"": ""\""hi\"""", ""use"": ""PS wrapper self-test, safe to delete""}",2026-07-21T14:28:34Z
5,RUN-20260721_180132_479-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""configmaint.pstest2"", ""value"": ""\""hi\"""", ""use"": ""PS escalation wrapper test"", ""module"": ""configmaint""}",,2026-07-21T17:01:49Z
6,RUN-20260721_180157_635-CONFIGMAINT,cfg_setting,delete,"{""key"": ""configmaint.pstest2""}",{},"{""key"": ""configmaint.pstest2"", ""value"": ""\""hi\"""", ""use"": ""PS escalation wrapper test"", ""module"": ""configmaint""}",2026-07-21T17:02:04Z
7,RUN-20260721_202702_475-CONFIGMAINT,cfg_column,update,"{""table_name"": ""candidate_seed"", ""name"": ""tag""}","{""expectation"": ""pattern:candidate.tag_clean_pattern""}","{""table_name"": ""candidate_seed"", ""name"": ""tag"", ""ordinal"": 5, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""IB label carried onto the stamp"", ""expectation"": null, ""source"": null, ""filled_by"": ""candidate.seed""}",2026-07-21T19:27:20Z
8,RUN-20260721_202732_101-CONFIGMAINT,cfg_column,update,"{""table_name"": ""lemma_inventory"", ""name"": ""gloss""}","{""expectation"": ""pattern:candidate.tag_clean_pattern""}","{""table_name"": ""lemma_inventory"", ""name"": ""gloss"", ""ordinal"": 2, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""the lemma's English gloss \u2014 the meaning the net matches on"", ""expectation"": null, ""source"": ""import:lemma-inventory"", ""filled_by"": null}",2026-07-21T19:27:40Z
9,RUN-20260721_202750_696-CONFIGMAINT,cfg_column,update,"{""table_name"": ""strong_sense"", ""name"": ""head""}","{""expectation"": ""nohtml""}","{""table_name"": ""strong_sense"", ""name"": ""head"", ""ordinal"": 1, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""the sense \u2014 THE SPAN'S MEANING"", ""expectation"": null, ""source"": ""derived:call2.mediumDef.head"", ""filled_by"": null}",2026-07-21T19:28:12Z
10,RUN-20260721_202821_756-CONFIGMAINT,cfg_column,update,"{""table_name"": ""span"", ""name"": ""surface""}","{""expectation"": ""notblank""}","{""table_name"": ""span"", ""name"": ""surface"", ""ordinal"": 3, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""the English word this code belongs to; repeats across a word's codes"", ""expectation"": null, ""source"": ""parse:verse.preview"", ""filled_by"": null}",2026-07-21T19:28:29Z
11,RUN-20260721_202837_794-CONFIGMAINT,cfg_column,update,"{""table_name"": ""word_registry"", ""name"": ""word""}","{""expectation"": ""pattern:candidate.tag_clean_pattern""}","{""table_name"": ""word_registry"", ""name"": ""word"", ""ordinal"": 1, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 1, ""is_unique"": 1, ""dflt"": null, ""fk"": null, ""use"": ""the English word"", ""expectation"": null, ""source"": ""run.param.Word"", ""filled_by"": null}",2026-07-21T19:28:50Z
12,RUN-20260721_202935_890-CONFIGMAINT,cfg_column,update,"{""table_name"": ""span_candidate"", ""name"": ""candidate_tag""}","{""expectation"": ""pattern:candidate.tag_clean_pattern""}","{""table_name"": ""span_candidate"", ""name"": ""candidate_tag"", ""ordinal"": 3, ""type"": ""TEXT"", ""is_pk"": 0, ""notnull"": 0, ""is_unique"": 0, ""dflt"": null, ""fk"": null, ""use"": ""the IB label from the seed"", ""expectation"": null, ""source"": ""candidate_seed.tag"", ""filled_by"": null}",2026-07-21T19:29:44Z
13,RUN-20260721_203549_478-CONFIGMAINT,cfg_setting,insert,{},"{""key"": ""validation.show_value_quality"", ""value"": ""true"", ""use"": ""word/book report: include the value-quality section (cfg_column.expectation checks, scoped to this word/book)"", ""module"": ""validation""}",,2026-07-21T19:36:03Z
14,RUN-20260721_203830_211-CONFIGMAINT,cfg_work_package,insert,{},"{""name"": ""candidate-curation"", ""ps_script"": ""iba/app/ps/Candidate-Curate.ps1"", ""runs_over"": ""none""}",,2026-07-21T19:38:40Z
15,RUN-20260721_203853_163-CONFIGMAINT,cfg_step,insert,{},"{""work_package"": ""candidate-curation"", ""ordinal"": 0, ""step"": ""candidate.curate"", ""handler"": ""iba.app.handlers.candidate:curate"", ""scope"": ""none"", ""does"": ""single-row, approval-gated correction on candidate_seed (tag or decision) -- adding a brand-new candidate lemma is the existing cfg_candidate_rule accept route via configmaint.propose""}",,2026-07-21T19:39:04Z
16,RUN-20260721_203916_053-CONFIGMAINT,cfg_write_grant,insert,{},"{""writer"": ""candidate.curate"", ""table_name"": ""candidate_seed""}",,2026-07-21T19:39:27Z
