type,key,file,line,category,file_type,currency,snippet
word,anger,CLAUDE.md,330,other,other,other,python scripts/word_study_extract.py --word anger --anchors H2734
word,anger,Logs/WA-Programme-Session-Log-2026-03-15-evening.md,76,log,session-log,historical,"- `WA-004-anger-data-2026-03-06__1_.json` — no meta block, term_inventory list, verse_classification dict"
word,anger,Logs/WA-Programme-Session-Log-2026-03-15-evening.md,149,log,session-log,historical,"4. **v1.x files** — transform to v2.3, leave as legacy and exclude from cross-registry queries, or document as a known gap? Affects anger, grief (v1), distress — three of the programme's most signific"
word,anger,Logs/WA-SessionLog-VerseContextDesign-v3-20260329.md,64,log,session-log,historical,1. Anger pair (51 shared terms)
word,anger,Logs/WA-SessionLog-VerseContextDesign-v3-20260329.md,95,log,session-log,historical,"**Tight XREF pair (anger/wrath, 51 shared terms):** Verse Context classifies each term's OWNER verses once. Session B sees both words simultaneously — unique term anchors plus shared term profiles. Th"
word,anger,Logs/session-2026-03-22-schema-3.2.0-fixes-and-audit-redesign.md,4,log,session-log,historical,**Focus:** Schema 3.2.0 engine script fixes + audit_word redesign (STEP-master) + anger audit run
word,anger,Logs/session-2026-03-22-schema-3.2.0-fixes-and-audit-redesign.md,87,log,session-log,historical,## 5. Anger Registry 4 — Audit Run
word,anger,Logs/session-2026-03-22-schema-3.2.0-fixes-and-audit-redesign.md,93,log,session-log,historical,Diff report: `outputs/audit_diff_anger_4_20260322_204336.md`
word,anger,Logs/session-2026-03-22-schema-3.2.0-fixes-and-audit-redesign.md,106,log,session-log,historical,### A7 REVIEW items (anger)
word,anger,Logs/session-2026-03-22-schema-3.2.0-fixes-and-audit-redesign.md,119,log,session-log,historical,- Run AUDIT_WORD for all remaining words listed in `docs/orphan_flags_audit.csv` (anger/registry 4 done)
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,12,log,session-log,historical,"First session with Claude Code, replacing GitHub Copilot. Working on the `audit_word` process, specifically the Step 1 STEP data extraction (`word_study_extract.py`). The soul extraction (registry 182"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,25,log,session-log,historical,### 2. Root Cause Analysis — H2734 Missing from Anger Extraction
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,27,log,session-log,historical,"**Problem:** H2734 (חָרָה, ""to be incensed"") was completely absent from the anger extraction output — not included, not excluded, not even in the terms list."
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,31,log,session-log,historical,"2. Tested `get_strongs_for_word(""anger"")` — returns 26 codes, H2734 not among them"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,37,log,session-log,historical,"- **Text search miss:** `get_strongs_for_word(""anger"")` uses `text=+anger` which only finds verses where the ESV uses the literal word ""anger"". The ESV translates חָרָה as ""kindled"", ""burned"", ""incens"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,44,log,session-log,historical,| | `text=+anger` (old) | `meanings=anger` (new) |
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,47,log,session-log,historical,"| What it finds | Verses where ESV uses ""anger"" | Verses where the underlying term *means* anger |"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,82,log,session-log,historical,"**Before (text=+anger):** 229 terms, many spurious anchors (H4616 ""because"", H3824 ""heart"", H0834A ""which"")"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,83,log,session-log,historical,"**After (meanings=anger):** 155 terms, 117 included, 38 excluded"
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,109,log,session-log,historical,1. **Run full anger extraction** with the updated `word_study_extract.py`
word,anger,Logs/session-2026-03-24-claude-code-first-session.md,110,log,session-log,historical,2. **Run `audit_word` for anger** (registry 4) using the new extraction output
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,12,log,session-log,historical,"Continuation from session 2026-03-24. Work focused on three areas: (1) completing the anger/love/fear extraction pipeline from session 1's next steps, (2) a major flag system redesign driven by Claude"
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,18,log,session-log,historical,"### 1. Anger, Love, Fear — Extraction + Audit (Steps from Session 1)"
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,20,log,session-log,historical,**Anger (registry 4):**
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,44,log,session-log,historical,| Anger (4) | 4 | 12 | 62 | 6 (PH2-004-001..006) | 1 |
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,156,log,session-log,historical,| `anger_4_full_20260324.json` | anger | 4 |
word,anger,Logs/session-2026-03-25-claude-code-second-session.md,170,log,session-log,historical,| PATCH-20260324-004-SESSIONB-V1 | Anger (4) | 20 |
word,anger,Logs/session-2026-03-27-claude-code-third-session.md,111,log,session-log,historical,"| 4 | anger | 117 | 3,943 | 6 |"
word,anger,Logs/session-20260324-findings.md,42,log,session-log,historical,## Finding 2 — anger (registry 4) AUDIT_WORD REVIEW items — 24 March 2026
word,anger,Logs/session-20260324-plan.md,128,log,session-log,historical,- `data/discovery/004_anger_step_data_20260323.json` ✓
word,anger,Logs/session-20260324-plan.md,227,log,session-log,historical,- `data/discovery/004_anger_step_data_20260323.json` + `.md` (18:27)
word,anger,README.md,32,other,other,other,"The research corpus centres on **~211 English words** (e.g. anger, love, sorrow, peace) each of which maps to a set of Hebrew/Greek terms. For each term the project captures: occurrence data, verse re"
