question_code,verse_reference,strong,tag,obs_text,created_at
D7.7.1,2Cor.7.12,G0091,answered-no-flag,"The operation-tagged word in this verse is 'wrote' (G1125, T3), initiated by Paul, directed toward the Corinthians; G0091 (wrongdoer/wronged) itself names the parties in view but is not the operation word.",2026-09-22T07:02:21Z
D7.7.1,2Cor.7.12,G4710,not-related-to-meaningful-word,"The operation word 'revealed' (G5319, T3, passive) is directed so that the Corinthians' earnestness becomes visible to themselves, in the sight of God; no human agent initiates the revealing -- it occurs before God as witness.",2026-09-21T17:48:26Z
D7.7.1,2Cor.7.12,G4710,not-related-to-meaningful-word,"The operation word 'revealed' (G5319, T3, passive) is directed so that the Corinthians' earnestness becomes visible to themselves, in the sight of God; no human agent initiates the revealing -- it occurs before God as witness.",2026-09-21T17:48:26Z
D7.7.1,2Cor.8.16,G2588,answered-no-flag,"The operation word is G1325 (put/gave), with God as initiator, directed into Titus's heart -- the heart (G2588) is the recipient location of the action, not itself the actor.",2026-09-22T11:19:09Z
D7.7.1,2Cor.8.16,G4710,answered-no-flag,"In 2Cor.8.16 the operation word G1325 (put, role-T3) is initiated by God (party) directed toward Titus (party, recipient of the heart-placed care) -- G4710 (earnest care) names the content of this divine operation, i.e., what God places in Titus for the sake of the Corinthians.",2026-09-17T16:32:39Z
D7.7.1,2Cor.8.16,G4710,answered-no-flag,"In 2Cor.8.16, the operation word 'put' (G1325) is initiated by God and directed toward Titus's heart, placing G4710 (earnest care) there -- God is the initiator, Titus the recipient/party acted upon.",2026-09-21T18:22:19Z
D7.7.1,2Cor.8.16,G5485,answered-no-flag,"The operation word is G1325 (put/gave), with God as initiator, directed toward Titus's heart -- the action that occasions the thanks (G5485) named in this verse.",2026-09-22T11:19:09Z
D7.7.1,2Cor.8.7,G0026,answered-no-flag,"The operation words are G4052 (excel, twice), directed by the Corinthians toward themselves as agents urged to increase in love and the other listed excellences.",2026-09-22T07:02:21Z
D7.7.1,2Cor.8.7,G1108,not-related-to-meaningful-word,"The operation word 'excel' (G4052) is initiated by the Corinthians toward themselves; knowledge is a named domain of excelling, not the operation itself.",2026-09-22T07:10:45Z
D7.7.1,2Cor.8.7,G3056,answered-no-flag,"The operation words are G4052 (excel, twice), directed by the Corinthians toward themselves as agents urged to increase in speech and the other listed excellences.",2026-09-22T07:02:21Z
D7.7.1,2Cor.8.7,G4102G,answered-no-flag,"The operation words are G4052 (excel, twice), directed by the Corinthians (2nd person plural) toward themselves as agents urged to increase in faith and the other listed excellences.",2026-09-22T07:02:21Z
D7.7.1,2Cor.8.7,G4710,not-related-to-meaningful-word,"σπουδή (M67, dative 'earnestness') is a noun naming a quality the Corinthians already excel in, not itself the operation word in 2Cor.8.7; the operation word is περισσεύω (excel).",2026-09-21T17:48:26Z
