database,table_name,name,ordinal,type,is_pk,notnull,is_unique,dflt,fk,use,expectation,source,filled_by,inactive
iba,word_registry,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,word_registry,word,1,TEXT,0,1,1,,,the English word,pattern:candidate.tag_clean_pattern,run.param.Word,,0
iba,word_registry,source,2,TEXT,0,0,0,,,why it was registered — the growth trigger,,run.param.Source,,0
iba,word_registry,status,3,TEXT,0,0,0,,,registry processing stage,enum.word_status,,registry+raw+signoff,0
iba,word_registry,created_at,4,TEXT,0,0,0,,,when registered,,,registry.create,0
iba,word_registry,deleted,5,INTEGER,0,0,0,0,,soft delete,,,,0
iba,word_strong,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,word_strong,word_id,1,INTEGER,0,1,0,,word_registry.id,the word,,run.context.word_id,,0
iba,word_strong,strong,2,TEXT,0,1,0,,strong.strongNumber,a strong the word returned,,call1.definitions[].strongNumber,,0
iba,word_strong,deleted,3,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong,strongNumber,0,TEXT,1,0,0,,,the resolved Strong's code — the key,,call2.vocabInfos[0].strongNumber,,0
iba,strong,accentedUnicode,1,TEXT,0,0,0,,,the actual Hebrew/Greek word,,call2.vocabInfos[0].accentedUnicode,,0
iba,strong,stepGloss,2,TEXT,0,0,0,,,short English sense,,call2.vocabInfos[0].stepGloss,,0
iba,strong,stepTransliteration,3,TEXT,0,0,0,,,romanised form; never shown without the gloss,,call2.vocabInfos[0].stepTransliteration,,0
iba,strong,language,4,TEXT,0,0,0,,,Hebrew/Greek from the code prefix,,derived:call2.strongNumber,,0
iba,strong,count,5,INTEGER,0,0,0,,,"STEP token frequency — NOT a verse count, may be capped",,call2.vocabInfos[0].count,,0
iba,strong,freqList,6,TEXT,0,0,0,,,raw frequency distribution,,call2.vocabInfos[0].freqList,,0
iba,strong,created_at,7,TEXT,0,0,0,,,when first fetched,,,raw.detail,0
iba,strong,deleted,8,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_sense,strong,0,TEXT,1,0,0,,strong.strongNumber,the strong,,,,0
iba,strong_sense,head,1,TEXT,0,0,0,,,the sense — THE SPAN'S MEANING,nohtml,derived:call2.mediumDef.head,,0
iba,strong_sense,is_own_lemma,2,INTEGER,0,0,0,,,1 = no ': ' head; the code is its own lemma and the gloss is the sense,,derived:call2.mediumDef,,0
iba,strong_sense,deleted,3,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_meaning_tree,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,strong_meaning_tree,lemma_key,1,TEXT,0,1,0,,,the base code the tree belongs to,,derived:call2.strongNumber.base,,0
iba,strong_meaning_tree,sense_code,2,TEXT,0,0,0,,,"the tree position: 1), 1a), 1b1)",,derived:call2.mediumDef.tree,,0
iba,strong_meaning_tree,sense_text,3,TEXT,0,0,0,,,the sense line,pattern:raw.meaning_tree_clean_pattern,derived:call2.mediumDef.tree,,0
iba,strong_meaning_tree,sort,4,INTEGER,0,0,0,,,order within the tree,,derived:call2.mediumDef.tree,,0
iba,strong_meaning_tree,deleted,5,INTEGER,0,0,0,0,,soft delete,,,,0
iba,strong_lexicon,strong,0,TEXT,1,0,0,,strong.strongNumber,the strong,,,,0
iba,strong_lexicon,lsj,1,TEXT,0,0,0,,,LSJ entry (Greek),,call2.vocabInfos[0].lsjDefs,,0
iba,strong_lexicon,mounce,2,TEXT,0,0,0,,,Mounce short def (Greek),,call2.vocabInfos[0].shortDefMounce,,0
iba,strong_lexicon,deleted,3,INTEGER,0,0,0,0,,soft delete,,,,0
iba,verse,id,0,INTEGER,1,0,0,,,surrogate key,,,,0
iba,verse,osisId,1,TEXT,0,1,1,,,"the machine key, e.g. Matt.23.28",,call3.results[].osisId,,0
iba,verse,reference,2,TEXT,0,0,0,,,"human reference, e.g. Mat 23:28",,call3.results[].key,,0
iba,verse,preview,3,TEXT,0,0,0,,,the full interlinear HTML — the source of span,,call3.results[].preview,,0
iba,verse,step_version,4,TEXT,0,0,0,,,provenance — which STEP module,,run.context.step_version,,0
iba,verse,created_at,5,TEXT,0,0,0,,,when first built,,,raw.verses,0
iba,verse,deleted,6,INTEGER,0,0,0,0,,soft delete,,,,0
