node_id,observation_id,node_cluster_code,strong,verse_reference,surface,morph_code,question_code,source_stage,seq,node_created_at,obs_cluster_code,stage,tag,obs_text,meaning_source,status,meaning_keywords,obs_created_at,updated_at
435,319,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.1.1,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"The characteristic is named from Greek argos/argia, 'idle/idleness' — the state of being unproductive, without work or occupation. The name signals essential inertness: a failure to be operative or engaged, rather than active wrongdoing per se.",strong_meaning_tree+lsj+mounce,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
436,320,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.1.2,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"Greek argos (a-ergos, 'not-working') at the definitional level denotes 'not working the ground,' hence idle, lazy, unemployed, or (of things) unwrought/unproductive - money lying idle, land lying fallow. Applied to persons it moves from literal non-labor to moral censure of laziness.",lsj+mounce+strong_meaning_tree,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
437,321,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.1.3,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"The term carries a privative/negative-relational implication built into its etymology (alpha-privative + ergon 'work'): it defines a person or thing by absence of due activity, implying a constitutional failure to fulfill an expected functional role.",lsj+strong_meaning_tree,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
438,322,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.1,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"Primary Greek term argos (a-privative + ergon, 'work') shows the root meaning 'without work.' No distinct Hebrew equivalent is in view here (this is an NT-only cluster term); the Greek root meaning centers on absence of productive activity.",lsj+strong_meaning_tree+mounce,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
449,331,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.10,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"The vocabulary arc runs from concrete economic idleness (unemployed persons, fallow fields, unworked money) through social censure (busybody idlers going house to house, 1Tim 5:13; lazy gluttons, Titus 1:12) to abstract theological application (useless/ineffective faith without works, Jas 2:20) — showing a single root sense of 'non-functioning' extended across physical, social, and spiritual domains.",lsj+strong_meaning_tree,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
9462,8090,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.11,verse-reading,1,2026-09-21T18:11:37Z,M67,verse-reading,no-impact,"This occurrence matches the term's usual NT sense of habitual laziness/idleness (as in Mt.20.3,6; Tit.1.12), here specifically producing gossip and meddling; no divergence from its ordinary use.",strong_meaning_tree,draft,,2026-09-21T18:11:37Z,2026-09-23T05:34:23Z
439,323,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.2,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"Grammatical range is adjectival (A-NPF etc.), used substantivally ('idlers') or predicatively ('is no trouble', 'is useless'). This shows the characteristic operates as a descriptor of persons, things, or states rather than as a verbal action in its own right.",lsj+mounce,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
443,325,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.4,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,The vocabulary here does not itself distinguish disposition versus act; argos describes a state/condition (being unproductive) rather than differentiating received versus given aspects.,lsj+strong_meaning_tree,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
444,326,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.5,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"The structural opposite is implicit in the root itself: ergos/energos ('working, active, effective'), against which argos is formed by negation (a-privative). No separate lexeme is supplied among these sources beyond this internal contrast.",lsj,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
445,327,M67,G0692,1Tim.5.13,idlers,A-NPF,M0.5.6,verse-reading,1,2026-09-17T16:29:40Z,,verse-reading,answered-no-flag,"The person-type term is embedded in the adjective itself used substantivally: 'the idle one/idlers' (hai argoi), as in 1Tim 5:13 and Titus 1:12's 'lazy gluttons' - the word doubles as noun and adjective without a distinct separate person-noun.",lsj+strong_meaning_tree,withdrawn,,2026-09-17T16:29:40Z,2026-09-23T08:55:03Z
