question_code,scope,window,mechanism,placement_verdict,placement_note,payload_verdict,payload_note,instruction_verdict,instruction_issue_type,writeback_verdict,writeback_note,question_text
D1.1.1,Characteristic (HIB behaviour),cognitive,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",COMPLIANT,none,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","In this verse, what does the characteristic reveal about the person's perception, belief, or judgement -- what do they perceive, believe true, or conclude? Record it, or record none."
D1.1.2,Characteristic (HIB behaviour),cognitive,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",COMPLIANT,none,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the verses, does the characteristic consistently precede a judgement or belief, follow one, or both?"
D10.1.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none."
D10.1.2,Other non-human beings,action-impact,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does it show any orientation toward a future fullness the person moves toward, not only what they currently are? Record it, or record none."
D10.2.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none."
D10.2.2,Characteristic (HIB behaviour),action-impact,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show an immediate inner-being response following it, is that response consistent, or does it vary by context?"
D10.3.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none."
D10.3.2,Characteristic (HIB behaviour),action-impact,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-missing,CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","At the characteristic level, how does its sustained effect (D10.3.1) differ from its immediate response (D10.2.1)?"
D10.4.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown."
D10.4.2,Characteristic (HIB behaviour),action-impact,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show it producing transformation in the person, is that transformation reversible or irreversible?"
D10.5.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"Does this verse describe a sequence of inner states the characteristic moves the person through — a before, during, and after — and what are those states? Record none if no sequence is shown."
D10.6.1,Verse-context,action-impact,STRUCTURALLY-UNREACHABLE,WRONG -- NO STAGE SELECTS THIS SCOPE,"No stage's query includes this question's scope at all (Verse-context/The verse/most of Word-term lexical) -- structurally invisible regardless of how many clusters get processed. This is #1806's own ORIGINAL ask, still not redesigned.",N/A,Never presented to any stage -- no payload exists to audit.,COMPLIANT,none,N/A,Never answered by any stage -- no write-back to audit.,"In this verse, by what mechanism does the characteristic produce change — discipline, encounter, gradual formation, sudden transformation, or other? Record none if no mechanism is shown."
D10.6.2,Characteristic (HIB behaviour),action-impact,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,subject-missing;grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses that show a mechanism of change (discipline, encounter, gradual formation, sudden transformation, or other), does that mechanism differ by context, and if so how?"
D11.1.1,Other non-human beings,origin,DYNAMIC-STAGE4,CORRECT,"Answered at Stage 4 (char-answers), scope-selected live from wa_obs_question_catalogue -- auto-tracks catalogue changes.","RISK -- NO OVER-CAP PROTECTION (NEW FINDING, 2026-09-21)","Stage 4 (`charanswergenerate.py`) sends ALL ~52 characteristic-grain questions in ONE call per subgroup, with EVERY corpus-wide occurrence for EVERY member strong (uncapped) plus the full verse-reading + char-subgroup + char-reading observation history for every member strong. Unlike Stage 3, there is NO per-strong occurrence cap and NO splitting mechanism at all -- `charanswergenerate.py` has no equivalent of Stage 3's `_MAX_OCCURRENCES_PER_STRONG`/`_partition_occurrences_by_surface`. Confirmed this session the largest live Stage-4 payload so far (M83/D_consultative_inquiry, 164 occurrences, 1 strong) succeeded at $0.69/call with 6/52 questions left unanswered -- so the mechanism is not broken, but there is no ceiling if a much larger subgroup ever reaches this stage, and no signal before the fact that a given subgroup's payload is approaching a real risk. Flagged, not fixed here -- a genuine build gap for #1806/#1805.",REVISE,grain-vague(evidence),CORRECT,"`cluster_code` = the pass's own cluster_code always (Stage 4 is never front-loaded, `_effective_cluster_code` only overrides M0.1/M0.5 prefixes) -- correct for a genuinely per-cluster/subgroup-scoped stage. `cluster_subgroup_id`/`cluster_subgroup_code` correctly populated from the caller's own known subgroup (confirmed fixed 2026-09-18, previously NULL for all 4 live stages until the researcher's own review caught it). `window` correctly derived from the catalogue's own `window` column and validated against live cfg_enum. Completeness is CODE-computed after write (`compute_question_checks`), not LLM-self-reported -- confirmed live: M83/D_consultative_inquiry and M83/B_intensified_seeking both surfaced real 'N of 52 unanswered' counts in their own run outcome, not silently absorbed.","Across the characteristic's verses, does its role read as belonging to created design, to the fallen condition, to both, or as not determinable?"
