id,step,rule_key,rule_text,source_doc,enforced_by,ordinal,active
1,hib.set,presumptive-candidate,"Every human mentioned -- named or collective, major or minor, however briefly -- is a presumptive candidate: anyone who acts, undergoes an act, thinks, speaks, refrains from acting, or is simply named as present. This holds even where the act looks purely outward, administrative, locational, or incidental -- the inner-being content may be hidden behind the act, with only the act stated in the text.",WA-passage-read-guidance-v1.5 step 2 note f,,0,1
2,hib.set,non-human-scope,"HIB = Human Inner Being. A non-human being can NEVER itself be registered as a HIB, by definition -- not conditionally, not when related to a human. A non-human being (an animal in a symbolic vision, an angel, a voice or other physical medium) may only appear as a source/target/related-object PARTY within a human HIB's own operation (operation_party.kind='non_human') -- never as its own hib row, phenomenon, or operation. Where a vision depicts a human king/kingdom in animal or symbolic form and the text itself resolves that image (e.g. Dan 8:20-23), the HIB is the resolved HUMAN referent, registered from its first (symbolic) appearance onward -- not the animal/image itself as a separate entity. Superseded 2026-08-06 (same day as the first wording): the original text still allowed a non-human being 'in scope' as its own HIB when related to a human (e.g. an angel) -- corrected directly by the researcher: 'a non human by definition cannot be a HIB.'","WA-passage-read-guidance-v1.5 step 2 notes b, d",,1,1
3,hib.set,collective-stays-collective,"A tribe, nation, 'youths', 'gentiles' etc. is recorded as ONE HIB representing the collection -- not decomposed into individuals; any later operation involving it is a movement to/from a collection, not an individual.",WA-passage-read-guidance-v1.5 step 2 note c,,2,1
4,hib.set,referential-named-not-skipped,"Where a party is unnamed but implied by the verse or wider passage, name it as a referential HIB; never assert an inferred identity as settled fact.",WA-passage-read-guidance-v1.5 step 2 note e,,3,1
5,hib.set,referent-crux-resolution,"Where a pronoun or unnamed party is genuinely ambiguous (several readings all grammatically live), enumerate every live reading, give the textual grounds for each, adopt one explicitly (stating whether this is a directed/researcher call or this pass's own default), and keep the rejected alternatives on record.",debate-analytic-process-digest-20260805.md Step 1 (T4 folded in),schema: hib_referent_option,4,1
6,hib.set,six-type-scheme,"Every HIB is typed along two axes: plurality (individual | collection) x specificity (named | unnamed | implicit) = six types: named_individual, unnamed_individual, named_collection, unnamed_collection, implicit_individual, implicit_collection.",nahum-1-inner-being-training-20260803.md (researcher's own training pass),cfg_enum 'hib_kind' + operations.py:_valid_hib_kinds,5,1
7,hib.set,db-compare-adjudicate,"Read the verses in scope; compare the fresh reading against what's already in the DB; validate the list against the DB; where the fresh reading differs, adjudicate and correct the DB -- not blind re-derivation.","researcher direction, 2026-08-06",operations.py:_reconcile,6,1
13,phenomenon.set,phase-separation,"The phenomena register (Phase 1) must be completed for the WHOLE passage before any operation (Phase 2) is written for ANY verse in it -- not interleaved verse-by-verse. Running Phase 2 immediately after Phase 1 verse-by-verse reopens the same drift, since operation-writing momentum can bleed back into how the next verse's phenomenon gets identified.",WA-passage-read-guidance-v1.5 Phase 1/Phase 2 structure + its own 2026-08-02 change-control note (the direct fix for the Amos 1-3 drift),operations.py:phenomenon_set (passage.phenomena_complete_at gate) + operations.py:operation_set (refuses while NULL),0,1
14,phenomenon.set,hidden-behind-act,"A phenomenon may be hidden behind a stated act or a refrained-from act, with only the act recorded in the text -- naming what the act is taken to evidence is exactly this step's job.",WA-passage-read-guidance-v1.5 step 3 note e,,1,1
15,phenomenon.set,warrant-required,"For every phenomenon isolated, record the specific textual warrant that grounds it (the verb, clause, or stated silence) and whether it is stated or inferred -- its own register entry, written before and independently of any operation.",WA-passage-read-guidance-v1.5 step 3b,schema: phenomenon.textual_warrant/status,2,1
16,phenomenon.set,not-literary-pattern,"A genuine literary/structural/genre observation is not a phenomenon -- log it once as an emergent question (Step 7) instead, never built into the phenomena register.",WA-interpretation-questions-v1.4 Part B.12; WA-passage-read-guidance-v1.5 step 6 note c,,3,1
17,phenomenon.set,control-total,"Every HIB crossed with every verse it appears in, in this passage, equals the exact number of phenomena-register entries (including explicit 'silent' entries) Step 3 must produce before it can be considered done -- known in advance, not dependent on trusting the pass to remember to cover everything.",debate-analytic-process-digest-20260805.md Step 3 'how this gets controlled'; b3-b5-operations-schema-design-20260805.md,operations.py:phenomenon_set (verse_hib pair-set vs live phenomenon pair-set comparison),4,1
18,phenomenon.set,silence-is-a-finding,"'No phenomenon found, silent' is a valid RESULT of running the phenomenon check on a human-bearing clause, not an omission -- and not a valid substitute for running the check.",WA-interpretation-questions-v1.4 Part B.4; WA-passage-read-guidance-v1.5 step 2 note f,schema: phenomenon.status='silent',5,1
19,operation.set,operation-from-phenomenon-only,"An operation may only originate from an already-registered phenomenon -- never identify a fresh phenomenon while writing one. If writing an operation reveals no genuine phenomenon underlies it, the Step 3 entry was mis-identified -- go back and correct it; do not paper over the mismatch.",WA-interpretation-questions-v1.4 Part B.12,schema: operation.phenomenon_id NOT NULL + operations.py:operation_set,0,1
20,operation.set,four-parts,"Every operation has: process (a state/status, or a movement -- come from / go to / impact on / emerge / go away / become evident); source; target; and an action-type label. Source and target may be singular, multiple, mixed, or non-existent.",WA-passage-read-guidance-v1.5 step 1 note a,schema: operation + operation_party,1,1
21,operation.set,source-vs-enablement,"Keep source of the interior state and source of enablement to act distinct -- a non-human being may be the stated source of an outcome or an enablement without the text sourcing the actor's own disposition; extending sourcing from outcome to interior is an interpretive step to flag, never to assume.",WA-interpretation-questions-v1.4 Q4 / Part B.5,schema: operation_party.enablement_only,2,1
22,operation.set,action-type-is-a-label,"The action-type is a short, natural, verb-based tag (e.g. 'gave', 'summoned/complied', 'worshiped') -- a label for cross-passage/cross-book comparison, not a taxonomy; no controlled vocabulary is being built.",WA-interpretation-questions-v1.4 Q11 / Part B.10,schema: operation.action_type (free text),3,1
23,operation.set,divine-mirroring-anchored,"Record a human/divine operation comparison (juxtaposition, difference, inversion) only where the text's own juxtaposition or wording anchors it -- a merely plausible resemblance is logged as an emergent question, never asserted or theologically elaborated.",WA-interpretation-questions-v1.4 Q12 / Part B.11,,4,1
24,operation.set,decision-enum,decision = retain | set_aside | retain_referential | recorded_silence.,WA-interpretation-questions-v1.4 Part C section 3,"schema: operation.decision (free text, not yet enum-enforced -- see cfg_enum follow-up)",5,1
25,closing.set,multi-chapter-vigilance,"Where a debate document spans multiple chapters, Phase 3 validation should pay particular attention to phenomena/justifications that read as though they are describing the passage's own literary architecture rather than a specific inner being's own state -- this is the exact failure mode phase-separation (phenomenon.set) exists to prevent, and this validation pass is the last check that it did not recur.",WA-passage-read-guidance-v1.5 step 6 note b,,5,1
26,hib.set,not-a-feature-or-medium,"A body part or feature of a being (e.g. a horn) is not itself a HIB -- its content belongs to the being it is a feature of, or, once the vision resolves it, to the human referent it comes to represent. The medium through which an act is delivered (e.g. a voice) is likewise not a HIB in its own right -- record what it does as part of an operation (source/process), not as a separate registered party. Found live 2026-08-06: the goat's great horn / the four horns / the little horn were each wrongly registered as their own HIB, and 'the man's voice' was wrongly registered as a HIB rather than treated as the medium of Dan 8:16's command.","researcher direct correction, dan8-debate-run-failure-review-20260806.md",,7,0
27,operation.set,hib-can-be-party-in-another-hibs-operation,"A HIB can be a party within another HIB's own operation (e.g. a king acting against Daniel) -- operation_party.kind='human', with an optional hib_label naming the other HIB (resolved to operation_party.hib_id, a real structural link) alongside the existing free-text detail. Corrected 2026-08-07 (debate-schema-traceability-gap-findings-20260807.md, Finding 2): detail alone was NOT sufficient traceability -- only 3 of 42 live detail values matched a hib.label even as text; hib_id is now the real link, detail stays as a human-readable gloss alongside it, not a replacement for it. Distinct from a non-human party (kind='non_human'), which never gets its own hib/phenomenon/operation rows at all (see non-human-scope).","researcher direct correction, same session as dan8-debate-run-failure-review-20260806.md",schema: operation_party.hib_id (FK -> hib.id) + operations.py:operation_set hib_label resolution,6,1
28,passage.build,story-organized-by-hib,"The story synthesis is told through the passage's own cast, not as a generic plot summary -- the dominant HIB's own arc as the spine, others introduced as they bear on it. A story that reads identically with the HIB list deleted has not done this step's job.","researcher direction, 2026-08-07",,0,1
29,phenomenon.set,hib-first-traversal,"Work HIB-by-HIB, not verse-by-verse: start with the passage's most dominant HIB (highest verse-count cross-checked against the story's own throughline), read every verse that HIB appears in against its own verse_lexical row (full range, not the story or the printed gloss), complete that HIB's full phenomena list, then move to the next HIB. Stay inside phenomenon-only territory throughout -- no reasoning yet about source/target or cross-HIB movement (see operation.set's hib-fanout-dimensions rule).","researcher direction, 2026-08-07",,7,1
30,operation.set,hib-fanout-dimensions,"Fanning out from the focused HIB to the rest of the passage's cast has three distinct dimensions: (A) another HIB as source/target within the focused HIB's own operation; (B) the mirror once focus switches to that other HIB, checked for consistency, not re-derived; (C) movement/process BETWEEN two different HIBs' already-registered phenomena/operations, which belongs to closing.set's passage_linkage (Q7), not to operation.set itself. Only (A) and (B) are this step's job.","researcher direction, 2026-08-07",,7,1
31,passage.build,input-scope-is-the-passage,"A passage is the debate's own input scope, registered verbatim -- never sub-divided by algorithm.","researcher direction, 2026-08-06, following the HIB-distribution visualization",passage.py:build,1,1
32,passage.build,story-synthesis-required,"Step 2's real output is a high-level story synthesis for the scope, read in light of the identified HIBs -- not a derived boundary.","researcher direction, 2026-08-06",schema: passage.story_summary,2,1
33,passage.build,feasibility-self-assessment,"Before registering a passage, self-assess whether the scope can be read as a whole without quality loss; if not, the debate is skipped with a message to revise the input scope, not silently sub-divided.","researcher direction, 2026-08-06",passage.py:build (scope-too-complex refusal),3,1
34,passage.build,one-passage-per-verse,A verse belongs to at most one live passage at a time.,app convention (DB-enforced: verse_passage.verse_id unique),schema: verse_passage unique constraint + passage.py:build's overlap check,4,1
35,passage.build,legacy-superseded-unconditionally,"A legacy (pre-redefinition) passage overlapping a newly-registered scope is superseded wholesale -- ""not reconciling the old with the new.""","researcher direction, 2026-08-05/06",passage.py:build,5,1
36,closing.set,linkages-q7,"What linkages run to other operations in the passage? Where a linkage is absent, surface the absence; do not pass over it silently. A Q7 linkage connects two specific, already-registered phenomena/operations to each other -- it is not licence to narrate a pattern across a whole chapter range.",WA-interpretation-questions-v1.4-2026-08-02.md Part A Q7 / Part B.12 / Part C item 4,schema: passage_linkage,0,1
37,closing.set,insufficiencies-register,"Where required data (e.g. name etymologies) is absent from the base extract, name it as an insufficiency; do not substitute remembered or external knowledge.",WA-interpretation-questions-v1.4-2026-08-02.md Part B.7 / Part C item 5,schema: passage_insufficiency,1,1
38,closing.set,emergent-questions-log,"Interpretive forks and genuine literary/structural observations are carried forward here. An interpretive fork is NOT a researcher decision awaiting a ruling -- it is named where it bites, weighed against each new data point as the corpus grows, and answered (or left open) by what the accumulating evidence actually shows, not settled in the abstract before the evidence is in. ""The researcher should decide"" is reserved for genuine resourcing/data-curation choices this instrument cannot make for itself, not for interpretive questions the study itself exists to answer. Not merged with other passages' logs.",WA-interpretation-questions-v1.4-2026-08-02.md Part A Q10 / Part B.8-B.9 / Part C item 6,schema: passage_emergent_question,2,1
39,closing.set,debate-quality-validation,"Once the phenomena register and operations are assembled: a re-examination, for each phenomenon or a representative sample spanning the range, of whether it is genuinely an inner-being phenomenon (not a textual/structural pattern mislabeled as one), whether its Phase 1 justification actually warrants it, and whether its Phase 2 operation tracks faithfully back to it. CORRECT ANY FAILURE FOUND before the debate is considered filled, rather than only noting it for later.",WA-interpretation-questions-v1.4-2026-08-02.md Part C item 7,schema: passage_validation_note (corrected flag),3,1
40,closing.set,open-decisions,"Next steps / open decisions the passage's own analysis surfaces, recorded as a single evolving summary field, not a repeating structured list.",WA-interpretation-questions-v1.4-2026-08-02.md Part C item 8,schema: passage.open_decisions_note,4,1
41,phenomenon.set,hib-still-warranted,"Once a HIB's phenomena list is complete across the whole passage, review whether it still genuinely warrants being a HIB at all -- if there is no inner-being role or effect anywhere, and no reasonable basis to infer one, go back and correct hib.set (remove, with reason) before treating this HIB's phenomena as final. Distinct from silence-is-a-finding: a HIB with some or all silent entries is not automatically suspect -- silence is a legitimate result. This rule is for a HIB that, on full review, was never a genuine candidate in the first place.","researcher direction, 2026-08-07",,8,1
