work_package,ordinal,step,handler,scope,does,inactive,kind
new-word,0,registry.exists,iba.app.handlers.registry:exists,word,stop if the word already exists (a refresh run handles that),0,operations
new-word,1,registry.create,iba.app.handlers.registry:create,word,"create the word, status proposed->approved",0,operations
new-word,2,raw.discover,iba.app.handlers.raw:discover,word,CALL 1 meanings= -> word_strong (the seed strongs),0,operations
new-word,3,raw.detail,iba.app.handlers.raw:detail,word,CALL 2 getInfo per strong -> strong + sense + tree + lexicon (the meaning),0,operations
new-word,4,raw.verses,iba.app.handlers.raw:verses,word,CALL 3 per strong -> strong_verse + verse + span (span parsed from preview),0,operations
new-word,5,raw.write,iba.app.handlers.raw:write,word,commit; mark raw-complete,0,operations
new-word,6,raw.validate,iba.app.handlers.raw:validate,word,the parse-check: span vs strong_verse must agree,0,operations
set-candidates,0,candidate.seed,iba.app.handlers.candidate:seed,global,refresh candidate_seed over lemma_inventory (independent net + registry-direct + config); recompute registry_match (the double control),1,operations
set-candidates,1,candidate.set,iba.app.handlers.candidate:set,book,stamp span_candidate on the book's spans whose base-strong is a candidate,1,operations
build-passages,0,passage.build,iba.app.handlers.passage:build,book,recompute the book's passages from verse_hib (hib-continuity|maximal); flag >review_over as needs_review. Redefined 2026-08-05 (B4) from the retired candidate-stamp/char-continuity rule -- see debate-analytic-process-digest-20260805.md Step 2.,0,operations
configuration-maintenance,0,configmaint.validate,iba.app.handlers.configmaint:validate,none,"coherence-check the live cfg_* tables — read-only, no approval needed",0,utility
configuration-maintenance,1,configmaint.propose,iba.app.handlers.configmaint:propose,none,"the only path that may change a cfg_* row — approval-gated (escalation, 3-way)",0,utility
configuration-maintenance,2,configmaint.report,iba.app.handlers.configmaint:report,none,regenerate CONFIG-REPORT.md from the live cfg_* tables — read-only,0,utility
candidate-quality,0,candidate.validate,iba.app.handlers.candidate:validate,none,"read-only quality check: candidate_tag null/format, lemma_key/strong resolution — one escalation per invocation, standalone (not part of seed/set)",1,operations
passage-quality,0,passage.validate,iba.app.handlers.passage:validate,none,"read-only quality check: passage verse_count distribution — one escalation per invocation, standalone (not part of build-passages)",0,operations
reports,0,report.word,iba.app.handlers.reports:word_report,word,the word-raw report (report.py) — content governed by report.* settings,0,utility
reports,1,validation.word,iba.app.handlers.reports:validation_word,word,the raw-layer validation report (validation.py) — sections governed by validation.show_*,0,utility
reports,2,validation.book,iba.app.handlers.reports:validation_book,book,the base-layer validation report (validation.py) — sections governed by validation.show_*,0,utility
candidate-curation,0,candidate.curate,iba.app.handlers.candidate:curate,none,"single-row, approval-gated correction on candidate_seed (tag or decision) -- adding a brand-new candidate lemma is the existing cfg_candidate_rule accept route via configmaint.propose",1,operations
candidate-curation,1,candidate.load,iba.app.handlers.candidate:load,none,"JSON-batch create/update/validate for candidate_seed -- derives lemma/strong_variant from an input English word (no lemma_key in the input), auto-loads items that pass every config-driven check, writes anything that doesn't as an inspectable decision='exception' row, then revalidates the whole existing seed the same way; one escalation total if unresolved exceptions remain",1,operations
log-retention,0,retention.report,iba.app.handlers.reports:retention_report,none,"run/escalation/validation_result log-retention & run-health report — read-only, no pruning",0,utility
table-export,0,table.export,iba.app.handlers.reports:table_export,none,"CSV dump of every data table, verbatim — excludes cfg_* (configmaint.report already owns that content)",0,utility
seed-candidate-report,0,report.seed_candidate,iba.app.handlers.reports:seed_candidate_report,none,"whole-seed candidate_seed analysis — counts by decision/layer/role, tag/lemma distribution, busiest lemmas, open-vs-resolved over time",1,utility
strong-meaning-report,0,report.strong_meaning,iba.app.handlers.reports:strong_meaning_report,none,"meaning-parse layer coverage — strong/strong_sense/strong_meaning_tree/strong_lexicon gap list, sense-count distribution, lexicon completeness",0,utility
span-analysis-report,0,report.span_analysis,iba.app.handlers.reports:span_analysis_report,none,"span layer coverage per book, confirmed (span) vs candidate (span_candidate) counts, morph-code distribution",0,utility
schema-overview-report,0,report.schema_overview,iba.app.handlers.reports:schema_overview_report,none,"the IBA app's own data-schema snapshot — every data table, columns, types, PK/FK, indexes, row counts",0,utility
registry-report,0,report.registry,iba.app.handlers.reports:registry_report,none,"evaluate/review word_registry -- summary, join to strong, sense report grouped by gloss",0,utility
lexicon-parse,0,lexicon.parse,iba.app.handlers.lexicon:parse,none,"strong_meaning_tree + strong_lexicon -> strong_meaning_parsed/strong_lsj_parsed/strong_mounce_parsed (corrected 2026-07-25 parse); no network, deterministic, clears and rebuilds",0,operations
lexicon-parse,1,lexicon.related,iba.app.handlers.lexicon:related,none,strong -> strong_related; one live STEP getInfo call per row (relatedNos),0,operations
lexicon-parse,2,lexicon.validate,iba.app.handlers.lexicon:validate,none,read-only coverage + value-quality check across all 4 tables; persists lexicon.quality_report_path every run; escalates only if findings exist,0,operations
raw-backfill,0,raw.backfill_meaning,iba.app.handlers.raw:backfill_meaning,book,"for a book (optionally narrowed to one chapter's verse range via -Range C:V-V), find every distinct strong its spans reference that has no `strong` row yet, and pull ONLY the meaning (STEP getInfo -> strong/strong_sense/strong_meaning_tree/strong_lexicon) — not verses. Reuses raw.detail_one() unchanged. Progressive, passage-driven DB coverage growth, not a full-Bible bulk pull.",0,operations
verse-analysis-report,0,report.verse_span_meaning,iba.app.handlers.reports:verse_span_meaning_report,book,"verse : span : meaning extract for a book/chapter-range — per-span meaning from all three parse tables (meaning_tree/lsj/mounce), live STEP disambiguation for AMBIGUOUS (sibling-shared-base) spans",1,operations
passage-debate-report,0,report.passage_debate,iba.app.handlers.reports:passage_debate_report,book,"passage-debate scaffold generator — verifies the base verse-span-meaning extract and the current method docs (method.passage_read_guidance_path / method.interpretation_questions_path) exist, resolves output path/naming, and writes a debate-document SKELETON (front-matter, per-verse Observation/Operation/Subject-Source-Target/Interrogative/Decision placeholders, standard closing sections) for the researcher/AI to fill in; does not generate interpretive content itself",1,operations
whole-book-read,0,report.whole_book_read,iba.app.handlers.reports:whole_book_read_report,book,"whole-book-read gathering report — for a book whose passage debates are (wholly or partly) filled, pulls every debate_status='filled' passage row in reading order, reads each debate file, extracts its Emergent-questions and Passage-level-linkages sections (tolerant heading match, explicit NOT-FOUND if a file's headings don't match), and lays them out per-passage with an empty Resolution slot for the researcher/AI to fill in; does not decide how any emergent question actually resolves itself",0,operations
book-narrative-validate,0,report.book_narrative_validate,iba.app.handlers.narrative:validate,none,"structural presence check on an inner-being narrative file — confirms a '## Scope self-check' section exists and all three required channel labels (non-human<->human, human<->human, physical world<->human) are present with non-empty content; a presence check only, not a judgment of citation quality or content accuracy — see WA-inner-being-narrative-guidance-v1-2026-07-28.md section 4",1,operations
book-narrative-generate,0,report.book_narrative_generate,iba.app.handlers.narrative:generate,book,"assembles every filled report.passage_debate output for a book plus the hard-constraints and three-channel guidance docs, submits the package to the Anthropic Messages API (researcher approval required first, pause-continue on the estimated cost), and files the returned narrative under report.verse_analysis_output_dir/<book_label>/ — see lib/narrativegenerate.py",1,operations
passage-debate-sync,0,passage.debate_sync,iba.app.handlers.passage:debate_sync,book,"re-syncs `passage.debate_status` for an already-generated `report.passage_debate` scaffold against its CURRENT on-disk content — read-only against the debate file (does not rewrite or regenerate it), DB-write only to the tracked `passage` row's `debate_status`/`debate_written_at` via the existing `passagetrack.record_debate`; the missing half of the report.passage_debate lifecycle before this (write_scaffold writes, nothing re-checked status after manual fill-in) — GOVERNANCE.md §3B",1,operations
chapter-generate,0,report.verse_span_meaning,iba.app.handlers.reports:verse_span_meaning_report,book,"verse:span:meaning base extract -- same handler as the standalone verse-analysis-report work package (kept active for recovery reruns); ordinal 0 of chapter-generate, chained with report.passage_debate as ordinal 1.",1,operations
chapter-generate,1,report.passage_debate,iba.app.handlers.reports:passage_debate_report,book,"passage-debate SCAFFOLD generator -- same handler as the standalone passage-debate-report work package (kept active for recovery reruns); ordinal 1 of chapter-generate. Manual fill-in of the written scaffold happens after this script exits, then PassageDebate-Sync.ps1 (unchanged, separate) is run once -- kept OUT of this chain because re-invoking a chained work package re-runs every ordinal from the top, which would silently overwrite a filled scaffold with a blank one.",1,operations
book-narrative,0,report.book_narrative_generate,iba.app.handlers.narrative:generate,book,"live Anthropic API narrative generation -- same handler as the standalone book-narrative-generate work package (kept active for standalone reruns); ordinal 0 of book-narrative, chained with report.book_narrative_validate which runs automatically against this steps own output path once it completes.",0,operations
book-narrative,1,report.book_narrative_validate,iba.app.handlers.narrative:validate,none,"structural validation of the just-generated narrative file -- same handler as the standalone book-narrative-validate work package (kept active for standalone reruns); ordinal 1 of book-narrative, receives its -Path from ordinal 0s own output automatically via the scripts custom orchestration.",0,operations
