observation_id,tier,cluster_code,subject_strong,question_code,tag,status,created_at,contaminated_detail,obs_text
217,A-root-verse-reading,M67,G0692,M0.6.5,tightly-related,draft,2026-09-17T16:26:59Z,"2Pet.1.8:G2962G role=['M72', 'T7'] live=['T7']; 2Pet.1.8:G2424G role=['T7', 'T8'] live=['T7']","In 2Pet.1.8, ἀργός/ἄκαρπος (M67) modifies the state of the believer's relation to M15 (knowledge/ἐπίγνωσις) -- the diligence-cluster term functions as the negative condition that increasing virtues (qualities named in v.5-7) are said to prevent, making M67 the hinge describing failure-mode outcome relative to M15's positive content."
235,A-root-verse-reading,M67,G4710,M0.6.5,tightly-related,draft,2026-09-17T16:26:59Z,"Rom.12.11:G2962G role=['M72', 'T7'] live=['T7']","In Rom.12.11, σπουδή/ζέω (M67 zeal + M69 fervent) stand together with M47 (spirit/πνεῦμα) and M78 (serve/δουλεύω), with ὀκνηρός (M67, slothful) as the negative to be avoided -- M67's own vantage adds that this is a triad of intensifiers (not lagging, being fervent, serving the Lord) where zeal is the connective quality binding inward fervor of spirit to outward service."
252,A-root-verse-reading,M67,G4709,D7.7.1,qualifier-for-term,draft,2026-09-17T16:26:59Z,"Luke.7.4:G2424G role=['T7', 'T8'] live=['T7']","The verse's operation word is παρακαλέω ('pleaded', T3-tagged in role list), initiated by the elders (subject, implicit party) and directed toward Jesus (accusative object, party present, T7/T8-tagged) on behalf of the centurion. σπουδαίως (M67, T2) intensifies the manner of this operation but is not itself the T3-tagged operation word."
253,A-root-verse-reading,M67,G4709,M0.6.5,no-direct-connection,draft,2026-09-17T16:26:59Z,"Luke.7.4:G2424G role=['T7', 'T8'] live=['T7']","No other M-code characteristic is present in Luke.7.4's role list; σπουδαίως (M67) stands alone here, intensifying the pleading (παρακαλέω) directed at Jesus concerning the centurion's worthiness (ἄξιος, itself not M-tagged in this list)."
268,A-root-verse-reading,M67,G3636,M0.6.5,tightly-related,draft,2026-09-17T16:26:59Z,"Rom.12.11:G2962G role=['M72', 'T7'] live=['T7']","In Rom.12.11, ὀκνηρός (M67) stands paired with σπουδή/M67's own zeal-term and alongside M69 (fervent/ζέω), M47 (spirit/πνεῦμα), and M78 (serve/δουλεύω) -- M67's own vantage adds that the negated disposition (not being slothful) is the necessary precondition cleared before the positive triad of zeal, fervor of spirit, and service to the Lord can be enacted; the verse structures M67 as both negative prohibition and positive command in a single breath."
372,A-root-verse-reading,M67,G4710,D7.7.1,tightly-related,draft,2026-09-17T16:29:40Z,"Jude.1.3:G0040H role=['M13', 'M61'] live=['M13']","The operation word 'write' (G1125, role-T3) is the object of the eagerness (G4710); the author (a party, 'I') initiates the intended act of writing directed toward 'you' (the recipients, a party) concerning their common salvation."
373,A-root-verse-reading,M67,G4710,M0.6.5,tightly-related,draft,2026-09-17T16:29:40Z,"Jude.1.3:G0040H role=['M13', 'M61'] live=['M13']","No prior context recorded. From eagerness's own vantage: this verse pairs the author's eagerness with M79 (salvation) as its intended topic and M44 (contend) and M13 (faith) as the redirected actual purpose - eagerness here functions as the initial impulse that is redirected into the necessity of defending the faith, showing a contrast between intended and actual epistolary purpose."
390,A-root-verse-reading,M67,G3636,D7.7.1,tightly-related,draft,2026-09-17T16:29:40Z,"Matt.25.26:G2962H role=['M72', 'T7'] live=['M72']; Matt.25.26:G1492I role=['M15', 'T3'] live=['M15']","The operation word 'know' (G1492I, role-T3) is directed by the master (a party, 'his master') toward the servant (a party, 'you wicked and slothful servant') as a rhetorical accusation: the master initiates the charge of knowing (or failing to act on known expectations) against the servant characterized as slothful."
391,A-root-verse-reading,M67,G3636,M0.6.5,tightly-related,draft,2026-09-17T16:29:40Z,"Matt.25.26:G2962H role=['M72', 'T7'] live=['M72']; Matt.25.26:G1492I role=['M15', 'T3'] live=['M15']","No prior context recorded. From sloth's own vantage: this verse pairs slothfulness with M58 (wicked, ponēros) as twin epithets applied by the master to the servant (M78) - sloth here functions as the specific charge of inactivity that, alongside wickedness, together constitute the master's condemnation; sloth is thus one half of a dual accusation rather than standing alone."
392,A-root-verse-reading,M67,G3636,D7.7.1,no-direct-connection,draft,2026-09-17T16:29:40Z,"Phil.3.1:G2962G role=['M72', 'T7'] live=['T7']","The operation word 'write' (G1125, role-T3) is present and directed by Paul (a party, 'my') toward 'you' (the Philippians, a party), but the 'trouble' term (G3636) itself functions as a predicate describing writing's quality, not as the initiator or recipient of a separate operation."
393,A-root-verse-reading,M67,G3636,M0.6.5,tightly-related,draft,2026-09-17T16:29:40Z,"Phil.3.1:G2962G role=['M72', 'T7'] live=['T7']","No prior context recorded. From this characteristic's vantage: 'trouble' (G3636) here is paired with M19 (safe, asphales) as a positive complement - repeating instruction is framed as no burden (G3636) and as a safeguard (M19) for the readers, showing the two characteristics work together to justify Paul's repetition as beneficial rather than burdensome."
562,A-root-verse-reading,M67,H8220,M0.6.5,tightly-related,draft,2026-09-17T16:34:36Z,"Eccl.10.18:H3027G role=['M23', 'M72', 'T14', 'T2'] live=['T14']; Eccl.10.18:H1004B role=['T10', 'T2'] live=['T2']","Eccl.10.18 also carries M24 (H6103, sloth) and M23/M72 (H3027G, hand). From indolence's own vantage: H8220 supplies the causal/resultative link -- it names the condition (slack-handed idleness) that translates the disposition of sloth (M24) into the physical outcome via the hand (M23/M72), i.e. indolence is the mechanism connecting sloth-as-disposition to hand-as-instrument, producing the house's collapse. No prior cluster context exists for this verse."
563,A-root-verse-reading,M67,G0692,D7.7.1,answered-no-flag,draft,2026-09-17T16:34:36Z,"Matt.20.3:G1492H role=['M15', 'T3'] live=['T3']","Matt.20.3 has role-T3 operation words G1831 (going out), G2476 (standing). G0692 (idle) is an adjective describing the state of 'others' (the party) found standing in the marketplace -- it does not itself initiate an operation but characterizes the party's condition as the object of the householder's seeing/going-out action, directed toward them."
578,A-root-verse-reading,M67,G0692,M0.6.5,no-direct-connection,draft,2026-09-17T16:34:37Z,"Matt.20.3:G1492H role=['M15', 'T3'] live=['T3']","Matt.20.3 also carries M15 (G1492H, saw) alongside G0692. From idleness's own vantage: the idleness of 'others' is precisely the state that the M15 seeing-action discovers/targets -- G0692 supplies the object-condition that motivates the householder's seeing and subsequent action (hiring), i.e. idleness is what is perceived. No prior cluster context exists for this verse."
892,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"Isa.12.1:H3068G role=['T10', 'T7'] live=['T7']; Isa.12.1:H0639G role=['M02', 'T14', 'T2'] live=['M02', 'T14']; Isa.12.1:H7725I role=['M11', 'M81', 'T3'] live=['T3']","In Isa.12.1, thanksgiving (H3034) is directly bound to M02 (anger, H0599/H0639G) and M11/M81 (turning away, H7725I) and M11/M45 (comfort, H5162G): the thanksgiving is explicitly the response TO God's anger having turned and to his comforting action -- thanksgiving here functions as the verbal capstone/response completing the arc from divine anger through reversal to comfort. No prior context exists for this verse; this is the first pass."
893,A-root-verse-reading,M49,H3034,M0.6.5,tightly-related,draft,2026-09-18T08:41:56Z,"2Chr.7.3:H7200G role=['T3', 'T7'] live=['T3']; 2Chr.7.3:H3068G role=['T10', 'T7'] live=['T7']; 2Chr.7.3:H1004B role=['T10', 'T2'] live=['T2']","In 2Chr.7.3, thanksgiving (H3034) is paired with M22 (glory, H3519) and M07/M50 (steadfast love, H2617A) and M05/M18 (good, H2896A): the people's giving of thanks is triggered by witnessing God's glory descending, and the content of the thanks-refrain names God's goodness and enduring steadfast love -- thanksgiving here is the responsive verbal act that names and ratifies the other characteristics (glory, goodness, covenant love) just witnessed. No prior context exists for this verse; this is the first pass."
