step,condition,path,resolver,message,route,inactive
registry.exists,word-exists,report-stop,,"the word already exists; use a refresh run, not new-word",terminal,0
registry.create,needs-approval,pause-continue,,a new word needs researcher approval,terminal,0
registry.create,word-rejected,report-stop,,the researcher rejected the word,terminal,0
raw.discover,zero-strongs,pause-continue,,the word maps to no strongs — a researcher question,terminal,0
raw.detail,no-vocab,pause-continue,,"a strong returned no vocab from STEP — missing lexical data, worth a decision, not a silent continue",terminal,0
raw.verses,shortfall,pause-continue,,STEP returned fewer rows than its own reported total — the exact class of bug BUILD.md §5 found; must not silently continue,terminal,0
raw.validate,parse-mismatch,report-stop,,span does not recover strong_verse,terminal,0
candidate.seed,no-inventory,report-stop,,lemma_inventory is empty — run the seed migration first,terminal,1
candidate.set,no-spans,report-stop,,the book has no spans — build its words first,terminal,1
passage.build,no-candidates,report-stop,,the book has no candidate spans — run set-candidates first,terminal,1
configmaint.validate,invalid,report-stop,,the live cfg_* store is incoherent,terminal,0
configmaint.propose,invalid-proposal,report-stop,,the proposed change fails a coherence check — never escalated,terminal,0
configmaint.propose,needs-approval,pause-continue,,a config change needs researcher approval,terminal,0
configmaint.propose,change-rejected,report-stop,,the researcher rejected the proposed change,terminal,0
configmaint.propose,needs-revision,report-stop,,the researcher asked for the proposal to be revised (see the comment) and resubmitted,terminal,0
configmaint.validate,needs-review,pause-continue,,cfg_* has advisory findings (orphans/needs-justification) needing researcher judgement,terminal,0
configmaint.validate,findings-rejected,report-stop,,"researcher flagged advisory findings as needing action, not acknowledgement",terminal,0
configmaint.validate,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
candidate.validate,needs-review,pause-continue,,span_candidate has tag/lemma_key quality findings needing researcher judgement,terminal,1
candidate.validate,findings-rejected,report-stop,,researcher flagged candidate quality findings as needing action,terminal,1
candidate.validate,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,1
passage.validate,needs-review,pause-continue,,passage verse_count distribution needs researcher judgement,terminal,0
passage.validate,findings-rejected,report-stop,,researcher flagged the passage distribution as needing the rule revisited,terminal,0
passage.validate,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
report.word,word-not-found,report-stop,,the requested word is not in the registry,terminal,0
candidate.curate,needs-approval,pause-continue,,a candidate_seed correction needs researcher approval,terminal,1
candidate.curate,change-rejected,report-stop,,researcher rejected the proposed candidate_seed correction,terminal,1
candidate.curate,needs-revision,report-stop,,researcher asked for revision (see comment) and resubmission,terminal,1
candidate.curate,invalid-proposal,report-stop,,the proposed correction failed validation -- never escalated,terminal,1
candidate.load,needs-review,pause-continue,,candidate.load has unresolved exception row(s) in candidate_seed needing researcher judgement,terminal,1
lexicon.related,unreachable,report-stop,,STEP is not reachable — lexicon.related cannot fetch relatedNos at all,terminal,0
lexicon.validate,findings-rejected,report-stop,,researcher flagged lexicon-parse quality findings as needing action,terminal,0
lexicon.validate,needs-review,pause-continue,,lexicon-parse coverage/value-quality findings need researcher judgement,terminal,0
lexicon.validate,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
raw.backfill_meaning,unreachable,report-stop,,STEP is not reachable — cannot pull any meaning,terminal,0
raw.backfill_meaning,invalid-range,report-stop,,the -Range value could not be parsed,terminal,0
report.whole_book_read,no-debates-found,report-stop,,no debate_status='filled' passage row exists yet for this book — run at least one report.passage_debate pass and fill it in first,terminal,0
report.book_narrative_validate,guidance-doc-missing,report-stop,,method.inner_being_narrative_guidance_path points to a file that does not exist on disk — the config is stale relative to iba/docs/,terminal,0
report.book_narrative_validate,no-path-given,report-stop,,-Path is required — the narrative file to check,terminal,0
report.book_narrative_validate,narrative-file-missing,report-stop,,the given -Path does not exist on disk,terminal,0
report.book_narrative_validate,scope-check-missing,report-stop,,no '## Scope self-check' section found — add one per the guidance doc section 3,terminal,0
report.book_narrative_validate,scope-check-incomplete,report-stop,,one or more required channel labels are missing or left as an unfilled placeholder,terminal,0
raw.discover,follow-related-not-built,report-stop,,discovery.follow_related is true but relatedNos expansion was never implemented,terminal,0
validation.word,needs-review,pause-continue,,validation findings need researcher judgement,terminal,0
validation.word,findings-rejected,report-stop,,"researcher flagged the validation findings as needing action, not just acknowledgement",terminal,0
validation.word,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
validation.book,needs-review,pause-continue,,validation findings need researcher judgement,terminal,0
validation.book,findings-rejected,report-stop,,"researcher flagged the validation findings as needing action, not just acknowledgement",terminal,0
validation.book,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
report.book_narrative_generate,no-debates-found,report-stop,,no filled report.passage_debate exists yet for this book,terminal,0
report.book_narrative_generate,guidance-doc-missing,report-stop,,a method.* cfg_setting points to a file that does not exist on disk,terminal,0
report.book_narrative_generate,cost-cap-exceeded,report-stop,,the pre-call cost estimate exceeds narrative.generate_max_cost,terminal,0
report.book_narrative_generate,needs-approval,pause-continue,,researcher approval required before the live API call is made,terminal,0
report.book_narrative_generate,declined,report-stop,,researcher rejected the escalation,terminal,0
report.book_narrative_generate,needs-revision,report-stop,,researcher asked for a change first (see comment),terminal,0
report.book_narrative_generate,api-key-missing,report-stop,,ANTHROPIC_API_KEY not found in the environment or repo-root .env,terminal,0
report.book_narrative_generate,api-error,report-stop,,the Messages API returned a non-2xx response,terminal,0
lexical.build,unreachable,report-stop,,STEP is down and step.required_for_runs is true — cannot resolve any content-role code's sense without it.,terminal,0
report.verse_lexical,no-readings,report-stop,,"no verse_lexical rows exist yet for this exact book/range — run lexical.build first (it is ordinal 0 of this same work package, run automatically before this step unless called standalone).",terminal,0
report.word_registry_span,word-not-found,report-stop,,the requested word is not in the registry,terminal,0
report.strong_verse,word-not-found,report-stop,,the requested word is not in the registry,terminal,0
report.strong_verse,strong-not-linked,report-stop,,the requested Strongs code is not linked to this registry word (word_strong),terminal,0
cluster.validate,needs-review,pause-continue,,cluster-assignment exceptions need researcher judgement,terminal,0
cluster.validate,findings-rejected,report-stop,,researcher flagged cluster-assignment exceptions as needing action,terminal,0
cluster.validate,needs-revision,report-stop,,researcher asked for more specific investigation (see comment),terminal,0
word.confirm,needs-confirmation,pause-continue,,word display shown; confirm to proceed,terminal,0
word.gap_display,needs-approval,pause-continue,,gap report shown; approve to apply (only when run --interactive),terminal,0
