id,word,status,source,strong_count
178,Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",29
175,Ruthlessness,raw-complete,legacy registry: Programme Addition,9
147,Soul,raw-complete,legacy registry: Programme Addition,15
177,Suffering,raw-complete,"repurposed 2026-08-10 from legacy registry word 'Incurability' (id 177; main-project verse-fanout orphan id 218) to 'Suffering' — the researcher's own curated Hebrew suffering/affliction list (8 codes) added ALONGSIDE the word's pre-existing 7 STEP-masterSearch-derived word_strong links, which are retained, not replaced (corrected 2026-08-10, same day: the first pass had wrongly soft-deleted them)",15
4,abomination,raw-complete,legacy registry: Missing Inner Being Words,17
5,agony,raw-complete,legacy registry: Missing Inner Being Words,11
6,ambition,raw-complete,legacy registry: Low Confidence / Inferred,2
7,anger,raw-complete,legacy registry: High Confidence,39
8,anguish,raw-complete,legacy registry: Missing Inner Being Words,36
9,anointing,raw-complete,legacy registry: Missing Inner Being Words,21
10,anxiety,raw-complete,legacy registry: High Confidence,12
11,appetite,raw-complete,legacy registry: High Confidence,9
160,authority,raw-complete,legacy registry: Programme Addition,38
12,awe,raw-complete,legacy registry: Missing Inner Being Words,19
172,being,raw-complete,legacy registry: Programme Addition,444
13,bitterness,raw-complete,legacy registry: High Confidence,22
158,blessing,raw-complete,legacy registry: Programme Addition,20
183,blindness,raw-complete,"legacy registry: Programme Addition (corrected from malformed 'blindness (spiritual' entry, id 168)",16
14,boastfulness,raw-complete,legacy registry: High Confidence,31
15,boldness,raw-complete,legacy registry: High Confidence,14
16,bondage,raw-complete,legacy registry: High Confidence,13
17,brokenness,raw-complete,legacy registry: Missing Inner Being Words,64
18,calling,raw-complete,legacy registry: Missing Inner Being Words,49
19,character,raw-complete,legacy registry: Low Confidence / Inferred,3
156,comfort,raw-complete,legacy registry: Programme Addition,24
20,compassion,raw-complete,legacy registry: High Confidence,47
21,condemnation,raw-complete,legacy registry: High Confidence,22
22,conscience,raw-complete,legacy registry: High Confidence,3
23,consecration,raw-complete,legacy registry: Missing Inner Being Words,26
154,contempt,raw-complete,legacy registry: Programme Addition,51
24,contentment,raw-complete,legacy registry: Missing Inner Being Words,26
25,contrition,raw-complete,legacy registry: Missing Inner Being Words,5
26,corruption,raw-complete,legacy registry: High Confidence,44
27,counsel,raw-complete,legacy registry: Missing Inner Being Words,18
28,courage,raw-complete,legacy registry: High Confidence,15
29,covenant,raw-complete,legacy registry: Missing Inner Being Words,11
30,covetousness,raw-complete,legacy registry: Missing Inner Being Words,15
157,craving,raw-complete,legacy registry: Programme Addition,18
171,deadness,raw-complete,legacy registry: Low Confidence / Inferred,26
31,debauchery,raw-complete,legacy registry: High Confidence,3
32,deceit,raw-complete,legacy registry: High Confidence,46
33,defilement,raw-complete,legacy registry: Missing Inner Being Words,30
34,delight,raw-complete,legacy registry: Missing Inner Being Words,56
35,desire,raw-complete,legacy registry: High Confidence,62
36,despair,raw-complete,legacy registry: High Confidence,19
182,devious,raw-complete,replaces slyness (no Strong's) — gap scan 2026-07-18,5
37,devotion,raw-complete,legacy registry: High Confidence,27
38,dignity,raw-complete,legacy registry: Missing Inner Being Words,12
39,discernment,raw-complete,legacy registry: Missing Inner Being Words,26
40,disobedience,raw-complete,legacy registry: High Confidence,6
41,distress,raw-complete,legacy registry: High Confidence,58
42,division,raw-complete,legacy registry: High Confidence,25
162,dominion,raw-complete,legacy registry: Programme Addition,26
155,doubt,raw-complete,legacy registry: Programme Addition,10
43,dread,raw-complete,legacy registry: Missing Inner Being Words,38
44,endurance,raw-complete,legacy registry: High Confidence,47
45,envy,raw-complete,legacy registry: High Confidence,10
46,evil,raw-complete,legacy registry: Missing Inner Being Words,44
47,experience,raw-complete,legacy registry: Low Confidence / Inferred,6
48,faith,raw-complete,legacy registry: High Confidence,25
49,faithfulness,raw-complete,legacy registry: Missing Inner Being Words,25
50,fear,raw-complete,legacy registry: High Confidence,62
51,fellowship,raw-complete,legacy registry: Missing Inner Being Words,9
150,flesh,raw-complete,legacy registry: Programme Addition,16
52,foolishness,raw-complete,legacy registry: High Confidence,37
53,forgiveness,raw-complete,legacy registry: High Confidence,14
54,generosity,raw-complete,legacy registry: Missing Inner Being Words,3
55,gentleness,raw-complete,legacy registry: Missing Inner Being Words,18
151,gladness,raw-complete,legacy registry: Programme Addition,24
56,goodness,raw-complete,legacy registry: Missing Inner Being Words,56
57,grace,raw-complete,legacy registry: Missing Inner Being Words,9
58,gratitude,raw-complete,legacy registry: High Confidence,3
59,greed,raw-complete,legacy registry: High Confidence,7
60,grief,raw-complete,legacy registry: High Confidence,30
61,groaning,raw-complete,legacy registry: High Confidence,22
62,guilt,raw-complete,legacy registry: High Confidence,17
63,hardness,raw-complete,legacy registry: Missing Inner Being Words,42
64,hatred,raw-complete,legacy registry: High Confidence,14
184,healing,approved,"curated healing-domain word study (Hebrew+Greek heal/health/remedy/wholeness terms) - session 20260810, healing-words-in-study-check report",44
148,heart,raw-complete,legacy registry: Programme Addition,38
65,holiness,raw-complete,legacy registry: High Confidence,31
66,honesty,raw-complete,legacy registry: Missing Inner Being Words,6
67,hope,raw-complete,legacy registry: High Confidence,33
68,humility,raw-complete,legacy registry: High Confidence,12
1,hypocrisy,raw-complete,gap scan 2026-07-18,5
69,idolatry,raw-complete,legacy registry: High Confidence,5
163,image,raw-complete,legacy registry: Programme Addition,25
70,imagination,raw-complete,legacy registry: Low Confidence / Inferred,17
71,impurity,raw-complete,legacy registry: High Confidence,11
72,indignation,raw-complete,legacy registry: Missing Inner Being Words,17
73,iniquity,raw-complete,legacy registry: High Confidence,24
74,innocence,raw-complete,legacy registry: Missing Inner Being Words,24
75,insight,raw-complete,legacy registry: Missing Inner Being Words,16
76,integrity,raw-complete,legacy registry: Missing Inner Being Words,27
77,intention,raw-complete,legacy registry: Missing Inner Being Words,22
78,intercession,raw-complete,legacy registry: Missing Inner Being Words,4
79,jealousy,raw-complete,legacy registry: High Confidence,8
80,joy,raw-complete,legacy registry: High Confidence,29
81,justice,raw-complete,legacy registry: Missing Inner Being Words,26
82,kindness,raw-complete,legacy registry: Missing Inner Being Words,33
83,knowledge,raw-complete,legacy registry: Missing Inner Being Words,27
170,likeness,raw-complete,legacy registry: Programme Addition,36
173,listen,raw-complete,legacy registry: Programme addition — gap analysis 2026-04-08,26
84,longing,raw-complete,legacy registry: High Confidence,78
85,love,raw-complete,legacy registry: High Confidence,52
86,lust,raw-complete,legacy registry: High Confidence,17
3,malice,raw-complete,e2e test,9
87,meaning,raw-complete,legacy registry: Missing Inner Being Words,16
88,meditation,raw-complete,legacy registry: Missing Inner Being Words,21
89,memory,raw-complete,legacy registry: High Confidence,13
90,mercy,raw-complete,legacy registry: Missing Inner Being Words,30
161,might,raw-complete,legacy registry: Programme Addition,8
91,mind,raw-complete,legacy registry: Missing Inner Being Words,58
92,mourning,raw-complete,legacy registry: High Confidence,47
166,name,raw-complete,legacy registry: Programme Addition,19
93,obedience,raw-complete,legacy registry: High Confidence,12
94,passion,raw-complete,legacy registry: High Confidence,11
95,patience,raw-complete,legacy registry: High Confidence,10
96,peace,raw-complete,legacy registry: Missing Inner Being Words,43
97,perverseness,raw-complete,legacy registry: Missing Inner Being Words,24
159,power,raw-complete,legacy registry: Programme Addition,82
98,praise,raw-complete,legacy registry: Missing Inner Being Words,60
99,prayer,raw-complete,legacy registry: Missing Inner Being Words,19
100,pride,raw-complete,legacy registry: High Confidence,32
101,prophecy,raw-complete,legacy registry: Missing Inner Being Words,9
102,purity,raw-complete,legacy registry: Missing Inner Being Words,18
103,purpose,raw-complete,legacy registry: Missing Inner Being Words,39
104,reasoning,raw-complete,legacy registry: Missing Inner Being Words,39
105,rebellion,raw-complete,legacy registry: Missing Inner Being Words,24
106,reconciliation,raw-complete,legacy registry: Missing Inner Being Words,3
107,rejection,raw-complete,legacy registry: Low Confidence / Inferred,41
108,rejoicing,raw-complete,legacy registry: High Confidence,36
109,renewal,raw-complete,legacy registry: High Confidence,16
110,repentance,raw-complete,legacy registry: High Confidence,14
111,righteousness,raw-complete,legacy registry: Missing Inner Being Words,11
179,salvation,raw-complete,legacy registry: gate1-recovery,24
112,seeking,raw-complete,legacy registry: High Confidence,30
113,self-control,raw-complete,legacy registry: High Confidence,17
114,shame,raw-complete,legacy registry: High Confidence,40
115,sin,raw-complete,legacy registry: High Confidence,48
116,sincerity,raw-complete,legacy registry: Missing Inner Being Words,13
117,slander,raw-complete,legacy registry: High Confidence,26
169,sloth,raw-complete,legacy registry: Programme Addition,8
118,sorcery,raw-complete,legacy registry: High Confidence,7
119,sorrow,raw-complete,legacy registry: Missing Inner Being Words,46
149,spirit,raw-complete,legacy registry: Programme Addition,23
152,strength,raw-complete,legacy registry: Programme Addition,78
120,strife,raw-complete,legacy registry: High Confidence,30
121,stubbornness,raw-complete,legacy registry: Missing Inner Being Words,18
122,submission,raw-complete,legacy registry: Missing Inner Being Words,4
123,surrender,raw-complete,legacy registry: Low Confidence / Inferred,10
124,temptation,raw-complete,legacy registry: High Confidence,6
125,terror,raw-complete,legacy registry: Missing Inner Being Words,43
126,testimony,raw-complete,legacy registry: High Confidence,22
180,the afflicted,raw-complete,legacy registry: gate1-recovery-thirdparty,76
127,thought,raw-complete,legacy registry: Missing Inner Being Words,47
164,transformation,raw-complete,legacy registry: Low Confidence / Inferred,5
128,transgression,raw-complete,legacy registry: Missing Inner Being Words,17
165,treachery,raw-complete,legacy registry: Programme Addition,10
129,trust,raw-complete,legacy registry: High Confidence,37
130,truthfulness,raw-complete,legacy registry: Missing Inner Being Words,24
131,unbelief,raw-complete,legacy registry: High Confidence,3
132,understanding,raw-complete,legacy registry: Missing Inner Being Words,47
133,unity,raw-complete,legacy registry: High Confidence,3
134,uprightness,raw-complete,legacy registry: Missing Inner Being Words,24
135,weakness,raw-complete,legacy registry: High Confidence,45
174,wealth,raw-complete,legacy registry: M46 Session A D5 extraction 2026-05-14,34
153,weeping,raw-complete,legacy registry: Programme Addition,21
136,whoredom,raw-complete,legacy registry: High Confidence,12
137,wickedness,raw-complete,legacy registry: Missing Inner Being Words,27
138,will,raw-complete,legacy registry: High Confidence,26
139,wisdom,raw-complete,legacy registry: High Confidence,17
140,wonder,raw-complete,legacy registry: Missing Inner Being Words,25
141,worship,raw-complete,legacy registry: High Confidence,42
142,worth,raw-complete,legacy registry: Missing Inner Being Words,7
143,wrath,raw-complete,legacy registry: Missing Inner Being Words,32
144,yearning,raw-complete,legacy registry: High Confidence,9
145,yielding,raw-complete,legacy registry: Missing Inner Being Words,29
146,zeal,raw-complete,legacy registry: Missing Inner Being Words,7
