id,meaning_source,obs_text,id,observation_id,cluster_code,cluster_subgroup_code,strong,verse_reference,surface,morph_code,question_code,traced_observation_id,source_stage,seq,created_at,question_code,question_text
1,strong_meaning_tree,"In 2Cor.7.11 the characteristic is 'earnestness' (spoudē), naming an intensified, mobilized diligence produced as a fruit of godly grief. The name signals an essential nature of energetic self-application rather than passive feeling.",1,1,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.1.1,,verse-reading,1,2026-09-17T08:52:39Z,M0.1.1,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
2,strong_lexicon.lsj,"The Greek term spoudē (from speudō, 'to hasten') shows at the definitional level a movement from mere haste/speed toward earnest application, diligence, and zeal — a term whose root sense of hurrying was extended to mean whole-hearted effort and seriousness.",2,2,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.1.2,,verse-reading,1,2026-09-17T08:52:39Z,M0.1.2,What do the primary Hebrew and Greek terms show at the definitional level?
3,strong_meaning_tree,"As listed among the seven effects of godly grief in 2Cor.7.11, earnestness carries a relational implication: it is directed outward as evidence to Paul/the church of the Corinthians' restored right relationship, functioning as the leading proof-response that anchors the others (eagerness to clear themselves, indignation, fear, longing, zeal, punishment).",3,3,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.1.3,,verse-reading,1,2026-09-17T08:52:39Z,M0.1.3,"What directional, relational, or constitutional implication does the name carry?"
4,strong_lexicon.lsj,"Primary Greek term: spoudē. Root meaning ties to speudō 'to hasten/hurry'; the root shows a semantic movement from physical haste to earnest zeal and diligent effort, attested from Homer through Koine usage including LXX/NT religious contexts (e.g., Rom.12.11, Heb.6.11).",4,4,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.1,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.1,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
5,strong_lexicon.lsj,"Spoudē is attested here as a noun (N-ASF), the abstract quality itself, showing that the characteristic operates as a named state/quality of mobilized diligence rather than as a verbal action in this verse; the cognate verb spoudazō and adverb spoudē (dative, 'with haste/earnestly') attest a wider grammatical range across the corpus.",5,5,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.2,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.2,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
6,strong_lexicon.lsj,"Semantic range spans literal haste/speed, effortful zeal or diligence, eager application to a task, esteem/regard for a person, and even partisan zeal or good offices; in 2Cor.7.11 it functions idiomatically alongside a cluster of near-synonyms (eagerness, indignation, fear, longing, zeal) to intensify the picture of thorough repentant diligence.",6,6,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.3,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.3,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
7,strong_meaning_tree,"No distinct disposition-versus-act or received-versus-given pairing is present for spoudē itself in the sources; the term denotes a single quality (earnest diligence) that can appear as either an inner disposition or its enacted expression, without a separate paired term marking the distinction.",7,7,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.4,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.4,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
8,strong_lexicon.lsj,"None: the sources given do not present a distinct structural-opposite term (e.g., a word for negligence/sloth) alongside spoudē in this evidence.",8,8,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.5,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.5,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
9,strong_lexicon.lsj,"None: no person-type term (e.g., 'the earnest/diligent one') for a habitual possessor of this trait is present in the sources given.",9,9,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.6,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.6,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
10,strong_lexicon.lsj,None: no supplication/seeking term (an act of asking for earnestness from another) appears in the sources provided.,10,10,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.7,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.7,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
11,strong_lexicon.lsj,"The sources given show spoudē as a Greek term with deep classical Greek usage (Homer through 2nd c. AD) carried directly into NT usage (Rom.12.8,11; 2Cor.7.11-12; 8.7,16; Heb.6.11) with continuity of sense — hastening/effort becoming earnest religious zeal — without a distinct parallel Hebrew term supplied here to compare Testament development.",11,11,M67,,G4710,2Cor.7.11,earnestness,N-ASF,M0.5.8,,verse-reading,1,2026-09-17T08:52:39Z,M0.5.8,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
