type,key,file,line,category,file_type,currency,snippet
strong,H2734,CLAUDE.md,330,other,other,other,python scripts/word_study_extract.py --word anger --anchors H2734
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,12,log,session-log,historical,"First session with Claude Code, replacing GitHub Copilot. Working on the `audit_word` process, specifically the Step 1 STEP data extraction (`word_study_extract.py`). The soul extraction (registry 182"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,25,log,session-log,historical,### 2. Root Cause Analysis — H2734 Missing from Anger Extraction
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,27,log,session-log,historical,"**Problem:** H2734 (חָרָה, ""to be incensed"") was completely absent from the anger extraction output — not included, not excluded, not even in the terms list."
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,30,log,session-log,historical,"1. Checked the output JSON — H2734 not in any list (229 terms evaluated, 0 mentions of H2734)"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,31,log,session-log,historical,"2. Tested `get_strongs_for_word(""anger"")` — returns 26 codes, H2734 not among them"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,32,log,session-log,historical,"3. Tested `get_vocab_info(""H2734"")` — STEP knows it (91 occurrences, gloss ""to be incensed"")"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,33,log,session-log,historical,"4. Tested `get_related_term_cluster(""H2734"")` — has its own cluster {H2734, H2740, H2787, H2750, H8474, H2739}"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,34,log,session-log,historical,5. Checked if H2734 appears in any anchor's cluster — no overlap with any of the 23 discovered anchors
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,38,log,session-log,historical,"- **Cluster isolation:** H2734's cluster is completely disjoint from all discovered anchors. No anchor lists H2734 in its `relatedNos`, and H2734 doesn't list any anchor."
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,49,log,session-log,historical,"| H2734 | Missed | **Included** (8th most frequent, 83 verses) |"
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,93,log,session-log,historical,"**H2734:** Now classified as **G1m** (meanings-confirmed, include)."
strong,H2734,Logs/session-2026-03-24-claude-code-first-session.md,111,log,session-log,historical,3. **Verify H2734** appears in the output with verses and correct metadata
strong,H2734,Logs/session-2026-03-25-claude-code-second-session.md,23,log,session-log,historical,- **Bug found & fixed:** `audit_word` never cleared `delete_flagged` on terms that returned to the include list after being previously flagged. Added RESTORE step in A6 — restored 11 terms including H
strong,H2734,Logs/session-2026-03-25-claude-code-second-session.md,24,log,session-log,historical,"- Verified H2734 present: gloss=""to be incensed"", 91 occurrences, 88 verses, `delete_flagged=0`"
strong,H2734,Sessions-v2/M02-Anger/findings/WA-m02-findings-NEW-merged-bytier-v1-20260619.md,1924,cluster,other,current,"- **[C1 — Human kindled / burning anger]** Primary terms and roots: **cheˈmah** (H2534, ""heat/rage,"" from the root ""to be hot""); **chaˈrah** (H2734, ""to burn / be kindled""); **orgē** (G3709, ""wrath,"" "
strong,H2734,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,1055,cluster,other,current,- **[consolidated — whole cluster]** Primary Hebrew: *cha.rah* (H2734) — root meaning to burn/kindle; reveals anger as inner heat that ignites. *che.mah* (H2534) — related to heat; the noun of the bur
strong,H2734,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,1059,cluster,other,current,- **[consolidated — whole cluster]** The cluster shows a comprehensive grammatical range. *Cha.rah* (H2734) and *qa.tsaph* (H7107) and *qa.na* (H7065) are verbs — naming the anger-event as an active o
strong,H2734,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,1067,cluster,other,current,"- **[consolidated — whole cluster]** Yes, clearly: (1) Disposition vs act: *orgilos* (G3711, adjective) names the dispositional anger-susceptibility; *orgizō* (G3710, verb) names the act of the anger-"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,34,cluster,other,current,| 2Ki 23:26 | H2734 | cha.rah | sinful | neutral |
strong,H2734,Sessions-v2/M02-Anger/findings/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,36,cluster,other,current,| Job 42:7 | H2734 | cha.rah | sinful | neutral |
strong,H2734,Sessions-v2/M02-Anger/findings/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,38,cluster,other,current,"**Authoritative criterion** (supersedes the list if they differ): every M02 focus occurrence whose term is a burning-heat divine-wrath lemma (che.mah H2534, cha.rah H2734, cha.ron H2740, qa.tsaph H710"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,44,cluster,other,current,| Exo 4:14 | H2734 | cha.rah | NONE | agent |
strong,H2734,Sessions-v2/M02-Anger/findings/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,45,cluster,other,current,| 2Ki 13:3 | H2734 | cha.rah | NONE | agent |
strong,H2734,Sessions-v2/M02-Anger/findings/wa-m02-c1-human-anger-tieranalysis-v1_0-20260619.md,260,cluster,other,current,"**T7.1.1** — Primary terms and roots: **cheˈmah** (H2534, ""heat/rage,"" from the root ""to be hot""); **chaˈrah** (H2734, ""to burn / be kindled""); **orgē** (G3709, ""wrath,"" from a root of swelling/natura"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-m02-c1-human-anger-tieranalysis-v1_1-20260619.md,261,cluster,other,current,"**T7.1.1** — Primary terms and roots: **cheˈmah** (H2534, ""heat/rage,"" from the root ""to be hot""); **chaˈrah** (H2734, ""to burn / be kindled""); **orgē** (G3709, ""wrath,"" from a root of swelling/natura"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-m02-c1-human-anger-tieranalysis-v1_1-20260619.md,323,cluster,other,current,"- cha.rah ""to be incensed"" (H2734, Hebrew) ×56 — _lex. meaning:_ to be hot, furious, burn, becomeangry, be kindled"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-m02-c2-divine-wrath-tieranalysis-v1_1-20260619.md,323,cluster,other,current,"- cha.rah ""to be incensed"" (H2734, Hebrew) ×26 — _lex. meaning:_ to be hot, furious, burn, becomeangry, be kindled"
strong,H2734,Sessions-v2/M02-Anger/findings/wa-m02-c3-provoking-to-anger-tieranalysis-v1_1-20260619.md,322,cluster,other,current,"- cha.rah ""to be incensed"" (H2734, Hebrew) ×6 — _lex. meaning:_ to be hot, furious, burn, becomeangry, be kindled"
strong,H2734,Sessions-v2/M02-Anger/wa-cluster-M02-dir-001-completion-v1-20260619.md,17,cluster,other,current,"Num 32:14 (H2740 cha.ron), 2Ki 22:13 (H2534 che.mah), 2Ki 22:17 (H2534 che.mah), 2Ki 23:26 (H2734 cha.rah),"
strong,H2734,Sessions-v2/M02-Anger/wa-cluster-M02-dir-001-completion-v1-20260619.md,18,cluster,other,current,"2Ki 23:26 (H2740 cha.ron), Job 42:7 (H2734 cha.rah). The 7th cited by the NEW findings did not match — **6 confirmed.**"
strong,H2734,Sessions-v2/M02-Anger/wa-cluster-M02-dir-001-completion-v1-20260619.md,22,cluster,other,current,"4. **After B:** Exo 4:14 and 2Ki 13:3 `cha.rah` (H2734) now `divine-involvement='agent'` ✅ (**2** active rows,"
strong,H2734,Sessions-v2/M02-Anger/wa-cluster-M02-dir-001-readfield-fix-v1-20260619.md,34,cluster,other,current,| 2Ki 23:26 | H2734 | cha.rah | sinful | neutral |
