id,filename,registry_id,word_registry_fk,word,part_number,total_parts,is_split,schema_version,phase,produced_date,source_file,translation_used,specification,revision_note,source_list,category,testament_coverage,root_families_in_prior_parts,last_changed
1,WA-001-abomination-data-2026-03-07.json,001,1,abomination,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-07,Word_Abomination.md,ESV,Session A Instruction v4,,Missing Inner Being Words,Moral/Conscience,both,,2026-03-16 11:32:38
2,WA-002-agony-data-2026-03-08.json,002,2,agony,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-08,Word_Agony.md,ESV,Session A Instruction v4,,Missing Inner Being Words,Affective/Emotional,both,,2026-03-16 11:32:38
3,WA-003-ambition-data-2026-03-07.json,003,3,ambition,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-07,Word_Ambition.md,ESV,Session A Instruction v4,,Low Confidence / Inferred,,NT_only,,2026-03-16 11:32:38
4,WA-004-anger-data-2026-03-08.json,004,4,anger,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-08,Word_anger.md,ESV,Session A Instruction v4,,High Confidence,,both,,2026-03-16 11:32:38
5,WA-005-anguish-data-2026-03-08 (2).json,005,5,anguish,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-08,word_anguish.md,ESV,Session A Instruction v4,,Missing Inner Being Words,Affective/Emotional,both,,2026-03-16 11:32:38
6,WA-006-anointing-data-2026-03-08.json,006,6,anointing,,,0,2.2,Phase 1 — STEP Data Assimilation,2026-03-08,Word_annointing.md,ESV,Session A Instruction v4,,Missing Inner Being Words,Spiritual/God-ward,both,,2026-03-16 11:32:38
7,WA-007-anxiety-data-2026-03-12.json,007,7,anxiety,,,0,2.3,Phase 1 --- STEP Data Assimilation,2026-03-12,word_anxiety.md,ESV,Session A Instruction v6,,High Confidence,,both,,2026-03-16 11:32:38
8,WA-026-conscience-data-2026-03-14.json,026,26,conscience,,,0,2.3,Phase 1 --- STEP Data Assimilation,2026-03-14,word_conscience.md,ESV,Session A Instruction v7,,Missing Inner Being Words,Identity/Selfhood,both,,2026-03-16 11:32:38
9,WA-043-desire-data-part1-2026-03-14.json,043,43,desire,1,2,1,2.3,Phase 1 --- STEP Data Assimilation,2026-03-14,word_desire_Part1.md,ESV,Session A Instruction v7,Part 1: na.sa (H5375O) and da.var (H1697H) have no verse records by researcher decision. Phase 2 note recorded in data_quality_flags for both terms.,High Confidence,,OT_only,,2026-03-16 11:32:38
10,WA-043-desire-data-part2-2026-03-14.json,043,43,desire,2,2,1,2.3,Phase 1 --- STEP Data Assimilation,2026-03-14,word_desire_Part2.md,ESV,Session A Instruction v7,Part 1: na.sa (H5375O) and da.var (H1697H) have no verse records by researcher decision. Phase 2 note recorded in data_quality_flags for both terms.,High Confidence,,NT_only,"[""RATSON"", ""CHAMAD"", ""AVAH"", ""CHASHAQ"", ""CHAPHETS"", ""HAVAH"", ""TESHUQAH"", ""AGAV"", ""AVI"", ""SHA-AL"", ""BACHAR"", ""KASAPH"", ""SHA-APH"", ""AHEV"", ""BAQASH"", ""CHAMAL"", ""TSEVA"", ""DAVAR"", ""YARASH"", ""NASA"", ""BEA""]",2026-03-16 11:32:38
