question_code,scope,window,status,deleted,verdict,issue_type,current_text,revised_text,rationale
D1.1.1,Characteristic (HIB behaviour),cognitive,active,0,COMPLIANT,none,"In this verse, what does the characteristic reveal about the person's perception, belief, or judgement -- what do they perceive, believe true, or conclude? Record it, or record none.",,Subject (the characteristic) and grain (in this verse) both explicit.
D1.1.2,Characteristic (HIB behaviour),cognitive,active,0,COMPLIANT,none,"Across the verses, does the characteristic consistently precede a judgement or belief, follow one, or both?",,Subject + grain (across the verses) explicit.
D10.1.1,Verse-context,action-impact,active,0,COMPLIANT,none,"Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none.",,Subject + grain (this verse) explicit.
D10.1.2,Other non-human beings,action-impact,active,0,REVISE,subject-missing;grain-vague(evidence),"Across the evidence, is there any orientation toward a future fullness — something the person moves toward, not only what they currently are? Record it, or record none.","Across the characteristic's verses, does it show any orientation toward a future fullness the person moves toward, not only what they currently are? Record it, or record none.","Original never names 'the characteristic', and 'across the evidence' doesn't say from which verses. OPEN QUESTION (not resolved here): should this be FILTERED to only verses where D10.1.1 found a stated purpose/effect, or is it a genuinely independent aggregate claim? Not confident enough in the content relationship to assert a filter -- used the safer unfiltered aggregate."
D10.2.1,Verse-context,action-impact,active,0,COMPLIANT,none,"What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none.",,Subject + grain (this verse) explicit.
D10.2.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-vague(evidence),"Across the verses, is that immediate response consistent or varied?","Across the verses where an immediate inner-being response was found (per D10.2.1), is it consistent or does it vary by context?","'that immediate response' unrestated; D10.2.1 has an explicit 'record none' gate, and this question only makes sense for the verses where a response WAS found -- filtered, not blanket 'across the evidence'."
D10.3.1,Verse-context,action-impact,active,0,COMPLIANT,none,"What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none.",,Subject + grain (this verse) explicit.
D10.3.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-missing,How does the sustained effect differ from the immediate response (D10.2)?,"At the characteristic level, how does its sustained effect (D10.3.1) differ from its immediate response (D10.2.1)?","Compares two ALREADY-aggregated findings (D10.3.1, D10.2.1) to each other, each drawn from a possibly-different verse subset -- this is characteristic-level synthesis, not a fresh verse scan, so 'across the verses' would itself be imprecise here."
D10.4.1,Verse-context,action-impact,active,0,COMPLIANT,none,"In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown.",,Subject + grain (this verse) explicit.
D10.4.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-vague(evidence),Is the transformation reversible or irreversible in the evidence?,"Across the verses where transformation was found (per D10.4.1), is it reversible or irreversible?","Researcher caught this one directly: original revision ('in the evidence') still didn't say WHAT evidence or from which verses. D10.4.1 gates on 'record none if no transformation is shown' -- this question only applies to the verses where transformation WAS found. Filtered, explicit, no floating 'evidence'."
