osisId,note_id,verse_lexical_id,source_position,source_code_ordinal,source_strong,note_type,resolution_status,target_verse,target_position,related_verse_lexical_ids,value_text,evidence_text
Gen.46.18,20,885439,0,0,H0428,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H0428' at this pass's scope.,
Gen.46.18,21,885440,1,0,H1121A,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1121A' at this pass's scope.,
Gen.46.18,22,885441,2,0,H2153,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H2153' at this pass's scope.,
Gen.46.18,23,885442,3,0,H0834A,entity_link,resolved,Gen.46.18,2,,"'whom' (relative pronoun) refers back to Zilpah (position 2), not Laban -- the antecedent of the relative clause.",
Gen.46.18,24,885443,4,0,H3837A,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3837A' at this pass's scope.,
Gen.46.18,25,885444,5,0,H5414G,verb_argument,resolved,Gen.46.18,4,[885445],"'gave' (H5414G): trigger/agent is Laban (position 4), impact/recipient is Leah (position 6).",
Gen.46.18,26,885445,6,0,H3812,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3812' at this pass's scope.,
Gen.46.18,27,885446,6,1,H9005,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9005' at this pass's scope.,
Gen.46.18,28,885447,7,0,H1323G,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1323G' at this pass's scope.,
Gen.46.18,29,885448,8,0,H3205,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3205' at this pass's scope.,
Gen.46.18,30,885449,8,1,H9023,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9023' at this pass's scope.,
Gen.46.18,31,885450,9,0,H3290,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3290' at this pass's scope.,
Gen.46.18,32,885451,9,1,H9005,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9005' at this pass's scope.,
Gen.46.18,33,885452,9,2,H0853,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H0853' at this pass's scope.,
Gen.46.18,34,885453,9,3,H0428,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H0428' at this pass's scope.,
Gen.46.18,35,885454,10,0,H6240,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H6240' at this pass's scope.,
Gen.46.18,36,885455,10,1,H8337,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H8337' at this pass's scope.,
Gen.46.18,37,885456,11,0,H5315J,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H5315J' at this pass's scope.,
Lev.17.16,136,891333,0,0,H3808,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3808' at this pass's scope.,
Lev.17.16,137,891334,1,0,H3526H,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3526H' at this pass's scope.,
Lev.17.16,138,891335,1,1,H0518A,connective,resolved,,,,"H0518A here is the bound conditional clitic ('if') attached to the verb, not a free-standing connective -- marks this whole clause as a conditional apodosis, matching the verse's own legal-conditional form ('if he does not... he shall bear...').",
Lev.17.16,139,891336,1,2,H9002,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9002' at this pass's scope.,
Lev.17.16,140,891337,2,0,H7364,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H7364' at this pass's scope.,
Lev.17.16,141,891338,2,1,H9023,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9023' at this pass's scope.,
Lev.17.16,142,891339,2,2,H3808,polarity,resolved,Lev.17.16,0,,"Second negator (H3808) extends the first negator's (position 0) scope across both coordinated verbs -- 'does not wash... or bathe' is one negated compound action, not two independent negative clauses.",
Lev.17.16,143,891340,3,0,H1320,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1320' at this pass's scope.,
Lev.17.16,144,891341,3,1,H9002,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9002' at this pass's scope.,
Lev.17.16,145,891342,4,0,H5375J,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H5375J' at this pass's scope.,
Lev.17.16,146,891343,5,0,H9023,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9023' at this pass's scope.,
Lev.17.16,147,891344,6,0,H5771G,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H5771G' at this pass's scope.,
Judg.11.40,118,957152,0,0,H1323G,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1323G' at this pass's scope.,
Judg.11.40,119,957153,1,0,H3478,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3478' at this pass's scope.,
Judg.11.40,120,957154,2,0,H1980G,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1980G' at this pass's scope.,
Judg.11.40,121,957155,2,1,H9011,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9011' at this pass's scope.,
Judg.11.40,122,957156,3,0,H3117I,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3117I' at this pass's scope.,
Judg.11.40,123,957157,3,1,H9006,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9006' at this pass's scope.,
Judg.11.40,124,957158,4,0,H3117I,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3117I' at this pass's scope.,
Judg.11.40,125,957159,5,0,H8567,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H8567' at this pass's scope.,
Judg.11.40,126,957160,5,1,H9005,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9005' at this pass's scope.,
Judg.11.40,127,957161,6,0,H1323G,entity_link,resolved,Judg.11.40,7,,"'daughter' (singular, position 6) refers to Jephthah's daughter specifically (named via his patronymic at position 7-8) -- distinct from 'daughters of Israel' (plural, position 0), the subject who go out to commemorate her.",
Judg.11.40,128,957162,6,1,H9005,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9005' at this pass's scope.,
Judg.11.40,129,957163,7,0,H3316H,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3316H' at this pass's scope.,
Judg.11.40,130,957164,8,0,H1569,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H1569' at this pass's scope.,
Judg.11.40,131,957165,8,1,H9009,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9009' at this pass's scope.,
Judg.11.40,132,957166,9,0,H0702,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H0702' at this pass's scope.,
Judg.11.40,133,957167,10,0,H3117I,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3117I' at this pass's scope.,
Judg.11.40,134,957168,11,0,H8141,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H8141' at this pass's scope.,
Judg.11.40,135,957169,11,1,H9003,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9003' at this pass's scope.,
Prov.31.30,60,434412,0,0,H2580,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H2580' at this pass's scope.,
Prov.31.30,61,434413,0,1,H9009,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H9009' at this pass's scope.,
Prov.31.30,62,434414,1,0,H8267,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H8267' at this pass's scope.,
Prov.31.30,63,434415,2,0,H3308,inert,checked_empty,,,,No relational finding beyond the mechanical Layer-1 read for 'H3308' at this pass's scope.,
