verse_span_id,ve_nr,ve_label,value,from_span,to_span,resolution,pair_kind
262460,101,sense,wisdom — the wise son who gladdens his father,,,,value
262460,102,type,disposition,,,,value
262460,104,seat,none,,,none,flag
262460,105,bearer,the wise son,,262460,inferred,flag
262460,106,operation,the wise son whose wisdom makes his father glad,,,,event
262460,107,target,the father's gladness (262462),,262460,inferred,flag
262460,108,manner,none,,,none,flag
262460,112,coupling,welded to the joy the wise son produces,262460,262462,span,pair
262460,114,discovery,chakam (wise) — 'a WISE son makes a glad father'; wisdom's fruit reaches beyond the self into the family's joy. The son's inner character shapes the parents' heart.,,,,note
262460,115,role,characteristic,,,,value
262460,116,locus,internal:ib-state,,,,value
262462,101,sense,gladness — the joy a wise son brings his father,,,,value
262462,102,type,affect,,,,value
262462,104,seat,none,,,none,flag
262462,105,bearer,the father,,262462,inferred,flag
262462,106,operation,the father's gladness produced by his son's wisdom,,,,event
262462,107,target,the wise son (262460),,262462,inferred,flag
262462,108,manner,none,,,none,flag
262462,112,coupling,welded to the wisdom that produces it,,262462,inferred,flag
262462,114,discovery,"samach (rejoice/be glad) — 'makes a GLAD father'; the parental joy that wise children give. Wisdom is relational, gladdening those who love the child.",,,,note
262462,115,role,characteristic,,,,value
262462,116,locus,internal:ib-state,,,,value
262464,101,sense,folly — the foolish son who grieves his mother,,,,value
262464,102,type,disposition,,,,value
262464,104,seat,none,,,none,flag
262464,105,bearer,the foolish son,,262464,inferred,flag
262464,106,operation,the foolish son whose folly is grief to his mother,,,,event
262464,107,target,the mother's sorrow (262466),,262464,inferred,flag
262464,108,manner,none,,,none,flag
262464,112,coupling,welded to the grief the fool produces,262464,262466,span,pair
262464,114,discovery,kesil (dull fool) — 'a FOOLISH son'; the antithesis to the wise son. Folly too reaches the family — as sorrow.,,,,note
262464,115,role,characteristic,,,,value
262464,116,locus,internal:ib-state,,,,value
262466,101,sense,grief — the pain a foolish son brings his mother,,,,value
262466,102,type,affect,,,,value
262466,104,seat,none,,,none,flag
262466,105,bearer,the mother,,262466,inferred,flag
262466,106,operation,the mother's grief caused by her son's folly,,,,event
262466,107,target,the foolish son (262464),,262466,inferred,flag
262466,108,manner,none,,,none,flag
262466,112,coupling,welded to the folly that produces it,,262466,inferred,flag
262466,114,discovery,tugah (grief/sorrow) — 'a sorrow to his MOTHER'; the answering grief to the father's gladness. The couplet frames a child's character by the joy or pain it gives the parents.,,,,note
262466,115,role,characteristic,,,,value
262466,116,locus,internal:ib-state,,,,value
262471,101,sense,trouble-making — the sly winker causes trouble,,,,value
262471,102,type,action,,,,value
262471,104,seat,none,,,none,flag
262471,105,bearer,the deceitful winker,,262471,inferred,flag
262471,106,operation,"the trouble the sly, eye-winking schemer gives to others",,,,event
262471,107,target,the trouble caused (262472),,262471,inferred,flag
262471,108,manner,none,,,none,flag
