step,table_name,join_note,inactive,virtual
configmaint.report,cfg_*,"every cfg_* table, one CSV per table — the config store's own verbatim dump",0,0
candidate.validate,candidate_seed,,1,0
candidate.validate,span_candidate,,1,0
candidate.validate,lemma_inventory,,1,0
candidate.load,candidate_seed,this run's decision='exception' rows,1,0
passage.validate,passage,,0,0
passage.validate,verse_passage,,0,0
report.word,span,word-scoped,0,0
report.word,word_strong,word-scoped,0,0
validation.word,span,"word-scoped, same slice report.word checks",0,0
validation.word,word_strong,word-scoped,0,0
validation.book,candidate_seed,book-scoped,0,0
validation.book,passage,book-scoped,0,0
validation.book,verse_passage,book-scoped,0,0
retention.report,run,,0,0
retention.report,escalation,,0,0
retention.report,validation_result,,0,0
report.seed_candidate,candidate_seed,joined to lemma_inventory.gloss,1,0
report.strong_meaning,strong_sense,joined to strong.stepGloss,0,0
report.strong_meaning,strong_meaning_tree,joined to strong.stepGloss via lemma_key,0,0
report.span_analysis,span,,0,0
report.span_analysis,span_candidate,,0,0
report.registry,word_registry_strong_pairing,joined to word_strong/strong/strong_sense,0,1
lexicon.validate,strong_meaning_parsed,,0,0
lexicon.validate,strong_lsj_parsed,,0,0
lexicon.validate,strong_mounce_parsed,,0,0
lexicon.validate,strong_related,,0,0
report.registry,word_registry,"plain word_registry listing, no join -- one row per registry word regardless of word_strong linkage; CSV mirror of the listing report section (BUILD.md sec89)",0,0
report.strong_meaning,strong,the raw table this report analyzes for lexicon-completeness/gap-list sections,0,0
report.strong_meaning,strong_lexicon,the raw table this report analyzes for lexicon-completeness sections,0,0
report.span_analysis,verse,read for preview text in the sample-verses section,0,0
lexicon.validate,strong,the raw table this report analyzes for its coverage check,0,0
lexicon.validate,strong_lexicon,the raw table this report analyzes for lexicon-detail coverage,0,0
report.registry,word_strong,"the raw junction table itself, not just its joined pairing export",0,0
report.cluster,cluster,,0,0
report.cluster,cluster_strong,joined to strong.stepGloss/language and cluster.short_name,0,0
report.cluster,strong_without_cluster,word-origin strong rows with no cluster_strong assignment -- the LLM-allocation target set,0,1
escalation.list,escalation,"raw, unprocessed dump of the escalation table itself -- NOT the exception-category findings (those are markdown-only report sections, D4 correction from v4's original, wrong claim that the CSV was the flagged-exception rows).",0,0
report.obs_catalogue,wa_obs_question_catalogue,"verbatim dump, no join -- but it's a bible_research.db table supplied via row_filter (cataloguereport.py connects cross-database itself), not a literal iba.db table write_csv_pairing could SELECT * from directly -- virtual=1 per find_bad_report_csv_table_references' documented row_filter exemption",0,1
