id,run_id,word,at_step,type,question,preset,tried,state,answer,answered_at,raised_at,comment
1,RUN-20260718_033615_560-NEW-WORD,hypocrisy,registry.create,prompted,Register the new word 'hypocrisy'?,"{""word"": ""hypocrisy"", ""maps_to_strongs"": 5, ""strongs"": [""G0505"", ""G5272"", ""H2612"", ""H2519"", ""G4942""], ""already_held"": [], ""meanings_total"": 17}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T02:36:16Z,2026-07-18T02:36:16Z,
3,RUN-MALICE-1,malice,registry.create,prompted,Register the new word 'malice'?,"{""word"": ""malice"", ""maps_to_strongs"": 9, ""strongs"": [""H1942"", ""G2549"", ""G4189"", ""H0205G"", ""G2550"", ""H7589"", ""H8130"", ""H5767"", ""H5360""], ""already_held"": [], ""meanings_total"": 263, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T03:21:18Z,2026-07-18T03:21:05Z,
4,RUN-20260718_084843_401-NEW-WORD,abomination,registry.create,prompted,Register the new word 'abomination'?,"{""word"": ""abomination"", ""maps_to_strongs"": 15, ""strongs"": [""G0947"", ""G0946"", ""G8238"", ""G6662"", ""H8441"", ""H8251"", ""H2194"", ""H8263"", ""H4656"", ""H6292"", ""G0948"", ""H8581"", ""H8262"", ""H0887"", ""G0111""], ""already_held"": [], ""meanings_total"": 209, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T07:48:44Z,2026-07-18T07:48:44Z,
5,RUN-20260718_104618_085-NEW-WORD,agony,registry.create,prompted,Register the new word 'agony'?,"{""word"": ""agony"", ""maps_to_strongs"": 11, ""strongs"": [""G0074"", ""H2427B"", ""H2427A"", ""H7661"", ""G3600"", ""H8463"", ""G5604"", ""H2256B"", ""H1518"", ""G0928H"", ""H2342I""], ""already_held"": [], ""meanings_total"": 56, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:46:19Z,2026-07-18T09:46:19Z,
6,RUN-20260718_104623_688-NEW-WORD,ambition,registry.create,prompted,Register the new word 'ambition'?,"{""word"": ""ambition"", ""maps_to_strongs"": 2, ""strongs"": [""G2052"", ""G5389""], ""already_held"": [], ""meanings_total"": 10, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:46:24Z,2026-07-18T09:46:24Z,
7,RUN-20260718_104627_643-NEW-WORD,anger,registry.create,prompted,Register the new word 'anger'?,"{""word"": ""anger"", ""maps_to_strongs"": 36, ""strongs"": [""G7026"", ""G3950"", ""H5674B"", ""H7107"", ""H2740"", ""H0639I"", ""H0639G"", ""H6440M"", ""H0639H"", ""H5678"", ""H2195"", ""H2534"", ""H2528"", ""H7307J"", ""H7110B"", ""G3949"", ""G3710"", ""G2373"", ""H0644"", ""H2734"", ""H8474"", ""H7265"", ""H5307K"", ""H5201"", ""G3947"", ""H3707"", ""H5860A"", ""H5006"", ""H2552"", ""H7267"", ""G8318"", ""H3708B"", ""H3708A"", ""G3709"", ""G2372"", ""H7110A""], ""already_held"": [], ""meanings_total"": 687, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:46:28Z,2026-07-18T09:46:28Z,
8,RUN-20260718_105228_690-NEW-WORD,anguish,registry.create,prompted,Register the new word 'anguish'?,"{""word"": ""anguish"", ""maps_to_strongs"": 36, ""strongs"": [""G0074"", ""H2427A"", ""H7661"", ""G3601"", ""G4928"", ""H2479"", ""H6695B"", ""H7089"", ""G3600"", ""H2342B"", ""H4751"", ""H4164"", ""H4691"", ""H4689"", ""H6869B"", ""H6862B"", ""H7451C"", ""H6862C"", ""H5892A"", ""H5100"", ""G4730"", ""H2256B"", ""H6735C"", ""G2347"", ""H7115"", ""H3015"", ""H4712"", ""H6088"", ""G0928H"", ""H2342K"", ""H2342J"", ""H2342H"", ""H2342A"", ""H2342I"", ""G4192"", ""H5999""], ""already_held"": [""G0074"", ""H2427A"", ""H7661"", ""G3600"", ""H2256B"", ""G0928H"", ""H2342I""], ""meanings_total"": 556, ""possible_duplicates"": [{""word"": ""agony"", ""status"": ""raw-complete"", ""shared"": 7}], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:52:29Z,2026-07-18T09:52:29Z,
9,RUN-20260718_105355_081-NEW-WORD,anointing,registry.create,prompted,Register the new word 'anointing'?,"{""word"": ""anointing"", ""maps_to_strongs"": 21, ""strongs"": [""G5547"", ""G6221"", ""H4899"", ""G5545"", ""H4888A"", ""H4888B"", ""H4473"", ""H4887"", ""H8081"", ""G0218"", ""G3462"", ""G5548"", ""G8202"", ""H5480"", ""H4886"", ""H1101A"", ""H3251"", ""H3332G"", ""H1878"", ""G1472"", ""G2025""], ""already_held"": [], ""meanings_total"": 818, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:53:56Z,2026-07-18T09:53:55Z,
10,RUN-20260718_105403_509-NEW-WORD,anxiety,registry.create,prompted,Register the new word 'anxiety'?,"{""word"": ""anxiety"", ""maps_to_strongs"": 8, ""strongs"": [""H1674"", ""H8312"", ""H1672"", ""G3308"", ""G4329"", ""H7599"", ""G0275"", ""G0253""], ""already_held"": [], ""meanings_total"": 31, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:54:04Z,2026-07-18T09:54:04Z,
11,RUN-20260718_105407_946-NEW-WORD,appetite,registry.create,prompted,Register the new word 'appetite'?,"{""word"": ""appetite"", ""maps_to_strongs"": 5, ""strongs"": [""G2836"", ""G0776"", ""H5315L"", ""H2421"", ""H8264""], ""already_held"": [], ""meanings_total"": 326, ""possible_duplicates"": [], ""duplicate_warning"": null}",the app cannot self-approve a new registry word (researcher approval required),answered,yes,2026-07-18T09:54:08Z,2026-07-18T09:54:08Z,
