internal_key,section_type,heading,definition,background,status,aliases
delete_marker.plain_soft_delete,Programme glossary,delete_flagged,"Deleted in the project indicate that the item is soft-delete by setting the the delete column to 1 or 'delete' or 'inactive'.  As a general practice records are not removed, but soft-deleted. Column naming for the same behaviour varies: deleted, delete_flagged. These records should be excluded from usage","The project's dominant deletion convention, used on most tables in both databases. Distinct from deleted (version-aware supersession) and deleted (folder state) below, and from inactive, the separate convention for retiring config registrations rather than data rows. wa_obs_question_catalogue.deleted currently disagrees with that table's own status column — a known, unreconciled inconsistency.",active,delete_flagged; deleted; delete_flag; deprecated (retired name)
delete_marker.version_aware_supersession,Programme glossary,deleted,,,Delete,
delete_marker.folder_existence_state,Programme glossary,deleted,,,Delete,
config_registration_inactive_flag,Programme glossary,inactive,"inactive, used in cfg.* tables, is a alternative term to deleted and should be excluded for any operations.","The config-system counterpart to delete_flagged: retires a config registration rather than project data. Used, for example, to retire the wa_vocab_set/wa_vocab_member tables once their content was migrated into this Glossary.",active,
cluster.mcode,Programme glossary,M-Code cluster,"An analytical grouping mechanism for Strong's terms. Each cluster carries an M-code (e.g. M01). M01–M47 group Strong's terms by shared characteristics of the inner being. Two further codes extend the scheme: FLAG holds terms not yet decided into a characteristic grouping, and T2 holds supplementary terms that are not themselves inner-being terms. T3 is a related tier (not itself a cluster_code value) for action verbs and other terms not directly tied to an inner-being operation.","Bare cluster columns holding this sense: ib_characteristic.cluster, verse_span_index.cluster, file_manifest.cluster; the code itself is cluster.cluster_code. See the other ""cluster"" entry below for an unrelated, retired scheme (C01–C22) that also uses the word ""cluster"" on one column.",active,
cluster.ccode,Programme glossary,C-code,Dimension Reviews used C-code (C01–C22) to group strong terms. This grouping is distinguished from cluster (M-code).C-code allocations is completely redundant and no longer used.,"wa_dim_review_cluster_log.cluster carries this sense under the bare column name cluster — the one place in the schema where that bare name disagrees with every other table's M-code convention. Reading it as an M-code would be a real, silent misread.",Superseded,cluster_assignment (word_registry's own column name for this sense)
cluster_code.FLAG,Programme glossary,FLAG,FLAG is a specific type of Cluster of strong terms that have not been considered for Cluster allocation.,"Not the generic word ""flag"" — quality flags, research flags, term flags, and inference flags are each their own unrelated thing project-wide. Named distinctly here because a plain search for ""flag"" returns dozens of unrelated hits.",active,
cluster_code.T2,Programme glossary,T2,"M-code cluster with code T2 consists of Strong's codes carrying no direct inner-being connotation. These terms may serve as a qualifier to enhance another inner being term. Their analytic value is closely tied to another term, never in isolation.","Also appears as a Scope-focus bucket label and in verse_coverage's n_T2/n_study_nonT2 counts, all the same sense. Distinct from T3, a tier for human operations/movements not tied to one cluster (T3 is not itself a cluster_code value).",active,
characteristic.programme_concept,Programme glossary,characteristic,"[DEFINION] Characteristic (short form Char) is widely used to describe inner being.  behaviour.  It is the foundatioin for the programme observations of how the inner being works or manifest.  The composition and naming of specific characteristics are not  predefined and is part of the subject matter of the program.  The word_registry.word IS NOT a characteristic and the registry should never be used as the composition of a specific Characteristic.  The lemma, gloss, sub gloss or surface word used in the lexical is not synonomous to a characteristic.   A specific characteristic is likely to be associated with a group of strong terms with several of these groupings being part of Cluster. The cluster grouping sits somewhere between the individual strong term and analytical assembly of related terms into a cluster.. [BACKGROUND] Unlike the body that have a defined set of members (arms. fingers etc) , the inner being does consist of a predefined list of characteristics. Characteristics cannot be measured and their structure and existence are only known by inference on the inner being behaviours.  Characteristics is not a thing, it is likely to be something like a process, state, movement.  The collection of behaviours, processes, actions, movements in the inner being give substance to an specific characteristic such as anger or love.  The naming of specific characteristics are still in flux and have not yet been established.  Associated words for this grouping effort is clusters, subgroups, phenomena, and family ","The widest grain of the word ""characteristic"" in the project. Every other characteristic sense below operationalises some part of this concept in a specific table; none competes with it.",active,
characteristic.model_a_table,Programme glossary,characteristic,,"Model A's live, current characteristic table. Not to be confused with Model B's ib_characteristic (a different grain and hierarchy) or that model's own retired predecessor, ib_characteristic_legacy.",Delete,
characteristic.model_b_current,Programme glossary,characteristic,,"A structurally different grain from Model A's characteristic table — derived by book and lemma-keyed code, not by cluster membership. Supersedes ib_characteristic_legacy, the concept-slug-keyed predecessor still present in the schema.",Delete,ib_characteristic
characteristic.model_b_legacy,Programme glossary,characteristic,,Retained in the schema but superseded; its own colour_range and open_questions fields describe a characteristic's internal range and unresolved research questions in a way the current model handles differently.,Delete,
characteristic.span_level_freetext,Programme glossary,characteristic,,"Not a reference to any table-level characteristic sense above. Its structured counterpart is verse_span_index.ib_char_id, which resolves to characteristic (ib_characteristic) on the same rows.",Delete,
operation.iba_debate_entity,Programme glossary,operation,"operation within the context of the inner being encapsulate or describe what and how a inner being activity is working or behaving.  This includes from or to other objects outside of the inner being such as another inner being,  non-inner being, or physical object","Enforced to originate only from an already-registered phenomenon. A specific object with its own table, ordinal, and party links — not a description in prose. See operation (free-text description) for the unrelated bible_research.db sense.",active,
operation.legacy_freetext_description,Programme glossary,operation,,,delete,
family.ib_characteristic_thematic,Programme glossary,family,family within the context of work related to characteristics is used as an alternative method to group terms together for analytical purposes.  A family of terms is a characteristic in the making.,"Distinct from family (root), which groups terms by shared etymology, not theme.",active,
family.linguistic_root,Programme glossary,family root,root or family root in entymological grouping that eminates from STEP,"An etymological grouping, unrelated to family (thematic) despite sharing the word ""family.""",active,root family; root_family
scope.verse_coverage_band,Programme glossary,scope,scope within the context of the verse defines the verse or passage that collectively represent the data that is subject to analysis,"Convention only, no CHECK constraint. One of at least four unrelated live meanings of the bare column name scope — see the sibling entries below.",active,
