question_code,window,population_scope,per_verse_or_global,gating_condition,question_text
D7.7.1,action-impact,home-cluster strong(s) only,per-verse,requires >=1 T3(Operations)-tagged strong AND >=1 party-tagged (T4/T7/T8/T9) strong present in verse,"In this verse, where an action or movement word is classified as an Operation for this cluster, what is that word's relation to the parties present in the verse -- who initiates it, and toward whom or what is it directed? Record none if no such operation word is present."
M0.1.1,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
M0.1.2,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,What do the primary Hebrew and Greek terms show at the definitional level?
M0.1.3,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"What directional, relational, or constitutional implication does the name carry?"
M0.5.1,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
M0.5.10,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,What does the full vocabulary arc show about the characteristic's complete semantic range?
M0.5.11,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"In this verse, where this occurrence's meaning diverges from the term's usual sense elsewhere, what nuance does that divergence carry here, and how does it compare to the word's other occurrences? Record none if this occurrence matches the term's usual sense."
M0.5.2,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"What is the grammatical range of this term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
M0.5.3,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"What is the semantic range of this term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
M0.5.4,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
M0.5.5,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
M0.5.6,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
M0.5.7,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
M0.5.8,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
M0.5.9,meaning,"word-level (any M-code strong in verse, home or not)",global-once-per-strong-ever,none,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
M0.6.5,relational,home-cluster strong(s) only,per-verse,none,"What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse -- does it cause, enable, intensify, block, respond to, or stand in tension with each one, and do they share the same party or act on different parties? Record none if no other M-code characteristic is present."
M0.6.6,relational,home-cluster strong(s) only,per-verse,requires >=1 OTHER M-code strong present in verse,"Taking every M-code characteristic present in this verse together, what is the overall relational network this verse depicts -- which characteristics connect to which others, and how does this characteristic's own role fit within that whole picture? Record none if this characteristic is the verse's only M-code element."
M0.7.1,action-impact,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] state or imply any purpose, role, or effect it serves for the person it relates to -- what it leads them to be, do, or become? Record it if stated; otherwise record none."
M0.7.10,faculty,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] engage or get affected by any inner-being faculty (the senses, spiritual discernment, cognition, memory, affect, creativity, volition, agency, moral evaluation, conscience, conscientiousness, or relational capacity), and if so which and how? Record none if it does not."
M0.7.11,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] operate in the person's movement toward God -- seeking, supplication, worship, covenant -- and if so how? Record none if it does not."
M0.7.12,relational,all M-code strongs in verse (home or not),per-verse (not settled-once),none,"In this verse, does [this word] operate from God toward the human person, and if so how? Record none if it does not."
