cluster_code,strong,gloss,language,source,confidence,review_flag,rationale
T4,G1139,be demonised,Greek,llm-allocation-v1_3-20260811,low,1,"does not denote inner being → T2 (F2) | relocated T2->T4 2026-09-08 (escalation #1598, researcher-approved). be demonised -- adversarial-action verb form, escalation #1598"
T4,G1140,demon,Greek,claude-scan-20260908,high,0,"gloss 'demon' -- evidence-checked live, escalation #1598"
T4,G1228G,Devil,Greek,llm-allocation-v1_3-20260811,low,1,"does not denote inner being → T2 (F2) | relocated T2->T4 2026-09-05 (adversarial-party cluster refinement, researcher-approved verbatim this session: 'this is not cfg territory... continue with setting a new cluster code'). diabolos, gloss 'Devil' -- evidence-checked live against strong.stepGloss (G1228H 'slanderous', the adjective sense, is untouched -- stays at its existing M14/Deceit assignment, a different sense for a different reason)"
T4,G1404,dragon,Greek,claude-scan-20260908,medium,0,"gloss 'dragon' -- Revelation's own identification with Satan (Rev 12:9), escalation #1598"
T4,G4567,Satan,Greek,auto-precedent,,0," | relocated T2->T4 2026-09-05 (adversarial-party cluster refinement, researcher-approved verbatim this session: 'this is not cfg territory... continue with setting a new cluster code'). satanas, gloss 'Satan' -- evidence-checked live against strong.stepGloss"
T4,H7854,Satan,Hebrew,llm-allocation-v1_3-20260811,low,1,"does not denote inner being → T2 (F2) | relocated T2->T4 2026-09-05 (adversarial-party cluster refinement, researcher-approved verbatim this session: 'this is not cfg territory... continue with setting a new cluster code'). satan, gloss 'Satan' -- evidence-checked live against strong.stepGloss"
T5,G3361,not,Greek,old-system-migration,,0," | relocated T2->T5 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). me, negator particle -- evidence-checked live"
T5,G3756,no,Greek,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- ou, negator particle -- evidence-checked live (no prior cluster_strong row)"
T5,G3760,by no means,Greek,llm-allocation-v1_3-20260811,medium,0,"no precedent; non-IB/function/concrete → T2 (F2) | accepted | relocated T2->T5 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). oudepote, negator particle -- evidence-checked live"
T5,G3761,nor,Greek,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- oude, negator particle -- evidence-checked live (no prior cluster_strong row)"
T5,H0408,not,Hebrew,old-system-migration,,0," | relocated T2->T5 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). lo, negator particle -- evidence-checked live against strong.stepGloss"
T5,H3808,not,Hebrew,old-system-migration,,0," | relocated T2->T5 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). lo, negator particle -- evidence-checked live against strong.stepGloss"
T5,H3809,not,Hebrew,old-system-migration,,0," | relocated T2->T5 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). la, negator particle (Aramaic) -- evidence-checked live"
T6,G1063,for,Greek,llm-allocation-v1_3-20260811,high,0,"single-cluster precedent (P1+P2) | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). gar, causal connective ('for') -- evidence-checked live"
T6,G1161,then,Greek,old-system-migration,,0," | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). de, coordinating connective ('but'/'and') -- evidence-checked live"
T6,G2443,in order that/to,Greek,llm-allocation-v1_3-20260811,low,1,"does not denote inner being → T2 (F2) | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). hina, purpose connective ('so that'/'in order that') -- evidence-checked live"
T6,G2532,and,Greek,old-system-migration,,0," | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). kai, coordinating connective ('and') -- evidence-checked live"
T6,H3588A,for,Hebrew,auto-precedent,,0," | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). ki, causal connective ('because'/'for') -- evidence-checked live"
T6,H9002,and,Hebrew,auto-precedent,,0," | relocated T2->T6 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). waw, coordinating connective ('and') -- evidence-checked live"
T7,G2316,God,Greek,llm-allocation-v1_3-20260811,high,0,"single-cluster precedent (P1) | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). theos, gloss 'God' -- evidence-checked live, escalation #1383 v32"
T7,G2424,,,migration-20260905-decfgification,,0,"new assignment 2026-09-05 (no prior cluster_strong row) -- iesous, gloss 'Jesus' -- evidence-checked live (no prior cluster_strong row), escalation #1383 v32"
T7,G2424G,Jesus,Greek,claude-scan-20260908,high,0,"'Jesus' -- direct Party-Divine match, 922 occurrences, a major omission from the untagged pool. escalation #1598 Phase F1"
T7,G2960,the Lord’s,Greek,heuristic-family-grouping-v1-20260905,heuristic,0,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term"
T7,G2962G,lord: God,Greek,claude-scan-20260908,high,0,"'lord: God' (kyrios referring to God) -- direct Party-Divine match, 631 occurrences. escalation #1598 Phase F1"
T7,G5310,Highest,Greek,claude-scan-20260908,medium,0,"Phase I (escalation #1598): surfaced via a coincidental root-relation to a T10 place member (""Upper Beth-horon""), but is actually a divine title (""Most High""/""Highest"") -- redirected to Party-Divine, not Places -- ""Highest"""
T7,G5547,Christ,Greek,old-system-migration,,0," | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). christos, gloss 'Christ' -- evidence-checked live, escalation #1383 v32"
T7,H0113,lord,Hebrew,claude-scan-20260908,low,1,"'lord' -- verse-checked, genuinely dual-referent: Dan.12.8/Gen.18.3 address God ('Lord'), Gen.18.12 addresses a human ('my lord', Sarah to Abraham). Dual-tagged T7+T8, matching the confirmed 'dual membership is the norm' principle -- which sense applies in a given verse is Layer 2's job. escalation #1598 Phase C1"
T7,H0410G,God,Hebrew,old-system-migration,,0," | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). el, gloss 'God' -- evidence-checked live, escalation #1383 v32"
T7,H0410H,El [Berith],Hebrew,claude-scan-20260908,high,0,"STEP TIP deity entry (Phase H, escalation #1598): ""A male deity in the Old Testament;"" -- exact-code completion, base H0410 already carries T7 siblings."
T7,H0410I,El [Elohe],Hebrew,claude-scan-20260908,high,0,"Phase J (escalation #1598): exact-code completion, base H0410 already T7 -- ""The Deity;"""
T7,H0410K,god,Hebrew,auto-precedent,,0," | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). el, gloss 'God' (variant sense) -- evidence-checked live, escalation #1383 v32"
T7,H0410L,god: power,Hebrew,llm-allocation-v1_3-20260811,medium,0,"translit-only precedent (homonym risk) — single-cluster precedent (P3) | accepted | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). el, gloss 'God' (variant sense) -- evidence-checked live, escalation #1383 v32"
T7,H0430G,God,Hebrew,auto-precedent,,0," | relocated T2->T7 2026-09-05 (de-cfg-ification, researcher-approved granularity test, escalation #1499). elohim, gloss 'God' -- evidence-checked live, escalation #1383 v32"
T7,H0528,Amon,Hebrew,claude-scan-20260908,high,0,"STEP TIP biographical-identity entry (party-gap classification, escalation #1598 Phase G): ""A male deity in the Old Testament; called Amon (אָמוֹן) § an Egyptian god, originally the local god of Thebes, later head of the Egyptian pa"" -- named divine figure (true God or a named pagan deity referenced as a divine-class actor), same T7 party_kind treatment as existing pagan-deity-adjacent members."
