action,field,condition_key,message,active,check_kind
raise,comment,always,comment is required at Raise -- minimum: what the item is about,1,field_required
raise,short_description,always,short_description must pass the title-shape check (escalation #759),1,field_required
approved,resolution,always,next_action='approved' requires resolution to be filled in (plan v3 sec3),1,field_required
reject,state,always,"next_action='reject' requires state='withdraw' or 'supersede', chosen explicitly",1,field_required
revise,tried,claude_revising,tried is required when Claude sets next_action=revise on its own item -- describe what was attempted and why it didn't resolve it,1,field_required
ready_for_approval,resolution,always,"next_action='ready_for_approval' requires resolution to be filled in -- the readiness check, re-confirmed at 'approved' (D25).",1,field_required
update,state,has_content,an update carrying comment/context/tried cannot leave the item at state='raised' -- move it off raised first (e.g. -State in-progress) before attaching work (D26).,1,not_raised_with_content
raise,resolution_kind,always,resolution_kind is required at Raise -- decision_required or self_correctable (cfg_enum resolution_kind). See cfg_behaviour_rule 'decision-points-are-terminal-not-inline'.,1,field_required
approved,next_action,always,"decision_required items may only move to approved from a CURRENT next_action of ready_for_approval -- no shortcut, and no credit for having passed through it earlier (escalation #851/#865, tightened 2026-08-31)",1,requires_current_ready_for_approval_if_decision_required
noted,next_action,always,"decision_required items may only move to noted from a CURRENT next_action of ready_for_approval -- noted reaches the same closed state as approved, same requirement applies (escalation #851, tightened 2026-08-31)",1,requires_current_ready_for_approval_if_decision_required
update,next_action_assigned_to,always,this item is currently assigned to someone else -- only the current assignee may act on it (reassign it to yourself first if you legitimately hold authority to),0,actor_must_be_assignee
resolve_self_correctable,next_action_assigned_to,always,this item is currently assigned to someone else -- only the current assignee may act on it,0,actor_must_be_assignee
escalate_to_decision,next_action_assigned_to,always,this item is currently assigned to someone else -- only the current assignee may act on it,0,actor_must_be_assignee
approved,originator,always,"decision_required items may only be approved by the Researcher, structurally -- not by Claude self-authorising via a self-directed ready_for_approval (closes the loophole D25 alone leaves open)",1,decision_required_approval_requires_researcher
noted,originator,always,"decision_required items may only be closed via noted by the Researcher, structurally -- same rule as approved (noted reaches the same closed state)",1,decision_required_approval_requires_researcher
