question_code,scope,window,status,deleted,verdict,issue_type,current_text,revised_text,rationale
D1.1.1,Characteristic (HIB behaviour),cognitive,active,0,COMPLIANT,none,"In this verse, what does the characteristic reveal about the person's perception, belief, or judgement -- what do they perceive, believe true, or conclude? Record it, or record none.",,Subject (the characteristic) and grain (in this verse) both explicit.
D1.1.2,Characteristic (HIB behaviour),cognitive,active,0,COMPLIANT,none,"Across the verses, does the characteristic consistently precede a judgement or belief, follow one, or both?",,Subject + grain (across the verses) explicit.
D10.1.1,Verse-context,action-impact,active,0,COMPLIANT,none,"Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none.",,Subject + grain (this verse) explicit.
D10.1.2,Other non-human beings,action-impact,active,0,REVISE,subject-missing,"Across the evidence, is there any orientation toward a future fullness — something the person moves toward, not only what they currently are? Record it, or record none.","Across the evidence, does the characteristic show any orientation toward a future fullness the person moves toward, not only what they currently are? Record it, or record none.",Original never names 'the characteristic' -- 'is there any orientation' floats without a subject unless read together with D10.1.1.
D10.2.1,Verse-context,action-impact,active,0,COMPLIANT,none,"What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none.",,Subject + grain (this verse) explicit.
D10.2.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing,"Across the verses, is that immediate response consistent or varied?","Across the verses, is the characteristic's immediate inner-being response (per D10.2.1) consistent or varied by context?",'that immediate response' is a bare pronoun with no restated subject -- unreadable standalone.
D10.3.1,Verse-context,action-impact,active,0,COMPLIANT,none,"What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none.",,Subject + grain (this verse) explicit.
D10.3.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-missing,How does the sustained effect differ from the immediate response (D10.2)?,"Across the verses, how does the characteristic's sustained effect (D10.3.1) differ from its immediate response (D10.2.1)?",'the sustained effect' unrestated; no aggregate/verse marker at all.
D10.4.1,Verse-context,action-impact,active,0,COMPLIANT,none,"In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown.",,Subject + grain (this verse) explicit.
D10.4.2,Characteristic (HIB behaviour),action-impact,active,0,REVISE,subject-missing;grain-vague,Is the transformation reversible or irreversible in the evidence?,"Across the evidence, is the characteristic's transformation (per D10.4.1) reversible or irreversible?",'the transformation' unrestated; 'in the evidence' as a trailing clause is weaker than a leading grain marker.
