id,rule_key,rule_text,enforced_by,active
1,source_classification,"The source of an escalation is one of: code-generated (a validation/quality check -- value = the generating module name), raised-by-Claude, or raised-by-Researcher. A code-generated row's source column must include the module as the source.","escalation.raise_ (source parameter) for the dispatcher shape; the raise_manual half of this claim was stale (function removed in the redesign) -- manual-shape raises (escalation.raise_new) take source as a direct required parameter, no separate classification logic exists for that shape",1
2,duplicate_suppression,A duplicate of the same issue in the same state must not be raised again.,escalation.open_duplicate,1
3,module_blocking,"Running a module registered in cfg_utility (or a step registered in cfg_step) is blocked while it has an unresolved escalation against it (state is one of raised, re-assign).","run.py:run_step()'s third dispatch gate (escalation #646, 2026-08-17) -- checks for an unresolved escalation (state IN raised/re-assigned) against either the exact step (at_step=step_id) or the owning module (source=<module prefix>), refuses to dispatch if found. Live and wired; corrected 2026-08-21 (escalation #746) -- was stale, still read 'not yet wired' after #646 (the item that built this) closed.",1
4,resolution_precedence,Escalation resolution takes precedence over any other activity; open items with next_action_assigned_to='Claude' must be addressed before other work.,session practice (Claude Code) -- not mechanically enforced,1
5,chat_routing,"Chat discussions must be actioned through escalations -- the next action to work on arrives from an escalation, and the actions/steps identified are recorded in escalations, optionally by reference to a planning document that carries a whole package of tasks. Extended 2026-08-16: any judgement call reported only in chat prose (a 'left as-is', 'deliberately not touched', 'deferred' statement, or similar) that represents an actual open question or unfinished work -- not a closed decision with no further action possible -- must get its own escalation in the SAME turn it's mentioned, not after being asked. A closed, fully-reasoned decision (e.g. 'this historical record is correctly left unedited, nothing further to do') does not need one -- only genuine open items and judgement calls do. Extended 2026-08-20 (researcher direct instruction, this session): the rule applies symmetrically -- not only Claude's self-reported judgement calls, but any comment, correction, or feedback the RESEARCHER gives in chat that relates to an existing escalation, or that itself constitutes a genuine open item or judgement call, must be captured as part of an escalation (a new item, or an update to the item it relates to) by Claude in the same turn it is given, not left to live only in the chat transcript. The same closed-decision exemption above still applies -- a purely closed acknowledgement needs none.

Extended 2026-08-21: content captured under this rule is recorded with the operative instruction or correction quoted VERBATIM -- the researcher's or Claude's own exact words for the substantive instruction/finding, not a paraphrase. Claude's own connective framing may surround it, clearly distinguishable from the quoted part.","session practice (Claude Code) -- not mechanically enforced (nothing can reliably scan this session's own prose for 'looks like a deferred item'). Researcher caught a real violation live, 2026-08-16: 3 'deliberately not touched' items reported in one chat response, only 1 of which (a genuine judgement call, GOVERNANCE.md sec6) should have been escalated and wasn't until asked -- see escalation MANUAL-20260816_191254_734775.",1
6,document_reference_grouping,"When a package of related tasks/actions is raised as multiple escalation rows, each row records its planning document as JSON in `context` (e.g. {""reference_doc"": ""outputs/markdown/...md""}) and shares one consistent `related_activity` string across the group, so the whole package can be found and worked as a unit later (list/search by related_activity) rather than only by reading each short_description individually.","not currently enforced -- escalation.raise_manual (the function this used to name) was removed in the 2026-08-20 redesign and has no replacement check; found stale during escalation-config-review-v2-20260820.md, corrected during the 2026-08-20 rebuild",1
7,full_path_file_references,"Any specific file mentioned in an escalation's text (related_activity, short_description, tried, resolution, context) must be given as its full repo-relative path (e.g. iba/app/run.py), never a bare filename (e.g. run.py) -- a bare filename doesn't help the researcher locate it, and in a large repo may not even be unique. Verified 2026-08-16: 'run.py' resolves to 5 different files in this repo (3 vendored in a docx library, 1 real at iba/app/run.py) -- a bare mention is actively ambiguous, not just less convenient.","not mechanically checked (free text, no reliable way to detect ""is this really an ambiguous filename mention"" from a regex) -- writing discipline applied by whoever raises/edits the row. Researcher caught escalation #647 violating this live, 2026-08-16.",1
11,standing_items_survive_reset,"Any item explicitly marked to stay open until signed off must be re-raised, carrying its unresolved scope forward, in the SAME unit of work as any full export+wipe of the escalation table. Before a wipe proceeds, open standing items are checked for and flagged if found.",session practice -- not mechanically enforced (register v9 D6).,1
12,issue_decisions_produce_documentation_tasks,"When an issue is set to next_action=approved (the terminal value an issue reaches via the reused manual vocabulary, per D11/D21 -- this rule originally referenced the now-withdrawn next_action=decided) and its resolution states a new or changed project/governance rule, or when a task changes user-facing app behaviour, the party closing it out raises a companion task (from_id pointing back, related_activity naming the document it updates) to update the owning document -- GOVERNANCE.md for a rule change, USER-GUIDE.md for user-facing behaviour -- in the same turn, not left to be remembered separately. A code change's BUILD.md entry remains governed independently (governance.build_md_on_code_change); this rule covers the documentation obligations that rule does not.",session practice -- not mechanically enforced (register v9 D18).,1
13,chat_start_work_moves_to_in_progress,"The researcher saying 'start work' (or equivalent) on an open item means the next Update on that item carries -State in-progress, before content (comment/context/tried) is generated. Session-practice half of D26 -- honestly distinguished from the mechanically-enforced guard (cfg_escalation_requirement, action=update, check_kind=not_raised_with_content) which refuses the write outright if this is skipped.","cfg_escalation_requirement (action='update', check_kind='not_raised_with_content') mechanically refuses the write; the 'start work' -> in-progress convention itself is session practice (register v9 D26).",1
