key,value,new_value,use,new_use,module,inactive
step.probe_strong,"""H0430""",,STEP preflight known-answer probe,,step,0
step.expect_gloss_contains,"""God""",,STEP preflight known-answer probe,,step,0
step.expect_min_verses,1000,,STEP preflight known-answer probe,,step,0
step.cap,60,,STEP's hard result cap; > this triggers the forward-walk,,step,0
step.walk_start,"""Gen.1.1""",,forward-walk lower bound,,step,0
step.walk_end,"""Rev.22.21""",,forward-walk upper bound,,step,0
step.walk_max_iter,400,,forward-walk safety bound,,step,0
discovery.particle_pattern,"""^[HG]9\\d{3}$""",,"grammar-particle codes; excluded from discovery, flagged on a span",,step,0
discovery.follow_related,FALSE,,"relatedNos is root-family noise (H2519 -> 'to divide', 'Mount Halak'). Not followed.",,raw,0
meaning.head_marker,""": """,,a mediumDef starting with this is a SENSE: head + the lemma's tree. Else the code is its own lemma.,,raw,0
language.greek_prefix,"""G""",,a strong starting with this is Greek; else Hebrew,,raw,0
registry.strip_ends_pattern,"""[^A-Za-z]""",,"on entry, strip runs of these from BOTH ends of the word ('[hypocrisy]' -> 'hypocrisy'); internal hyphens/spaces kept. Word matching is case-insensitive.",,registry,0
candidate.lemma_base_pattern,"""^([HG]\\d+)([A-Z]?)$""",,capture group 1 = the base Strong's (sub-letters stripped) — the lemma key. The seed/stamp key on this.,,candidate,1
report.sample_verses,3,,how many sample verses to show the span layer for,,report,0
report.show_verse_text,TRUE,,show the verse's plain text above its spans,,report,0
report.show_validation,TRUE,,show the validation results (util.validation) for the word,,report,0
report.strong_fields,"[""stepGloss"", ""accentedUnicode"", ""stepTransliteration"", ""head"", ""count"", ""verses""]",,which columns the L1->L2 strong table shows,,report,0
report.span_fields,"[""position"", ""surface"", ""strong_variant"", ""morph_code"", ""is_particle"", ""sense""]",,which columns the span table shows,,report,0
step.span_html,"""<span(?: var='[^']*')?(?: morph='([^']*)')? strong='([^']*)'>([^<]*)</span>""",,"how STEP formats an interlinear span in a verse preview: (morph, strong, surface). The forward-walk and the span parse read it.",,step,0
configmaint.report_path,"""iba/app/config/CONFIG-REPORT.md""",,where configmaint.report writes the snapshot,,configmaint,0
configmaint.auto_report,TRUE,,whether an approved configmaint.propose automatically chains to configmaint.report,,configmaint,0
candidate.tag_clean_pattern,"""^[A-Za-z][A-Za-z' -]*$""",,"a clean candidate_tag: letters/spaces/hyphens/apostrophe only — no parenthetical transliteration, punctuation, or multi-clause gloss text",,candidate,1
report.output_dir,"""iba/app/reports""",,where report.word writes its output,,report,0
report.output_pattern,"""report-{word}.md""",,filename pattern for report.word's output ({word} substituted),,report,0
validation.output_dir,"""iba/app/reports""",,where validation.word/validation.book write their output,,validation,0
validation.show_health,TRUE,,word/book report: include the App & DB health section,,validation,0
validation.show_delta,TRUE,,word report: include the pre/post run-delta section,,validation,0
validation.show_integrity,TRUE,,word report: include the config-derived integrity section,,validation,0
validation.show_references,TRUE,,word report: include the FK-resolvability section,,validation,0
validation.show_expectations,TRUE,,word report: include the semantic-expectations section,,validation,0
validation.show_candidate,TRUE,,book report: include the candidate (L4b) section,,validation,0
validation.show_passages,TRUE,,book report: include the passages section,,validation,0
governance.reports_must_persist,"""every quality-check or report-producing step must persist its output to a config-defined report path \u2014 a terminal print + an escalation row is not sufficient; enforced by lib/cfgquality.find_missing_report_paths, checked in configmaint.validate""",,"the researcher's 2026-07-21 standard: deviations are bugs, not judgement calls — fix, don't ask",,governance,0
candidate.quality_report_path,"""iba/app/reports/candidate-quality.md""",,where candidate.validate persists its findings,,candidate,1
passage.quality_report_path,"""iba/app/reports/passage-quality.md""",,where passage.validate persists its findings,,passage,0
validation.show_value_quality,TRUE,,"word/book report: include the value-quality section (cfg_column.expectation checks, scoped to this word/book)",,validation,0
raw.meaning_tree_clean_pattern,"""^(?:[^<]|<(?!(?i:br\\b))[^>]*>)*$""",,"a clean strong_meaning_tree.sense_text: any text plus complete <ref>...</ref> spans (STEP's own citation markup, tolerated -- BUILD.md notes Greek mediumDef is prose with <ref> tags); any OTHER leftover markup (<br>, <b>, ...) fails -- the same <br> parser bug as strong_sense.head, one level deeper",,raw,0
retention.report_path,"""iba/app/reports/log-retention.md""",,where the run/escalation/validation_result log-retention & run-health report is written,,retention,0
governance.build_md_on_code_change,"""any code change under iba/app/** must update iba/app/BUILD.md in the same unit of work — BUILD.md is the build record, not a one-time snapshot""",,"researcher ruling 2026-07-22: BUILD.md/GOVERNANCE.md must stay current, not just be written once","researcher observations on 2026-08-15 is that this config has not been complied with. Neither the BUILD, nor the GOVERNANCE files are any good to reconstruct the true nature and development of the IBA App. This should not happen again.",governance,0
governance.governance_md_on_rule_change,"""any governance/process rule change must be set in cfg_* first (via configmaint.propose), then GOVERNANCE.md updated to reflect it in the same unit of work — GOVERNANCE.md documents the config, it never holds a rule the config does not""","""any governance/process rule change must be set in cfg_* first (via configmaint.propose), then GOVERNANCE.md updated to reflect it in the same unit of work — GOVERNANCE.md documents the config, it never holds a rule the config does not, and the config should hold a record of every change or new rule set via the chat. ""","researcher ruling 2026-07-22: no rule should exist only in GOVERNANCE.md; the config is the source of truth, GOVERNANCE.md is the overview of it",,governance,0
candidate.concept_delimiter_pattern,"""[:/]""",,"a character in a candidate.load input word signalling more than one concept -- split into one sub-item per piece before validating, rather than reject or guess which half is right",,candidate,1
candidate.tag_max_words,5,,"a candidate.load input word/tag longer than this many space-separated tokens is treated as a sentence, not a concept, and written as an exception row",,candidate,1
candidate.transliteration_pattern,"""^[a-z]+'[a-z]+$""",,"STARTER heuristic, tune via configmaint.propose as real cases are seen: a bare lowercase token with no space is a plausible transliteration (e.g. 'asah', 'halak') and gets written as an exception for a human read, not silently accepted -- it cannot distinguish a genuine single-word English gloss ('hearing') from a transliteration by shape alone, so this is a conservative flag-for-review test, not a hard linguistic classifier",,candidate,1
retention.snapshot_keep_count,20,,"how many pre-run DB snapshots to keep (oldest pruned first) -- lib/dbsnapshot.py, wired into run.py so every NEW run gets a rollback point; built 2026-07-22 after a candidate.load bug corrupted 1029 candidate_seed rows with no fine-grained rollback available",,retention,0
notification.not_initialised,"""The app is not initialised. Run first:  iba\\app\\ps\\Start-Iba.ps1""",,shown by every PS script's readiness guard when the app/DB isn't initialised,,notification,0
notification.header_work_package,"""work package : {work_package}""",,run-header line 1 — which work package is running,,notification,0
notification.header_step,"""step         : {step}""",,run-header line 2 (only scripts with a selectable step print this),,notification,0
notification.header_run_id,"""run_id       : {run_id}""",,"run-header line — the run's id, for Escalation.ps1 -RunId",,notification,0
notification.header_runs_over,"""runs over    : {runs_over}""",,run-header line (only book/word-scoped work packages print this),,notification,0
notification.step_result_line,"""  {0,-20} {1,-14} {2}""",,"per-step result line format (PowerShell -f) — step/path/message, colour by outcome",,notification,0
notification.paused_banner_guided,"""PAUSED \u2014 awaiting your decision. Answer with:\n  .\\Escalation.ps1 -Action AnswerRun -RunId {run_id} -Decision <Approve|Reject|Revise> [-Comment ...]\nthen re-run this exact command with -RunId {run_id} to act on the answer.""",,"non-chained single-step work packages' PAUSED banner (candidate-quality, candidate-curation, configuration-maintenance, passage-quality)",,notification,0
notification.paused_banner_passthrough,"""PAUSED \u2014 {message}""",,"chained work packages' default PAUSED banner (build-passages, set-candidates) — overridden per work package by cfg_work_package.paused_message when set (e.g. new-word)",,notification,0
notification.stopped_banner,"""STOPPED \u2014 {message}""",,chained work packages' STOPPED banner — uniform across build-passages/set-candidates/new-word,,notification,0
table_export.output_dir,"""iba/app/reports/export""",,where table.export writes its CSVs,,table_export,0
candidate.load_report_path,"""iba/app/reports/candidate-load.md""",,where candidate.load persists its per-run duplicates/exceptions report,,candidate,1
report.seed_candidate_path,"""iba/app/reports/seed-candidate.md""",,where report.seed_candidate persists its output,,report,0
report.strong_meaning_path,"""iba/app/reports/strong-meaning.md""",,where report.strong_meaning persists its output,,report,0
report.span_analysis_path,"""iba/app/reports/span-analysis.md""",,where report.span_analysis persists its output,,report,0
report.schema_overview_path,"""iba/app/reports/schema-overview.md""",,where report.schema_overview persists its output,,report,0
governance.oneoff_report_dir,"""iba/app/reports/""","""/reports/""",folder for one-off/investigatory reports — read by lib/reportkit.oneoff_path(),"folder for one-off/investigatory reports — read by lib/reportkit.oneoff_path(). 2026-08-15 Note.  The folder is redirected from iba/app/reports to /reports/.  The folder for standard reports are defined for each report, do not use the one off report folder by default for all reports",governance,0
governance.oneoff_report_naming_pattern,"""{topic}-{YYYYMMDD}.{format}""",,"filename pattern for one-off reports ({topic}/{YYYYMMDD}/{format} substituted) — same-day collisions get -v2/-v3/... appended by oneoff_path() itself, per the Bible-study side's docs/file-organisation-rules.md §2.3 convention",,governance,0
governance.oneoff_report_format,"""md""",,default file extension for one-off reports,,governance,0
governance.scripts_ps_dir,"""iba/app/ps""",,,,governance,0
governance.scripts_python_dir,"""iba/app/tools""",,,,governance,0
report.registry_path,"""iba/app/reports/registry.md""",,,,report,0
escalation.list_report_path,"""iba/app/reports/escalation-list.md""",,,,escalation,0
governance.session_log_triggers_commit,"""completing a session log (any SESSION-LOG-*.md) means the full commit-and-push cycle happens in the same unit of work -- stage the real changes, commit with a proper message, push, confirm clean/pushed. See CLAUDE.md section 12.""",,,"2026-08-15 This rule applies not only for IBA related work, but for all work in the project, including work performed directly by the researcher or other tools.",governance,0
lexicon.quality_report_path,"""iba/app/reports/lexicon-parse.md""",,where lexicon.validate persists its findings,,lexicon,0
governance.rules_must_be_config_driven,,"""no operational or process rule may exist only in GOVERNANCE.md, BUILD.md, USER-GUIDE.md, or memory without a referenced cfg_* row recording it as the evidence that the configuration control is in operation. Any deviation discovered requires escalation""","the researchers 2026-07-26 standard, raised after an unconfigured rule (STEP required) was silently violated","2026-08-15 This rule has not properly been applied in the past. It is further stresses that all rules must be config driven, across the entire project.  On a new instruction, the first thing is to establish that the rules that govern the instruction is fully captured and interpreted correctly in the configs, if not it requires escalation.",governance,0
step.required_for_runs,TRUE,,"STEP is mandatory infra, not optional -- initpys startup preflight and every STEP-dependent tool/handler must refuse rather than degrade when this is true and STEP is down",,step,0
report.verse_analysis_output_dir,"""iba/app/verse-analysis""",,"base folder for report.verse_span_meaning, sub-foldered per book at write time",,report,0
report.verse_analysis_output_pattern,"""{book}-{range}-verse-span-meaning.md""",,filename pattern for report.verse_span_meaning ({book}/{range} substituted),,report,0
report.auto_backfill_before_render,TRUE,,"report.verse_span_meaning auto-runs raw.backfill_meaning_for() for any span whose strong is not yet registered, for the exact book+range being rendered, before writing the report -- researchers direct 2026-07-26 instruction (do not leave partial-coverage reports as a silent manual follow-up step)",,report,0
report.passage_debate_naming_pattern,"""WA-{book}-{range}-debate.md""",,"filename pattern for report.passage_debate ({book}/{range} substituted); stable scheme — reportkit archives the prior version on regenerate, no -vN-/date in the name itself",,report,0
method.passage_read_guidance_path,"""iba/docs/WA-passage-read-guidance-v1.5-2026-08-02.md""",,"current version of the passage read guidance (steps 1-5 + notes, incl. step 2 note (f)) — the passage-debate scaffold and any AI applying it must follow this exact file; bump this setting (not the debates' memory) when the guidance revises",,method,0
method.interpretation_questions_path,"""iba/docs/WA-interpretation-questions-v1.4-2026-08-02.md""",,current version of the Q1-Q10 interrogative + Part B guidance of interpretation — the passage-debate scaffold and any AI applying it must follow this exact file,,method,0
report.whole_book_read_naming_pattern,"""WA-{book}-whole-book-read.md""",,"filename pattern for report.whole_book_read ({book} substituted); stable scheme — reportkit archives the prior version on regenerate, same convention report.passage_debate_naming_pattern already uses",,report,0
method.inner_being_narrative_guidance_path,"""iba/docs/WA-inner-being-narrative-guidance-v1-2026-07-28.md""",,current version of the inner-being-narrative guidance (the three-channel scope requirement + the required Scope self-check section) — report.book_narrative_validate and any AI writing such a narrative must follow this exact file; bump this setting (not memory) when the guidance revises,,method,0
narrative.scope_check_report_path,"""iba/app/reports/book-narrative-scope-check.md""",,where report.book_narrative_validate persists its findings,,narrative,0
governance.verse_gap_by_design,"""Researcher ruling 2026-07-29: a verse missing from iba.db's verse table (no `verse` row for that osisId) is BY DESIGN, not a data-integrity error. Verse-existence is gated on prior term discovery (concordance-driven per-Strong's onboarding, iba/app/handlers/raw.py:verses) -- do not escalate, flag, or attempt to backfill a missing verse as a bug. Full extent measured 2026-07-29: 2,049/31,086 verses (6.59%) missing, concentrated in genealogy/list-heavy books (1Chr 44%, Ezra 40%, Neh 31%, Josh 23%, Num 17%); sample read of the missing verses' actual content judged the risk within tolerance for this study (see iba/app/reports/verse-existence-census-20260729.md). Both report.verse_span_meaning (the base extract) and report.passage_debate note each detectable gap inline (report.verse_gap_note) and skip straight to the next available verse -- the missing verses are not pulled into the study.""",,"researcher ruling 2026-07-29, after measuring the full-Bible extent of the term-discovery verse gap (see project_iba_verse_existence_gated_on_term_discovery memory + iba/app/reports/verse-existence-census-20260729.md)",,governance,0
report.verse_gap_note,"""**Verse gap -- by design.** `{ref}` has no verse row in iba.db (no onboarded term's concordance search ever surfaced it -- see governance.verse_gap_by_design). Not an error; continuing with the next available verse.""",,inline note both report.verse_span_meaning and report.passage_debate insert into their output wherever a verse is structurally known to be missing from iba.db within the rendered range (lib.versespanmeaningreport.detect_verse_gaps) -- {ref} substituted,,report,0
raw.strong_base_pattern,"""^([HG]\\d+)([A-Z]?)$""",,"Strongs-code base/sub-letter split - single home for this fact (2026-07-29), replacing three independent copies (handlers/raw.py, lib/versespanmeaningreport.py, and the retired candidate.lemma_base_pattern)",,raw,0
registry.duplicate_shared_threshold,1,,fraction of a new words seed strongs an existing word must already hold for registry.create to warn it may be a duplicate/typo (1.0 = must share ALL strongs),,registry,0
lexicon.non_latin_script_pattern,"""[Ͱ-Ͽἀ-῿֐-׿]""",,classify_row: any match forces 'description' regardless of word count — Greek/Hebrew Unicode block ranges STEP's lexicon text uses.,,lexicon,0
lexicon.classify_lookup_max_words,3,,"classify_row: a gloss/description with at most this many space-separated words is 'lookup', more is 'description' — same shape as candidate.tag_max_words's word-count threshold.",,lexicon,0
lexicon.outline_code_pattern,"""^(\\d+[a-zA-Z0-9]*\\))\\s*(.*)$""",,"strong_meaning_tree.sense_text: matches a leading outline code (e.g. '1)', '2a)') when sense_code itself is empty, splitting it from the remaining gloss text.",,lexicon,0
lexicon.ref_tag_pattern,"""<ref=['\""]([^'\""]*)['\""]>""",,"matches STEP's <ref='Act.14.17'>display</ref> markup (a nameless '=value' pseudo-attribute HTMLParser can't parse as a real attribute) so it can be rewritten to a well-formed <ref key=""...""> before parsing.",,lexicon,0
