osisId,note_id,verse_lexical_id,source_position,source_code_ordinal,source_strong,note_type,resolution_status,target_verse,target_position,related_verse_lexical_ids,value_text,evidence_text
Gen.46.18,167,885439,0,0,H0428,related_word,resolved,,,,"H0411/H0429 (el/elleh, 'these') are genuine same-root synonym forms of this demonstrative; H0414 (Ela, a proper name) is a coincidental root-collision, not a real relation.",
Gen.46.18,168,885440,1,0,H1121A,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,169,885441,2,0,H2153,related_word,checked_empty,,,,"1 related code pulled, but its own form/gloss fields are empty in strong_related -- not usable, treated as no real finding.",
Gen.46.18,170,885441,2,0,H2153,entity_link,resolved,Gen.46.18,3,,Target of 'whom' (position 3) -- Zilpah is the antecedent.,
Gen.46.18,171,885442,3,0,H0834A,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,172,885442,3,0,H0834A,entity_link,resolved,Gen.46.18,2,,"'whom' (relative pronoun) refers back to Zilpah (position 2), not Laban -- the antecedent of the relative clause.",
Gen.46.18,173,885443,4,0,H3837A,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,174,885444,5,0,H5414G,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,175,885444,5,0,H5414G,verb_argument,resolved,Gen.46.18,4,[885445],"'gave' (H5414G): trigger/agent is Laban (position 4), impact/recipient is Leah (position 6).",
Gen.46.18,176,885445,6,0,H3812,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Gen.46.18,177,885446,6,1,H9005,inert,checked_empty,,,,"Prepositional prefix ('to'), function role -- no relational finding beyond its own grammatical role.",
Gen.46.18,178,885447,7,0,H1323G,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,179,885447,7,0,H1323G,noun_relational,resolved,Gen.46.18,6,,"'daughter' construct-linked to Leah (position 6) -- marks the genealogical relation (Leah is Laban's daughter), not a separate referent.",
Gen.46.18,180,885448,8,0,H3205,related_word,resolved,,,,"Genuine same-concept family: child/youth/maiden/born (the Hebrew ILD birth-root) -- a real semantic cluster around 'bore', not coincidental.",
Gen.46.18,181,885448,8,0,H3205,chain,resolved,,,,'bore' carries narrative_morph=wayyiqtol -- a genuine sequential narrative action continuing this genealogy list's own narrative thread.,
Gen.46.18,182,885449,8,1,H9023,pronoun_resolution,resolved,Gen.46.18,6,,"'she' (3fs suffix) refers to Leah (position 6), the immediately preceding named woman -- distinguishing her from Zilpah named earlier in the verse.",
Gen.46.18,183,885450,9,0,H3290,related_word,resolved,,,,"Genuine cross-reference, not mere etymology: Jacob is also called Israel (H3478/H3479) and Israelite (G2474/G2475) -- the same person's two names, attested cross-lingually (Greek Iakob transliteration too).",
Gen.46.18,184,885451,9,1,H9005,inert,checked_empty,,,,"Prepositional prefix ('to'), function role.",
Gen.46.18,185,885452,9,2,H0853,inert,checked_empty,,,,"Direct-object marker (H0853), function role -- per the H0853-function-word-exception rule.",
Gen.46.18,186,885453,9,3,H0428,related_word,unresolved,,,,"This code (H0428, elsewhere 'these'/demonstrative) is tagged at the same position as 'Jacob' with no clear semantic role in this word-complex -- the code combination at this position is not confidently explained by a single-verse targeted read; flagged rather than guessed, per the design's own unresolved-not-guessed rule.",
Gen.46.18,187,885454,10,0,H6240,related_word,resolved,,,,"Genuine numeral family: ten/tenth/tithe (H4643/H6218/H6224/H6235/H6237) -- real root connection, 'sixteen' as a six-plus-ten compound.",
Gen.46.18,188,885455,10,1,H8337,related_word,resolved,,,,"Coincidental, not genuine: Sheva/onyx/Shoham (H7718/H7719/H7724) share the root letters of 'six' but are semantically unrelated proper names/gem terms -- a textbook Hebrew triliteral-root collision, correctly sorted as coincidental per the design's own language-aware sorting rule, not a real relation.",
Gen.46.18,189,885456,11,0,H5315J,related_word,checked_empty,,,,0 related codes pulled.,
Gen.46.18,190,885456,11,0,H5315J,inert,checked_empty,,,,"H5315J (nephesh, 'person/soul') is used here in its headcount sense ('sixteen persons'), not its inner-being sense -- a real polysemy distinction worth naming, but no current note_type cleanly captures 'which sense of a core-list word was selected'; recorded here as an observation, not forced into a mis-fitting note_type. Flagged as a genuine schema gap in the accompanying report, not silently absorbed.",
Lev.17.16,306,891333,0,0,H3808,related_word,resolved,,,,"H0408/H3809 (al/la, 'not') are genuine synonym forms of this negator. H3810/H3818/H3819 (Lo-debar, Not-My-People, No-Mercy) are NOT coincidental despite being proper names -- they are deliberately built on the negator as a real Hebrew naming convention (names-as-signs), a genuine if indirect relation.",
Lev.17.16,307,891334,1,0,H3526H,related_word,checked_empty,,,,0 related codes pulled.,
Lev.17.16,308,891335,1,1,H0518A,connective,unclassified,,,,"The bound conditional clitic ('if', attached to the verb) marks this clause as a conditional apodosis. The design's own 3-class connective lexicon (causal/coordinating/purpose) has no conditional class -- correctly recorded as UNCLASSIFIED rather than force-fit as causal; a real gap in the connective taxonomy, not an error in this finding.",
Lev.17.16,309,891336,1,2,H9002,connective,resolved,,,,"Coordinating: the waw here functions as disjunctive 'or' between the two negated verbs (wash / bathe) -- a genuine coordinating relation, correctly classifiable against the 3-class lexicon.",
