id,no,word,source_list,category_hint,phase1_input_file,phase1_status,phase1_output_file,phase2_datasets,notes,automation_eligible,last_automation_run,automation_run_id,phase1_term_count,phase1_verse_count,strongs_list
1,1,abomination,Missing Inner Being Words,Moral/Conscience,word Abomination.md,Complete,WA-001-abomination-data-2026-03-07.json,1.0,14 terms (14 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
2,2,agony,Missing Inner Being Words,Affective/Emotional,word agony.md,Complete,WA-002-agony-data-2026-03-08.json,1.0,1 term. 1 part. Spec v5. MTI: extracted.,1,,,,,
3,3,ambition,Low Confidence / Inferred,,word ambition,Complete,WA-003-ambition-data-2026-03-07.json,1.0,2 terms (2 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
4,4,anger,High Confidence,,word anger.md,Complete,WA-004-anger-data-2026-03-08.json,1.0,32 terms (32 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
5,5,anguish,Missing Inner Being Words,Affective/Emotional,word anguish.md,Complete,WA-005-anguish-data-2026-03-08 (2).json,1.0,33 terms (33 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
6,6,anointing,Missing Inner Being Words,Spiritual/God-ward,Word_annointing.md,Complete,WA-006-anointing-data-2026-03-08.json,1.0,22 terms (22 extracted). 1 part. Session A Instruction v4. MTI: extracted.,1,,,,,
7,7,anxiety,High Confidence,,word_anxiety.md,Complete,WA-007-anxiety-data-2026-03-12.json,1.0,6 terms (6 extracted). 1 part. Session A Instruction v6. MTI: extracted.,1,,,,,
8,8,appetite,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,1,87,"[{""strong"": ""H5315"", ""count"": 11}, {""strong"": ""H2416"", ""count"": 1}]"
9,9,assent,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. The volitional dimension is carried by faith (#59), trust (#163), and obedience (#114). Assent as a standalone lexical entry does not exist in Hebrew or Greek — the concept is expressed through the same roots as belief and faithfulness. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
10,10,awareness,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Overlaps with conscience (#26, H3045 yada), discernment (#49), and knowledge (#100). Recommend substituting with perception — H0995 (biyn, to discern/perceive) and G1922 (epignōsis, full knowledge) yield a productive verse set that more precisely targets the awareness dimension. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
11,11,awe,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,6,737,"[{""strong"": ""H3372"", ""count"": 5}, {""strong"": ""H1481"", ""count"": 3}, {""strong"": ""G5401"", ""count"": 2}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H0834"", ""count"": 1}, {""strong"": ""H6342"", ""count"": 1}, {""strong"": ""H6206"", ""count"": 1}, {""strong"": ""H2865"", ""count"": 1}, {""strong"": ""G5399"", ""count"": 1}, {""strong"": ""G6015"", ""count"": 1}]"
12,12,betrayal,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #203 (""treachery"").",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
13,13,bitterness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,7,322,"[{""strong"": ""H4751"", ""count"": 12}, {""strong"": ""G4088"", ""count"": 4}, {""strong"": ""H4472"", ""count"": 1}, {""strong"": ""H4787"", ""count"": 1}, {""strong"": ""H4470"", ""count"": 1}, {""strong"": ""H7219"", ""count"": 1}, {""strong"": ""H4844"", ""count"": 1}, {""strong"": ""H0413"", ""count"": 1}]"
14,14,blamelessness,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Fully covered by innocence (#90), integrity (#92), and righteousness (#139). Hebrew H8535 (tam, blameless) is already captured under integrity. Blamelessness is a derived moral state, not a primary inner-being term. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
15,15,boastfulness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,1,30,"[{""strong"": ""H3513"", ""count"": 1}]"
16,16,boldness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,2,10,"[{""strong"": ""G3954"", ""count"": 6}, {""strong"": ""G2292"", ""count"": 1}, {""strong"": ""G3955"", ""count"": 1}]"
17,17,bondage,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,1,5,"[{""strong"": ""G1397"", ""count"": 1}]"
18,18,brokenness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,1,34,"[{""strong"": ""H7667"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}]"
19,19,calling,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,11,333,"[{""strong"": ""H7121"", ""count"": 12}, {""strong"": ""G2821"", ""count"": 7}, {""strong"": ""G5455"", ""count"": 6}, {""strong"": ""G4341"", ""count"": 3}, {""strong"": ""G4377"", ""count"": 2}, {""strong"": ""G2564"", ""count"": 2}, {""strong"": ""G3004"", ""count"": 2}, {""strong"": ""H0413"", ""count"": 1}, {""strong"": ""H7621"", ""count"": 1}, {""strong"": ""G1161"", ""count"": 1}, {""strong"": ""G1941"", ""count"": 1}, {""strong"": ""G2896"", ""count"": 1}]"
20,20,character,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,1,5,"[{""strong"": ""G1382"", ""count"": 2}]"
21,21,commitment,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Covered by faithfulness (#60), loyalty (#104), and covenant (#34). The Hebrew concept of commitment is inseparable from chesed (loving-kindness/loyalty) and emunah (faithfulness) — both in the registry. No distinct lexical entry exists for commitment alone. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
22,22,communion,See word_confidence_split,,,In Progress,,,"PARTIAL — Research required. Partially covered by fellowship (#62, G2842 koinōnia) and love (#103). Koinōnia as an inner-being state of shared participation is distinct enough to warrant its own entry within fellowship. Recommend redirecting communion to fellowship (#62) and ensuring G2842 (koinōnia, 19 occurrences) is confirmed as the primary anchor in that registry. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
23,23,compassion,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:33,RUN-20260318_134133-BULK_GAP_FILL,7,284,"[{""strong"": ""H7355"", ""count"": 20}, {""strong"": ""H7356"", ""count"": 9}, {""strong"": ""G4697"", ""count"": 9}, {""strong"": ""H5162"", ""count"": 4}, {""strong"": ""H2550"", ""count"": 4}, {""strong"": ""G3627"", ""count"": 2}, {""strong"": ""H0854"", ""count"": 1}, {""strong"": ""H5150"", ""count"": 1}, {""strong"": ""H5164"", ""count"": 1}, {""strong"": ""G4834"", ""count"": 1}]"
24,24,condemnation,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,5,28,"[{""strong"": ""G2917"", ""count"": 8}, {""strong"": ""G2631"", ""count"": 3}, {""strong"": ""H8201"", ""count"": 1}, {""strong"": ""G6048"", ""count"": 1}, {""strong"": ""G2633"", ""count"": 1}, {""strong"": ""G2920"", ""count"": 1}]"
25,25,conformity,See word_confidence_split,,,In Progress,,,"REPLACED by new entry #209 (""likeness"").",0,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
26,26,conscience,Missing Inner Being Words,Identity/Selfhood,word_conscience.md,Complete,WA-026-conscience-data-2026-03-14.json,1.0,2 terms (2 extracted). 1 part. Session A Instruction v7. MTI: extracted.,1,,,,,
27,27,consciousness,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,0,0,"[{""strong"": ""G4893"", ""count"": 1}]"
28,28,consecration,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,3,390,"[{""strong"": ""H0853"", ""count"": 2}, {""strong"": ""H5145"", ""count"": 2}, {""strong"": ""H6942"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}]"
29,29,contentment,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,1,1,"[{""strong"": ""H7961"", ""count"": 1}, {""strong"": ""G0841"", ""count"": 1}]"
30,30,contrition,See word_confidence_split,,,In Progress,,,"COVERED — No further action required. Fully covered by repentance (#135), brokenness (#18), and grief (#71). Hebrew H1792 (daka, to be crushed/contrite) appears within the repentance and grief registries. No distinct lexical separation exists between contrition and brokenness in the Hebrew text. Source: Session-A-v9-Empty-Words-Analysis-20260318.",0,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,0,0,[]
31,31,corruption,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,4,20,"[{""strong"": ""G1312"", ""count"": 6}, {""strong"": ""G5356"", ""count"": 4}, {""strong"": ""H4889"", ""count"": 1}, {""strong"": ""H7845"", ""count"": 1}]"
32,32,counsel,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,14,884,"[{""strong"": ""H6098"", ""count"": 59}, {""strong"": ""H3289"", ""count"": 16}, {""strong"": ""H0853"", ""count"": 8}, {""strong"": ""G4824"", ""count"": 4}, {""strong"": ""H5475"", ""count"": 2}, {""strong"": ""G1012"", ""count"": 2}, {""strong"": ""H6310"", ""count"": 1}, {""strong"": ""H5779"", ""count"": 1}, {""strong"": ""H5921"", ""count"": 1}, {""strong"": ""H3588"", ""count"": 1}, {""strong"": ""H4427"", ""count"": 1}, {""strong"": ""H3245"", ""count"": 1}, {""strong"": ""H4156"", ""count"": 1}, {""strong"": ""H4431"", ""count"": 1}, {""strong"": ""G4823"", ""count"": 1}]"
33,33,courage,See word_confidence_split,,,In Progress,,,,1,2026-03-18T13:41:34,RUN-20260318_134133-BULK_GAP_FILL,5,222,"[{""strong"": ""H2388"", ""count"": 10}, {""strong"": ""H3820"", ""count"": 3}, {""strong"": ""H0553"", ""count"": 2}, {""strong"": ""G2292"", ""count"": 2}, {""strong"": ""H3027"", ""count"": 1}, {""strong"": ""H0853"", ""count"": 1}, {""strong"": ""H5030"", ""count"": 1}, {""strong"": ""H5315"", ""count"": 1}, {""strong"": ""G5111"", ""count"": 1}, {""strong"": ""G2293"", ""count"": 1}, {""strong"": ""G2294"", ""count"": 1}, {""strong"": ""G3954"", ""count"": 1}]"
