id,class,rule_key,rule_text,source,enforced_by,added_at,active
1,sqlite,verify-before-acting,"Before any operation that depends on database state (row counts, flag values, existence/absence of a record, referential integrity, or the presence of a prior write), that state must be verified directly against the live database. Acting on assumed, remembered, or previously-reported state is a violation regardless of how recent or reliable the prior report seemed.","wa_rule_registry GR-DB-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system')","not yet mechanically checked -- deviation-monitoring mechanism is a follow-on cycle (researcher, 2026-08-18: 'validation of these rules must include mechanisms to flag deviation from the defined rules. This deviation must be monitored ongoing.')",2026-08-18T06:30:00Z,1
2,terminal,step-not-done-without-validated-output,"A step expected to produce an output (a file, a database write, a report) is not complete until that output has been confirmed to exist and matches what the step was supposed to produce. Reporting a step as done on the strength of the command appearing to succeed, without that confirmation, is a violation.","wa_rule_registry GR-PROC-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system')","not yet mechanically checked -- deviation-monitoring mechanism is a follow-on cycle (researcher, 2026-08-18: 'validation of these rules must include mechanisms to flag deviation from the defined rules. This deviation must be monitored ongoing.')",2026-08-18T06:30:00Z,1
3,documentation,single-authority-pointer-not-copy,"Each piece of operational or process content has exactly one authoritative source -- a cfg_* row where one exists, otherwise one named document. Any other document or response needing that content points to the authoritative source by name/section; it does not restate, paraphrase, or duplicate it. A rule may not exist in both a document and a cfg_* row at the same time -- once a rule is captured in cfg_*, its document version is replaced with a pointer, not left standing alongside it.","wa_rule_registry GR-REF-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system'); 'no reason to have a rule both in a document and in the config' per researcher comment 2026-08-18","not yet mechanically checked -- deviation-monitoring mechanism is a follow-on cycle (researcher, 2026-08-18: 'validation of these rules must include mechanisms to flag deviation from the defined rules. This deviation must be monitored ongoing.')",2026-08-18T06:30:00Z,1
4,llm_output,inferential-not-confirmed,"Any claim, classification, or connection produced via an LLM or API call -- including Claude's own output, a subagent's report, or an automated classification pass -- that is not directly grounded in verifiable source data must be labelled inferential, not confirmed. An inferential label may not be silently upgraded to confirmed without new, citable supporting evidence.","wa_rule_registry GR-PROG-009 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system'); reframed by the researcher 2026-08-18 as the general API/LLM-use discipline rule, not only an analytical-finding label","not yet mechanically checked -- deviation-monitoring mechanism is a follow-on cycle (researcher, 2026-08-18: 'validation of these rules must include mechanisms to flag deviation from the defined rules. This deviation must be monitored ongoing.')",2026-08-18T06:30:00Z,1
5,llm_output,sdk-dependency-decision,"Adding the `anthropic` SDK (or any second Python dependency for Claude-API calls) requires raising it as its own decision first. The IBA app's single-dependency policy (`requests` only, per USER-GUIDE.md) is deliberate, not an oversight.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §2/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
6,llm_output,no-hardcoded-call-params,"Model IDs, token ceilings, cost rates, cost caps, and output paths for any Claude-API-calling step are `cfg_setting` rows, never literals inside a handler.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
7,llm_output,cost-cap-before-call,"A live Claude-API call is preceded by a pre-call cost estimate and a hard cost-cap check: hard-refuse over the cap (no call, no escalation, nothing spent); escalate for approval below the cap. No live call happens before this two-step gate.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
8,llm_output,usage-log-required,Every live Claude-API call's real `usage` block (not the pre-call estimate) is logged to an append-only CSV usage log. Skipping this write leaves the project's cost ledger with no record the call ever happened.,Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
9,llm_output,sonnet-default-model,"Claude Sonnet 5 is the default model for high-volume structured analytic-phase work. Using a more expensive model (Opus) requires a specific stated reason, not a default choice.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §3/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
10,llm_output,never-expose-api-key,"The Claude API key's value is never written, logged, or printed anywhere -- not in a report, an escalation payload, a chat response, or a commit.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §2/§5,not yet mechanically checked -- deviation-monitoring mechanism is still a follow-on cycle (escalation #715 addendum),2026-08-18T08:00:00Z,1
