step,title,show_toc,footer_text,output_kind,naming_scheme,archive_dir,inactive
configmaint.report,IBA app — configuration report,1,,md+csv,stable,archive,0
candidate.validate,Candidate quality report,1,,md+csv,stable,archive,1
candidate.load,candidate.load report,1,,md+csv,stable,archive,1
passage.validate,Passage quality report,1,,md+csv,stable,archive,0
report.word,Raw layer — `{word}`,1,,md+csv,dated,archive,0
validation.word,Validation report — '{word}',1,,md+csv,dated,archive,0
validation.book,Base validation report — book '{book}',1,,md+csv,dated,archive,0
retention.report,Log retention & run-health report,1,,md+csv,stable,archive,0
report.seed_candidate,Seed-candidate report,1,,md+csv,stable,archive,1
report.strong_meaning,Strong-meaning report,1,,md+csv,stable,archive,0
report.span_analysis,Span-analysis report,1,,md+csv,stable,archive,0
report.schema_overview,Schema overview,1,,md,stable,archive,0
report.registry,Registry evaluation report,1,,md+csv,stable,archive,0
lexicon.validate,Lexicon-parse quality report,1,,md+csv,stable,archive,0
report.whole_book_read,{book} -- Whole-Book Read,1,,md,stable,archive,0
report.book_narrative_validate,Book-Narrative Scope Self-Check — {path},1,,md,stable,archive,0
report.book_narrative_generate,{book_label} — Inner-Being Narrative,0,*Generated by `report.book_narrative_generate` from the book's filled passage debates — see `WA-inner-being-narrative-hard-constraints-v1-2026-07-30.md` and `WA-inner-being-narrative-guidance-v1-2026-07-28.md` for the governing instructions. Run `BookNarrative-Validate.ps1` against this file next.*,md,stable,archive,0
report.verse_lexical,{book} {range} — verse : verse_lexical extract,1,,md,stable,archive,0
report.word_registry_span,"{word} — linked Strong's, parse meaning, span analysis",1,,md,dated,archive,0
report.strong_verse,{word} -- {strong} -- verse restatement by Strongs reference,1,,md,dated,archive,0
report.cluster,Cluster taxonomy and strong-assignment coverage,1,,md+csv,stable,archive,0
cluster.validate,Cluster-assignment quality report,1,,md,stable,archive,0
manifest.rebuild,Project file manifest — rebuild summary,1,,md,stable,archive,0
escalation.list,Open escalations,1,,md+csv,dated,archive,0
escalation.history,Escalation deep history,1,,md,dated,archive,0
