strong,gloss,cluster_code,cluster_label,source,confidence,review_flag,keep (fill in Y/blank)
G0040H,holy: saint,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,medium,0,
G0040H,holy: saint,M13,Faith & Faithfulness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0103,to sing,M22,Praise & Song,heuristic-family-grouping-v1-20260905,heuristic,0,
G0103,to sing,M42,Prayer & Petition,llm-allocation-v1_3-20260811,medium,0,
G0114,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0114,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0168,uncleanness,M12,Righteousness & Integrity,llm-allocation-v1_3-20260811,high,0,
G0168,uncleanness,M56,Sin & Guilt,heuristic-family-grouping-v1-20260905,heuristic,0,
G0176,beyond reproach,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
G0176,beyond reproach,M07,Shame & Confusion,heuristic-family-grouping-v1-20260905,heuristic,0,
G0330,to renew,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G0330,to renew,M45,Renewal & Transformation,llm-allocation-v1_3-20260811,high,0,
G0362,to await,M17,Counsel,llm-allocation-v1_3-20260811,high,0,
G0362,to await,M68,Hope & Waiting,heuristic-family-grouping-v1-20260905,heuristic,0,
G0365,to renew,M38,Restoration & Revival,heuristic-family-grouping-v1-20260905,heuristic,0,
G0365,to renew,M45,Renewal & Transformation,llm-allocation-v1_3-20260811,high,0,
G0587,pleasing,M04,Joy & Gladness,llm-allocation-v1_3-20260811,high,0,
G0587,pleasing,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G0593,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0593,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0611,to answer,M24,Faintness & Despair,auto-precedent,,0,
G0611,to answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
G0612,answer,M41,Being Heard,heuristic-family-grouping-v1-20260905,heuristic,0,
G0612,answer,M42,Prayer & Petition,auto-precedent,,0,
G0654,to turn away,M06,Malice & Enmity,llm-allocation-v1_3-20260811,medium,0,
G0654,to turn away,M11,Turning & Repentance,heuristic-family-grouping-v1-20260905,heuristic,0,
G0683,to reject,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0683,to reject,M30,Rebellion & Stubbornness,heuristic-family-grouping-v1-20260905,heuristic,0,
G0685,curse,M06,Malice & Enmity,heuristic-family-grouping-v1-20260905,heuristic,0,
G0685,curse,M07,Shame & Confusion,llm-allocation-v1_3-20260811,medium,0,
G0694,money,M28,Envy & Greed,auto-precedent,,0,
G0694,money,M46,Wealth & Riches,heuristic-family-grouping-v1-20260905,heuristic,0,
G0699,pleasing,M04,Joy & Gladness,llm-allocation-v1_3-20260811,high,0,
G0699,pleasing,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G1321,to teach,M15,Knowing & Understanding,auto-precedent,,0,
G1321,to teach,M16,Wisdom & Folly,heuristic-family-grouping-v1-20260905,heuristic,0,
G1372,to thirst,M18,Desire & Longing,heuristic-family-grouping-v1-20260905,heuristic,0,
G1372,to thirst,M29,Desire,auto-precedent,,0,
