id,class,rule_key,rule_text,source,enforced_by,added_at,active,enforcement_status
1,sqlite,verify-before-acting,"Before any operation that depends on database state (row counts, flag values, existence/absence of a record, referential integrity, or the presence of a prior write), that state must be verified directly against the live database. Acting on assumed, remembered, or previously-reported state is a violation regardless of how recent or reliable the prior report seemed.","wa_rule_registry GR-DB-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system')","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T06:30:00Z,1,not_mechanically_checkable
2,terminal,step-not-done-without-validated-output,"A step expected to produce an output (a file, a database write, a report) is not complete until that output has been confirmed to exist and matches what the step was supposed to produce. Reporting a step as done on the strength of the command appearing to succeed, without that confirmation, is a violation.","wa_rule_registry GR-PROC-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system')","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T06:30:00Z,1,not_mechanically_checkable
3,documentation,single-authority-pointer-not-copy,"Each piece of operational or process content has exactly one authoritative source -- a cfg_* row where one exists, otherwise one named document. Any other document or response needing that content points to the authoritative source by name/section; it does not restate, paraphrase, or duplicate it. A rule may not exist in both a document and a cfg_* row at the same time -- once a rule is captured in cfg_*, its document version is replaced with a pointer, not left standing alongside it.","wa_rule_registry GR-REF-001 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system'); 'no reason to have a rule both in a document and in the config' per researcher comment 2026-08-18","BUILT 2026-09-03, escalation #1384/researcher instruction: cfgquality.find_restated_authoritative_content() -- compares active cfg_setting/cfg_behaviour_rule/cfg_method_rule text directly against GOVERNANCE.md/USER-GUIDE.md/CLAUDE.md paragraphs (difflib SequenceMatcher, quick_ratio prefilter then real ratio, threshold 0.8), NO content_index dependency at all (deliberately, since content_index itself is paused/redesigning, escalation #1385) -- wired into configmaint.validate + CONFIG-REPORT.md. Tested live: 128 rows x 569 paragraphs, ~24s, 0 findings (clean) at this threshold. An earlier looser threshold (0.6) produced ~19,000 unusable false positives on a 50-row sample -- precision tuning was the real obstacle, not the lack of an index.",2026-08-18T06:30:00Z,1,mechanically_enforced
4,llm_output,inferential-not-confirmed,"Any claim, classification, or connection produced via an LLM or API call -- including Claude's own output, a subagent's report, or an automated classification pass -- that is not directly grounded in verifiable source data must be labelled inferential, not confirmed. An inferential label may not be silently upgraded to confirmed without new, citable supporting evidence.","wa_rule_registry GR-PROG-009 (obsolete 2026-08-17, superseded_by='iba.db cfg_* configuration system'); reframed by the researcher 2026-08-18 as the general API/LLM-use discipline rule, not only an analytical-finding label","DETERMINED (not deferred), 2026-09-03 audit, escalation #1384: this rule governs Claude's real-time conversational/tool-use conduct within a turn -- there is no durable code or DB artifact a configmaint.validate scan could check after the fact to confirm or refute compliance. Mechanical enforcement does not apply to this class of rule; the realistic enforcement path is direct researcher review of transcripts/sessions, not automation. If this determination is wrong for this specific rule, flag it -- not left open as a default.",2026-08-18T06:30:00Z,1,not_mechanically_checkable
5,llm_output,sdk-dependency-decision,"Adding the `anthropic` SDK (or any second Python dependency for Claude-API calls) requires raising it as its own decision first. The IBA app's single-dependency policy (`requests` only, per USER-GUIDE.md) is deliberate, not an oversight.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §2/§5,"VERIFIED against the one live Claude-API call site (iba/app/lib/narrativegenerate.py) 2026-09-03: 'Uses requests directly against the Messages API rather than the anthropic SDK -- this app has a single-dependency policy' (module's own docstring). No anthropic/anthropic-sdk import anywhere in iba/app -- checked live, 0 hits.",2026-08-18T08:00:00Z,1,mechanically_enforced
6,llm_output,no-hardcoded-call-params,"Model IDs, token ceilings, cost rates, cost caps, and output paths for any Claude-API-calling step are `cfg_setting` rows, never literals inside a handler.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,"VERIFIED against the one live call site (iba/app/handlers/narrative.py + lib/narrativegenerate.py) 2026-09-03: model (narrative.generate_model), max_output_tokens (narrative.generate_max_output_tokens), cost cap (narrative.generate_max_cost), and both cost rates (narrative.rate_input_per_million / rate_output_per_million) are all cfg_setting reads, zero hardcoded literals in the call path -- read the actual code, not assumed.",2026-08-18T08:00:00Z,1,mechanically_enforced
7,llm_output,cost-cap-before-call,"A live Claude-API call is preceded by a pre-call cost estimate and a hard cost-cap check: hard-refuse over the cap (no call, no escalation, nothing spent); escalate for approval below the cap. No live call happens before this two-step gate.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,"VERIFIED against the one live call site (iba/app/handlers/narrative.py:generate(), lines ~156-161) 2026-09-03: max_cost read from narrative.generate_max_cost, est_cost_usd checked against it BEFORE call_api() is ever reached -- fail('cost-cap-exceeded') with no call and no spend if over. Confirmed by reading the actual branch, not inferred from the docstring.",2026-08-18T08:00:00Z,1,mechanically_enforced
8,llm_output,usage-log-required,Every live Claude-API call's real `usage` block (not the pre-call estimate) is logged to an append-only CSV usage log. Skipping this write leaves the project's cost ledger with no record the call ever happened.,Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §1/§5,"VERIFIED against the one live call site (lib/narrativegenerate.py:log_usage()) 2026-09-03: every call_api() success path writes run_id/book/model/input_tokens/output_tokens/cost_usd/path to an append-only CSV via log_usage() -- read the actual write, not assumed.",2026-08-18T08:00:00Z,1,mechanically_enforced
9,llm_output,sonnet-default-model,"Claude Sonnet 5 is the default model for high-volume structured analytic-phase work. Using a more expensive model (Opus) requires a specific stated reason, not a default choice.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §3/§5,"VERIFIED live 2026-09-03: cfg_setting narrative.generate_model = 'claude-sonnet-5', the one live call site's only model source (no hardcoded override found).",2026-08-18T08:00:00Z,1,mechanically_enforced
10,llm_output,never-expose-api-key,"The Claude API key's value is never written, logged, or printed anywhere -- not in a report, an escalation payload, a chat response, or a commit.",Workflow/Claude_API/claude-api-usage-guide-v1-20260815.md §2/§5,"VERIFIED against the one live call site (lib/narrativegenerate.py:_api_key()) 2026-09-03: key is read from os.environ or .env and returned to the caller for the request header only -- never printed, logged, or written anywhere in the function; log_usage() logs model/tokens/cost, not the key. Read the actual function body, not assumed.",2026-08-18T08:00:00Z,1,mechanically_enforced
