database,name,grain,use,active,,
iba,word_registry,one row per English inner-being word,the study's entry point; scope of a new-word run,1,,word_registry
iba,word_strong,"one row per (word, strong) the STEP word-search returned","L1 — the discovery record: which strongs a word maps to. These strongs are the basis for L2. Carries the link only, no strong detail.",1,,Research_db.wa_file_index
iba,strong,"one row per strong — unique, global to the study",L2 — the strong's identity. The meaning is normalised out (O4): it lives in strong_sense / strong_meaning_tree / strong_lexicon.,1,,Research_db.mti_terms
iba,strong_sense,one row per strong — the sense HEAD,"the span's meaning, read constantly. The head is the first line of mediumDef (the sense); is_own_lemma marks a code that is its own lemma, where the gloss carries the sense.",1,,
iba,strong_meaning_tree,one row per sense-node of a LEMMA's definition tree,"the lemma's full range — read rarely, only when the broader context is needed. Keyed on the lemma (shared across its senses, which the prototype proved).",1,,strong_meaning_tree
iba,strong_lexicon,one row per strong that has LSJ/Mounce (Greek),the large lexicon text — separate because rarely scanned,1,,strong_lsj_parsed
iba,verse,one row per verse — unique. Does NOT belong to a strong.,"L3 — the addressable verse. preview is the full interlinear, kept verbatim so span is re-derivable.",1,,verse_record
iba,strong_verse,"one row per (strong, verse) — unique. The m:m index.",the source's assertion 'this strong is in this verse'. The check side against span (what the parse found).,1,,wa_term_inventory
iba,span,ONE ROW PER HTML <span> TAG of a verse (O3) - a tag's codes are a combined unit as STEP itself presents them,"L4a - SOURCE, immutable. A parse of verse.preview. position is the running TAG index; (verse, position) is the key. strong_variant/morph_code may hold more than one space-separated code when STEP's own HTML combines them on one tag (corrected 2026-07-25 - see migration/rebuild_span_combined_units.py; the old one-row-per-code model split a combined unit and misattributed surface text).",1,,span
iba,run,one row per work-package run — the control record,"what ran, pinned to a config version, and RESUMABLE (O7): state + resume_point persisted so a pause survives the process.",1,,
iba,validation_result,one row per check a validate step ran,"util.validation — the outcome of a check, persisted so it can be inspected and reported. A passed check is a recorded fact, not just an advancing run.",1,,
iba,escalation,one row per researcher interaction — the pause,"the only sanctioned researcher interaction. A pause, not a fork: the run resumes at resume_point when answered.",1,,
iba,lemma_inventory,one row per corpus lemma (base Strong's) — the INDEPENDENT substrate the seed net runs over,"L4b seed substrate; imported from the old study, NOT derived from the registry, so the seed is a real completeness control",1,,strong_meaning_tree
