id,step,check_key,question,test_kind,required,enforced_by,ordinal,active
1,hib.set,kind-enum-membership,Is hib.kind one of the six live enum.hib_kind values (not free text)?,existence,1,cfg_enum 'hib_kind' + operations.py:_valid_hib_kinds,0,1
2,hib.set,is-genuinely-human,"Does this candidate actually refer to a human being as Step 1 defines it -- not a non-human being whose state happens to be described in human-like terms, and not a place, object, or abstraction personified only grammatically?",reasonableness,1,,1,1
3,hib.set,not-already-excluded,"Has this exact referent already been recorded as out-of-scope for this book/passage (e.g. explicitly set aside per step 2 note d), and is this entry silently reintroducing it without new textual grounds?",non_existence,1,,2,1
4,hib.set,verse-actually-supports-it,"Does the cited verse's own text (lexical row-level data, not the paraphrased English gloss) actually support this HIB being present, or is the entry drifting from what the verse itself states?",reasonableness,1,,3,1
5,phenomenon.set,genuinely-inner-being,"Is this phenomenon actually a state, disposition, or characteristic of the HIB's inner life -- not a purely outward/administrative fact restated without any interior content identified?",reasonableness,1,,0,1
6,phenomenon.set,not-a-literary-pattern,"Is this entry a genuine per-verse, per-HIB phenomenon -- not a textual/structural pattern (recurring formula, book-wide thesis) smuggled in as if it were one (Part B.12)?",non_existence,1,,1,1
7,phenomenon.set,warrant-is-specific,"Does textual_warrant name an actual verb/clause/stated silence in this verse, not a vague restatement of the description field?",existence,1,,2,1
8,operation.set,phenomenon-actually-underlies-it,"Having written this operation, does a genuine phenomenon actually underlie it -- or has writing the operation revealed the Step 3 entry was mis-identified and needs correcting (Part B.12)?",reasonableness,1,,0,1
9,operation.set,source-target-not-invented,"Are the source/target parties actually named or clearly identifiable in the verse/passage, not invented to complete the operation's shape?",non_existence,1,,1,1
10,passage.build,boundary-not-arbitrary,"Is the feasibility_note a genuine, specific reading judgement about THIS scope -- not a reflexive ""yes it is fine"" answer given without actually working through the HIB relationships in it? Would a second, independent read of this scope plausibly reach the same feasible/infeasible call for the same reasons?",reasonableness,1,,0,1
11,phenomenon.set,hib-still-warranted,"Having completed this HIB's full phenomena list for the passage, does it still genuinely warrant being a HIB -- or has the review revealed hib.set needs correcting (and has that correction already been submitted)?",reasonableness,1,,3,1
12,phenomenon.set,description-uses-full-lexical-range,"Does this description draw on the governing word's full lexical range and its specific contextual sense here -- not a brief, generic, or stereotyped label that could apply to any similar-sounding phenomenon regardless of context?",reasonableness,1,,4,1
13,operation.set,observation-uses-full-lexical-range,"Does observation_text/description_text draw on the governing word's full lexical range and its specific contextual sense here -- not a brief, generic, or stereotyped label?",reasonableness,1,,2,1
14,closing.set,linkage-genuinely-registered,Do both the from/to sides of this linkage reference already-registered phenomena/operations -- not licence to narrate a pattern across the whole passage as if it were a linkage?,reasonableness,1,,0,1
15,closing.set,insufficiency-genuinely-absent,"Is this data genuinely absent from the base extract/lexical, not substituted from remembered or external knowledge?",non_existence,1,,1,1
16,closing.set,emergent-question-not-resolvable-now,Is this a genuine interpretive fork or literary/structural observation that could not be resolved within the phenomena/operations themselves -- not something that should have been settled there directly?,reasonableness,1,,2,1
17,closing.set,validation-finding-corrected-not-just-logged,"If this finding identifies a real failure in an existing phenomenon/operation, has it actually been corrected (corrected=true, and the correction submitted) rather than merely logged for later?",existence,1,,3,1
