stepGloss,surface,role,cluster_code,short_name,cluster_subgroup_code,question_code,strong,text,id,meaning_source,obs_text,question_text
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.1.1,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",204,strong_meaning_tree+lsj+mounce,"The characteristic is named from ἀργός (idle/ineffective/careless), part of the M67 diligence-vs-negligence cluster. The name signals absence of productive activity -- the negation of engaged effort, whether physical (idleness), verbal (careless speech), or spiritual (fruitlessness).","What is the characteristic called in the programme, and what does the name signal about its essential nature?"
idle,careless,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.1.1,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",204,strong_meaning_tree+lsj+mounce,"The characteristic is named from ἀργός (idle/ineffective/careless), part of the M67 diligence-vs-negligence cluster. The name signals absence of productive activity -- the negation of engaged effort, whether physical (idleness), verbal (careless speech), or spiritual (fruitlessness).","What is the characteristic called in the programme, and what does the name signal about its essential nature?"
idle,idle,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.1.1,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",204,strong_meaning_tree+lsj+mounce,"The characteristic is named from ἀργός (idle/ineffective/careless), part of the M67 diligence-vs-negligence cluster. The name signals absence of productive activity -- the negation of engaged effort, whether physical (idleness), verbal (careless speech), or spiritual (fruitlessness).","What is the characteristic called in the programme, and what does the name signal about its essential nature?"
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.1.2,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",205,strong_meaning_tree+lsj+mounce,"ἀργός is a compound (privative ἀ- + ἔργον, 'work'), literally 'without work'. LSJ shows the base agricultural sense 'not working the ground', extended to 'idle, lazy' (opposed to ἐργάτις) and, of things, 'lying idle, yielding no return' (of money), 'fallow' (of land), 'unwrought'. Mounce/tree converge on idle/lazy/useless/ineffective/careless.",What do the primary Hebrew and Greek terms show at the definitional level?
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.1.3,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",206,strong_meaning_tree+lsj+mounce,"The a-privative + ἔργον construction carries a constitutional implication: the word defines its subject negatively, by the absence of expected productive output, rather than by any positive quality. This makes it naturally paired with fruit/growth imagery (2 Pet 1:8's ἄκαρπος) and with accounting language (Matt 12:36's λόγος/account for careless words).","What directional, relational, or constitutional implication does the name carry?"
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.5.1,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",207,strong_meaning_tree+lsj+mounce,"Primary Greek term ἀργός, from ἀ- (privative) + ἔργον ('work, deed'). Root meaning: 'not-working', hence idle, unproductive, ineffective. No Hebrew equivalent is in view for this NT-only term in this cluster's data.","What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.5.2,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",208,strong_meaning_tree+lsj+mounce,"ἀργός is an adjective (attested only as A- morph forms across the given occurrences: A-APM, A-ASN, A-NPM), modifying persons (idle laborers, Matt 20:6), words (careless speech, Matt 12:36), and qualities/character (ineffective in knowledge, 2 Pet 1:8). Its purely adjectival range shows the characteristic operates as a descriptor of state/condition rather than as an act in itself.","What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
idle,careless,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.5.2,G0692,"I tell you, on the day of judgment people will give account for every careless word they speak,",208,strong_meaning_tree+lsj+mounce,"ἀργός is an adjective (attested only as A- morph forms across the given occurrences: A-APM, A-ASN, A-NPM), modifying persons (idle laborers, Matt 20:6), words (careless speech, Matt 12:36), and qualities/character (ineffective in knowledge, 2 Pet 1:8). Its purely adjectival range shows the characteristic operates as a descriptor of state/condition rather than as an act in itself.","What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
idle,idle,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.5.2,G0692,"And about the eleventh hour he went out and found others standing. And he said to them, ‘ Why do you stand here idle all day?’",208,strong_meaning_tree+lsj+mounce,"ἀργός is an adjective (attested only as A- morph forms across the given occurrences: A-APM, A-ASN, A-NPM), modifying persons (idle laborers, Matt 20:6), words (careless speech, Matt 12:36), and qualities/character (ineffective in knowledge, 2 Pet 1:8). Its purely adjectival range shows the characteristic operates as a descriptor of state/condition rather than as an act in itself.","What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
idle,ineffective,"[""M67"", ""T2""]",M67,Sloth & Diligence,,M0.5.3,G0692,"For if these qualities are yours and are increasing, they keep you from being ineffective or unfruitful in the knowledge of our Lord Jesus Christ.",209,strong_meaning_tree+lsj+mounce,"Semantic range spans: (1) literal physical idleness/unemployment (Matt 20:6, standing idle in the marketplace), (2) morally-loaded 'careless' speech implying culpable inattention rather than mere inactivity (Matt 12:36), (3) metaphorical spiritual unfruitfulness/ineffectiveness paired with ἄκαρπος (2 Pet 1:8). LSJ also documents financial idleness (money 'lying idle, yielding no return') and agricultural fallowness, showing the term's economic/productivity register carried into its NT moral use.","What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
