strong,language,gloss,m_code,other_live_codes,category,m_code_source,m_code_rationale,t2_source,t2_rationale,claude_recommendation,claude_reasoning,researcher_decision,researcher_notes
G1414,Greek,be able,M23,,BOTH-STALE,old-system-migration,,old-system-migration,,Retire M23 (keep T2),"Modal ability verb (""be able"") -- generic grammatical vocabulary, not an inner-being characteristic. No rationale on either side (BOTH-STALE) to override the plain reading.",,
G1415,Greek,able,M23,,BOTH-STALE,old-system-migration,,old-system-migration,,Retire M23 (keep T2),"Adjective form of G1414, same reasoning.",,
G1493,Greek,idol's temple,M55,T12,T2-REAL,old-system-migration," | relocated M27->M55 2026-09-06 (escalation #1525: 'merge M27 into M55', researcher verbatim)",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep both -- review wording,M55 (idolatry theme) fits the word's real content; T2 came from a real 2026-09-05 sweep though -- worth confirming what that sweep's own stated reason was before finalizing as dual.,,
G1494,Greek,sacrificed to idols,M55,,T2-REAL,old-system-migration," | relocated M27->M55 2026-09-06 (escalation #1525: 'merge M27 into M55', researcher verbatim)",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep M55 only (retire T2),"Directly idolatry-thematic (""sacrificed to idols"") -- T2-REAL but the M-code content fit is strong; T2 likely predates or missed the idolatry-family grouping.",,
G1495,Greek,idolatry,M55,,T2-REAL,old-system-migration," | relocated M27->M55 2026-09-06 (escalation #1525: 'merge M27 into M55', researcher verbatim)",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep M55 only (retire T2),"The word IS the characteristic (""idolatry"" itself) -- clearest case in the whole list for M-only.",,
G1654,Greek,charity,M05,,BOTH-STALE,old-system-migration,,old-system-migration,,Needs content review,"BOTH-STALE, gloss ""charity"" plausibly fits M05 -- no red flag, but no real provenance either side to confirm.",,
G1764,Greek,be present,M15,,BOTH-REAL,llm-allocation-v1_3-20260811,no precedent; profile suggestion M15:5.9 | accepted,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Retire M15 (keep T2),"Existential ""be present"" verb -- BOTH-REAL but M15 (Wisdom?) fit looks weak for a locative-existential verb; repeats 3x elsewhere in this list with the same concern.",,
G1832,Greek,be permitted,M31,,T2-REAL,old-system-migration,,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Keep M31 only (retire T2),M-REAL is the stale side here (T2-REAL) -- but 'be permitted' plausibly relates to M31; flagged for your read since T2 was the deliberate pass.,,
G1888,Greek,in the very act,M26,,BOTH-REAL,llm-allocation-v1_3-20260811,"no precedent; profile suggestion M26:7.1, M10:5.1, M05:3.5 | accepted",heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Needs content review,"BOTH-REAL, idiomatic phrase ('in the very act') -- unclear fit for M26 without knowing M26's theme; no strong signal either way.",,
G2192,Greek,to have/be,M23,,T2-REAL,old-system-migration,,heuristic-family-grouping-v1-20260905,"no inner-being significance -- place/person name, body part, divine/idol reference, or generic human-relational term",Needs content review,"T2-REAL. ""to have/be"" (echo) is one of the most common, most polysemous Greek verbs -- a blanket M23 tag across all senses looks over-broad, but a specific idiomatic sense may genuinely fit M23.",,
