registry_word,status,source,strongNumber,stepGloss,language,count,sense_head
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G0331,cursed,Greek,31,cursed
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G0332,to take an oath,Greek,18,to take an oath
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G0685,curse,Greek,32,curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G0987,to blaspheme,Greek,40,to blaspheme
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G1944,cursed,Greek,43,cursed
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2551,to curse/revile,Greek,10,to curse/revile
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2616,to oppress,Greek,30,to oppress
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2617,to dishonor,Greek,72,to dishonor
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2652,curse,Greek,1,curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2653,to curse,Greek,1,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2671,curse,Greek,40,curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G2672,to curse,Greek,65,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G6522,to curse,Greek,10,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",G7906,a curse,Greek,3,a curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H0422,to swear,Hebrew,7,to swear
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H0423,oath,Hebrew,35,oath
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H0779,to curse,Hebrew,63,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H1288,to bless,Hebrew,330,to bless
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H1697G,word,Hebrew,920,word/speech/command
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H3994,curse,Hebrew,5,curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H5173,divination,Hebrew,2,divination
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H5344A,to pierce,Hebrew,23,to pierce
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H5344B,to curse,Hebrew,2,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H6895,to curse,Hebrew,14,to curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H7043,to lighten,Hebrew,82,to lighten
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H7045,curse,Hebrew,33,curse
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H7621,oath,Hebrew,30,oath
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H7650,to swear,Hebrew,186,to swear
Cursing,raw-complete,"legacy registry: verse-fanout orphan (Gen 49:7 arar H0779; to curse - cluster TBD, curse/blessing pair)",H8381,curse,Hebrew,1,curse
Ruthlessness,raw-complete,legacy registry: Programme Addition,G0415,merciless,Greek,7,merciless
Ruthlessness,raw-complete,legacy registry: Programme Addition,G0786,irreconcilable,Greek,2,irreconcilable
Ruthlessness,raw-complete,legacy registry: Programme Addition,H0393,cruel,Hebrew,4,cruel
Ruthlessness,raw-complete,legacy registry: Programme Addition,H0394,cruel,Hebrew,8,cruel
Ruthlessness,raw-complete,legacy registry: Programme Addition,H0395,cruel,Hebrew,1,cruel
Ruthlessness,raw-complete,legacy registry: Programme Addition,H2556C,to oppress,Hebrew,1,to oppress
Ruthlessness,raw-complete,legacy registry: Programme Addition,H4751,bitter,Hebrew,39,bitter
Ruthlessness,raw-complete,legacy registry: Programme Addition,H5794,strong,Hebrew,24,strong
Ruthlessness,raw-complete,legacy registry: Programme Addition,H6184,ruthless,Hebrew,20,ruthless
Soul,raw-complete,legacy registry: Programme Addition,G5590G,soul,Greek,825,soul
Soul,raw-complete,legacy registry: Programme Addition,G5590H,soul: life,Greek,42,soul: life
