table_name,name,col,ordinal
candidate_seed,idx_candidate_seed_lemma_key,lemma_key,0
candidate_seed,idx_candidate_seed_lemma_key,deleted,1
candidate_seed,idx_candidate_seed_strong_variant,strong_variant,0
candidate_seed,idx_candidate_seed_strong_variant,deleted,1
escalations_old,idx_escalation_run_id,run_id,0
hib,idx_hib_first_verse_id,first_verse_id,0
hib,idx_hib_first_verse_id,deleted,1
hib_referent_option,idx_hib_referent_option_hib_id,hib_id,0
hib_referent_option,idx_hib_referent_option_hib_id,deleted,1
operation,idx_operation_phenomenon_id,phenomenon_id,0
operation,idx_operation_phenomenon_id,deleted,1
operation_party,idx_operation_party_hib_id,hib_id,0
operation_party,idx_operation_party_hib_id,deleted,1
operation_party,idx_operation_party_operation_id,operation_id,0
operation_party,idx_operation_party_operation_id,deleted,1
passage,idx_passage_anchor_verse_id,anchor_verse_id,0
passage,idx_passage_anchor_verse_id,deleted,1
passage_emergent_question,idx_passage_emergent_question_passage_id,passage_id,0
passage_emergent_question,idx_passage_emergent_question_passage_id,deleted,1
passage_emergent_question,idx_passage_emergent_question_verse_id,verse_id,0
passage_emergent_question,idx_passage_emergent_question_verse_id,deleted,1
passage_insufficiency,idx_passage_insufficiency_passage_id,passage_id,0
passage_insufficiency,idx_passage_insufficiency_passage_id,deleted,1
passage_insufficiency,idx_passage_insufficiency_verse_id,verse_id,0
passage_insufficiency,idx_passage_insufficiency_verse_id,deleted,1
passage_linkage,idx_passage_linkage_from_operation_id,from_operation_id,0
passage_linkage,idx_passage_linkage_from_operation_id,deleted,1
passage_linkage,idx_passage_linkage_passage_id,passage_id,0
passage_linkage,idx_passage_linkage_passage_id,deleted,1
passage_linkage,idx_passage_linkage_to_operation_id,to_operation_id,0
passage_linkage,idx_passage_linkage_to_operation_id,deleted,1
passage_validation_note,idx_passage_validation_note_passage_id,passage_id,0
passage_validation_note,idx_passage_validation_note_passage_id,deleted,1
passage_validation_note,idx_passage_validation_note_phenomenon_id,phenomenon_id,0
passage_validation_note,idx_passage_validation_note_phenomenon_id,deleted,1
phenomenon,idx_phenomenon_hib_id,hib_id,0
phenomenon,idx_phenomenon_hib_id,deleted,1
phenomenon,idx_phenomenon_passage_id,passage_id,0
phenomenon,idx_phenomenon_passage_id,deleted,1
phenomenon,idx_phenomenon_verse_id,verse_id,0
phenomenon,idx_phenomenon_verse_id,deleted,1
span,idx_span_verse_id,verse_id,0
span,idx_span_verse_id,deleted,1
span_candidate,idx_span_candidate_span_id,span_id,0
span_candidate,idx_span_candidate_span_id,deleted,1
strong_lexicon,idx_strong_lexicon_strong,strong,0
strong_lexicon,idx_strong_lexicon_strong,deleted,1
strong_lsj_parsed,idx_strong_lsj_parsed_strong,strong,0
strong_lsj_parsed,idx_strong_lsj_parsed_strong,deleted,1
strong_meaning_parsed,idx_strong_meaning_parsed_strong_variant,strong_variant,0
strong_meaning_parsed,idx_strong_meaning_parsed_strong_variant,deleted,1
strong_meaning_tree,idx_strong_meaning_tree_strong_variant,strong_variant,0
strong_meaning_tree,idx_strong_meaning_tree_strong_variant,deleted,1
strong_mounce_parsed,idx_strong_mounce_parsed_strong,strong,0
strong_mounce_parsed,idx_strong_mounce_parsed_strong,deleted,1
strong_related,idx_strong_related_strong,strong,0
strong_related,idx_strong_related_strong,deleted,1
strong_sense,idx_strong_sense_strong,strong,0
strong_sense,idx_strong_sense_strong,deleted,1
strong_verse,idx_strong_verse_strong,strong,0
strong_verse,idx_strong_verse_strong,deleted,1
strong_verse,idx_strong_verse_verse_id,verse_id,0
strong_verse,idx_strong_verse_verse_id,deleted,1
validation_result,idx_validation_result_run_id,run_id,0
validation_result,idx_validation_result_run_id,deleted,1
verse_hib,idx_verse_hib_hib_id,hib_id,0
verse_hib,idx_verse_hib_hib_id,deleted,1
verse_hib,idx_verse_hib_verse_id,verse_id,0
verse_hib,idx_verse_hib_verse_id,deleted,1
verse_lexical,idx_verse_lexical_span_id,span_id,0
verse_lexical,idx_verse_lexical_span_id,deleted,1
verse_lexical,idx_verse_lexical_strong,strong,0
verse_lexical,idx_verse_lexical_strong,deleted,1
verse_lexical,idx_verse_lexical_verse_id,verse_id,0
verse_lexical,idx_verse_lexical_verse_id,deleted,1
verse_passage,idx_verse_passage_passage_id,passage_id,0
verse_passage,idx_verse_passage_passage_id,deleted,1
verse_passage,idx_verse_passage_verse_id,verse_id,0
verse_passage,idx_verse_passage_verse_id,deleted,1
word_strong,idx_word_strong_strong,strong,0
word_strong,idx_word_strong_strong,deleted,1
word_strong,idx_word_strong_word_id,word_id,0
word_strong,idx_word_strong_word_id,deleted,1
debate_change_detail,idx_hib_change_detail_run_id,run_id,0
escalation_history,idx_escalation_history_escalation_id,escalation_id,0
