type,key,file,line,category,file_type,currency,snippet
gloss,compassion,Logs/session-2026-03-27-claude-code-third-session.md,113,log,session-log,historical,"| 23 | compassion | 98 | 2,195 | 3 |"
gloss,compassion,Sessions-v2/M01-Fear/Analysis/wa-cluster-M01-v3_2-L1-run-v1-20260608.md,839,cluster,other,current,"| Psa 103:13 | As a father shows compassion to his children , so the Lord shows compassion to those who fear him. |"
gloss,compassion,Sessions-v2/M01-Fear/Data/wa-cluster-M01-prose-extract-v1-20260605.md,1296,cluster,other,current,"| M01-A | finding | The extensive documentation of human-to-God reverential fear in M01-A reveals that the relationship between the human person and God is fundamentally asymmetrical: God is the holy,"
gloss,compassion,Sessions-v2/M01-Fear/findings/WA-m01-findings-NEW-merged-bytier-v1-20260619.md,1715,cluster,other,current,"| X7 | **""Perfect love casts out fear"" territory** (chesed, agapē, rachamim) — love as fear's displacer | c1,c2,c3,c4,c5,c7 | 17 | **M05 Love/Compassion/Kindness** |"
gloss,compassion,Sessions-v2/M01-Fear/findings/WA-m01-findings-OLD-dbexport-bytier-v1-20260619.md,1211,cluster,other,current,- **[M01-A · Reverential Fear / Fear of God as Governing Orientation]** The extensive documentation of human-to-God reverential fear in M01-A reveals that the relationship between the human person and
gloss,compassion,Sessions-v2/M01-Fear/findings/WA-m01-findings-t6-v1_0-2026-06-18.md,190,cluster,other,current,"| X7 | **""Perfect love casts out fear"" territory** (chesed, agapē, rachamim) — love as fear's displacer | c1,c2,c3,c4,c5,c7 | 17 | **M05 Love/Compassion/Kindness** |"
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-NEW-merged-bytier-v1-20260619.md,483,cluster,other,current,"- **[C4 — Jealousy / zeal]** Locations: **soul/nephesh** (1Ki 19:10,14 Elijah ""I have been very jealous for the LORD,"" lit. of the soul's ardour); **heart** (Pro 23:17 ""let not your heart envy""; Song "
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,179,cluster,other,current,- **[char 71 · Divine Wrath as Judicial Force]** The most explicit structural opposite named in the corpus is peace/rest. Heb 3:11 presents wrath as what prevents rest — the oath of wrath bars from re
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,181,cluster,other,current,- **[char 72 · Burning Rage and Inner Heat]** The most explicit structural opposite named in the corpus is peace/rest. Heb 3:11 presents wrath as what prevents rest — the oath of wrath bars from rest.
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,191,cluster,other,current,- **[char 71 · Divine Wrath as Judicial Force]** Wrath excludes mercy: Eze 8:18 (M02-B-VCG-06) states that God acts in rage without pity or hearing — the inner wrath shuts off compassion and responsiv
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,227,cluster,other,current,- **[char 72 · Burning Rage and Inner Heat]** As a state requiring restraint: anger is present but held in check — Psa 78:38 (God's compassion repeatedly restraining his warranted rage); Eph 4:26 (ang
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,309,cluster,other,current,- **[char 72 · Burning Rage and Inner Heat]** The restraint corpus shows that God's compassion blocks the full expression of his warranted rage: Psa 78:38 (M02-B-VCG-05) — God repeatedly holds back be
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,718,cluster,other,current,"- **[char 72 · Burning Rage and Inner Heat]** Psa 78:38 (M02-B-VCG-05): ""God's rage, though fully warranted, is repeatedly held back — his compassion leads him to atone for iniquity"" — reveals that Go"
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,869,cluster,other,current,- **[char 72 · Burning Rage and Inner Heat]** The sequence (arousal → possession → sustaining → resolution) reveals that anger does not self-resolve — it requires either an external resolution (the of
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,877,cluster,other,current,"- **[char 72 · Burning Rage and Inner Heat]** The primary mechanism in the covenant-discipline register is consequence-based: divine anger produces judgment as discipline (exile, subjugation, plague) "
gloss,compassion,Sessions-v2/M02-Anger/findings/WA-m02-findings-OLD-dbexport-bytier-v1-20260619.md,881,cluster,other,current,"- **[char 74 · Provocation — Anger Aroused]** The primary mechanism in the covenant-discipline register is consequence-based: divine anger produces judgment as discipline (exile, subjugation, plague) "
gloss,compassion,Sessions-v2/M02-Anger/findings/wa-m02-c2-divine-wrath-tieranalysis-v1_1-20260619.md,483,cluster,other,current,- `compassion Lord` ×1 — Isa 54:8
gloss,compassion,Sessions-v2/M02-Anger/findings/wa-m02-c4-jealousy-zeal-tieranalysis-v1_0-20260619.md,81,cluster,other,current,"**T2.1.1** — Locations: **soul/nephesh** (1Ki 19:10,14 Elijah ""I have been very jealous for the LORD,"" lit. of the soul's ardour); **heart** (Pro 23:17 ""let not your heart envy""; Song 8:6 ""jealousy..."
gloss,compassion,Sessions-v2/M02-Anger/findings/wa-m02-c4-jealousy-zeal-tieranalysis-v1_1-20260619.md,82,cluster,other,current,"**T2.1.1** — Locations: **soul/nephesh** (1Ki 19:10,14 Elijah ""I have been very jealous for the LORD,"" lit. of the soul's ardour); **heart** (Pro 23:17 ""let not your heart envy""; Song 8:6 ""jealousy..."
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-m03-char-a-tier-findings-v1_1-20260619.md,63,cluster,other,current,**T4.3 Giving** — Inner pain is not extended person-to-person (contrast compassion). Negative.
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-m03-char-d-tier-findings-v1_0-20260619.md,44,cluster,other,current,"**T2.9.2–.3** — Origin varies: bereavement (Gen 50:1), national threat (1Sa 11:4), compassion (Gen 43:30), repentant grief (2Ki 22:19)."
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-m03-char-d-tier-findings-v1_0-20260619.md,75,cluster,other,current,"**T6.3 Causal/constitutive** — Produced by grief, loss, and compassion; constitutes the bodily core of the mourning episode."
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-m03-char-d-weeping-v1_0-20260619.md,42,cluster,other,current,- **Gen 43:30** — compassion growing warm for his brother
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-obslog-m03-ve-char-derive-v1-20260619.md,77,cluster,other,current,"- Review (168 occ, researcher decision): ra.ah external calamity 141 + felt residue 8 (=149, the dominant decision) · a.mal felt misery 17 · sumpaschō 'suffer with' 2 (unmapped — candidate A or compas"
gloss,compassion,Sessions-v2/M03-Grief/findings/wa-obslog-m03-ve-char-derive-v1-20260619.md,110,cluster,other,current,"- REASSIGN candidates flagged (NOT in OOS list, NOT deleted): a.mal toil 26 + a.mal moral-evil 10 (→ labour / M10-M26); ma.rar anger 6 + mar anger 2 (→ M02). Also flagged: pid (4, parallel to ra.ah — "
gloss,compassion,Sessions-v2/M04-Joy/findings/wa-m04-char-rejoicing-gladness-v1_0-20260620.md,480,cluster,other,current,| Isa 49:13 | gil_verb (exult) | action | other (addressed) | situation | righteous |  | the Lord comforting his people and having compassion on his afflicted |
gloss,compassion,Sessions-v2/M04-Joy/findings/wa-m04-char-rejoicing-gladness-v1_1-20260620.md,494,cluster,other,current,| Isa 49:13 | gil_verb (exult) | action | other (addressed) | situation | righteous |  | the Lord comforting his people and having compassion on his afflicted |
