NO,WORD,SOURCE_LIST,CATEGORY_HINT,PHASE1_INPUT_FILE,PHASE1_STATUS,PHASE1_OUTPUT_FILE,PHASE2_DATASETS,NOTES
1,abomination,Missing Inner Being Words,Moral/Conscience,,Pending,,,
2,agony,Missing Inner Being Words,Affective/Emotional,,Pending,,,
3,ambition,Low Confidence / Inferred,,,Pending,,,
4,anger,High Confidence,,,Pending,,,
5,anguish,Missing Inner Being Words,Affective/Emotional,,Pending,,,
6,anointing,See word_confidence_split,,,Pending,,,
7,anxiety,See word_confidence_split,,,Pending,,,
8,appetite,See word_confidence_split,,,Pending,,,
9,assent,See word_confidence_split,,,Pending,,,
10,awareness,See word_confidence_split,,,Pending,,,
11,awe,See word_confidence_split,,,Pending,,,
12,betrayal,See word_confidence_split,,,Pending,,,
13,bitterness,See word_confidence_split,,,Pending,,,
14,blamelessness,See word_confidence_split,,,Pending,,,
15,boastfulness,See word_confidence_split,,,Pending,,,
16,boldness,See word_confidence_split,,,Pending,,,
17,bondage,See word_confidence_split,,,Pending,,,
18,brokenness,See word_confidence_split,,,Pending,,,
19,calling,See word_confidence_split,,,Pending,,,
20,character,See word_confidence_split,,,Pending,,,
21,commitment,See word_confidence_split,,,Pending,,,
22,communion,See word_confidence_split,,,Pending,,,
23,compassion,See word_confidence_split,,,Pending,,,
24,condemnation,See word_confidence_split,,,Pending,,,
25,conformity,See word_confidence_split,,,Pending,,,
26,conscience,See word_confidence_split,,,Pending,,,
27,consciousness,See word_confidence_split,,,Pending,,,
28,consecration,See word_confidence_split,,,Pending,,,
29,contentment,See word_confidence_split,,,Pending,,,
30,contrition,See word_confidence_split,,,Pending,,,
31,corruption,See word_confidence_split,,,Pending,,,
32,counsel,See word_confidence_split,,,Pending,,,
33,courage,See word_confidence_split,,,Pending,,,
34,covenant,See word_confidence_split,,,Pending,,,
35,covetousness,See word_confidence_split,,,Pending,,,
36,cowardice,See word_confidence_split,,,Pending,,,
37,darkening,See word_confidence_split,,,Pending,,,
38,deadness,See word_confidence_split,,,Pending,,,
39,debauchery,See word_confidence_split,,,Pending,,,
40,deceit,See word_confidence_split,,,Pending,,,
41,defilement,See word_confidence_split,,,Pending,,,
42,delight,See word_confidence_split,,,Pending,,,
43,desire,See word_confidence_split,,,Pending,,,
44,despair,See word_confidence_split,,,Pending,,,
45,determination,See word_confidence_split,,,Pending,,,
46,devotion,See word_confidence_split,,,Pending,,,
47,dignity,See word_confidence_split,,,Pending,,,
48,diligence,See word_confidence_split,,,Pending,,,
49,discernment,See word_confidence_split,,,Pending,,,
50,disobedience,See word_confidence_split,,,Pending,,,
51,distress,See word_confidence_split,,,Pending,,,
52,division,See word_confidence_split,,,Pending,,,
53,dread,See word_confidence_split,,,Pending,,,
54,emotion,See word_confidence_split,,,Pending,,,
55,endurance,See word_confidence_split,,,Pending,,,
56,envy,See word_confidence_split,,,Pending,,,
57,evil,See word_confidence_split,,,Pending,,,
58,experience,See word_confidence_split,,,Pending,,,
59,faith,See word_confidence_split,,,Pending,,,
60,faithfulness,See word_confidence_split,,,Pending,,,
61,fear,See word_confidence_split,,,Pending,,,
62,fellowship,See word_confidence_split,,,Pending,,,
63,foolishness,See word_confidence_split,,,Pending,,,
64,forgiveness,See word_confidence_split,,,Pending,,,
65,generosity,See word_confidence_split,,,Pending,,,
66,gentleness,See word_confidence_split,,,Pending,,,
67,goodness,See word_confidence_split,,,Pending,,,
68,grace,See word_confidence_split,,,Pending,,,
69,gratitude,See word_confidence_split,,,Pending,,,
70,greed,See word_confidence_split,,,Pending,,,
71,grief,See word_confidence_split,,,Pending,,,
72,groaning,See word_confidence_split,,,Pending,,,
73,guilt,See word_confidence_split,,,Pending,,,
74,hardness,See word_confidence_split,,,Pending,,,
75,hatred,See word_confidence_split,,,Pending,,,
76,holiness,See word_confidence_split,,,Pending,,,
77,honesty,See word_confidence_split,,,Pending,,,
78,hope,See word_confidence_split,,,Pending,,,
79,hopelessness,See word_confidence_split,,,Pending,,,
80,humility,See word_confidence_split,,,Pending,,,
81,hypocrisy,See word_confidence_split,,,Pending,,,
82,identity,See word_confidence_split,,,Pending,,,
83,idolatry,See word_confidence_split,,,Pending,,,
84,image of God,See word_confidence_split,,,Pending,,,
85,imagination,See word_confidence_split,,,Pending,,,
86,impurity,See word_confidence_split,,,Pending,,,
87,indignation,See word_confidence_split,,,Pending,,,
88,ingratitude,See word_confidence_split,,,Pending,,,
89,iniquity,See word_confidence_split,,,Pending,,,
90,innocence,See word_confidence_split,,,Pending,,,
91,insight,See word_confidence_split,,,Pending,,,
92,integrity,See word_confidence_split,,,Pending,,,
93,intention,See word_confidence_split,,,Pending,,,
94,intercession,See word_confidence_split,,,Pending,,,
95,intuition,See word_confidence_split,,,Pending,,,
96,jealousy,See word_confidence_split,,,Pending,,,
97,joy,See word_confidence_split,,,Pending,,,
98,justice,See word_confidence_split,,,Pending,,,
99,kindness,See word_confidence_split,,,Pending,,,
100,knowledge,See word_confidence_split,,,Pending,,,
101,laziness,See word_confidence_split,,,Pending,,,
102,longing,See word_confidence_split,,,Pending,,,
103,love,See word_confidence_split,,,Pending,,,
104,loyalty,See word_confidence_split,,,Pending,,,
105,lust,See word_confidence_split,,,Pending,,,
