osisId,note_id,verse_lexical_id,source_position,source_code_ordinal,source_strong,source_surface,note_type,resolution_status,target_verse,target_position,related_verse_lexical_ids,value_text,evidence_text
Gen.46.18,338,885439,0,0,H0428,These,related_word,resolved,,,,"H0411/H0429 (el/elleh, 'these') are genuine same-root synonym forms of this demonstrative; H0414 (Ela, a proper name) is a coincidental root-collision, not a real relation.",
Gen.46.18,339,885440,1,0,H1121A,sons,related_word,resolved,,,,"CORRECTED (v1 wrongly base-stripped this code and reported 0): 48 related codes under the exact code H1121A, genuine -- the full ben ('son') family, including its own sub-senses (son: descendant/young animal/type/warrior/aged) and derivative proper names (Ben, Beno). Same root, real relation, not coincidental.",
Gen.46.18,340,885441,2,0,H2153,Zilpah,related_word,checked_empty,,,,"1 related code pulled, but its own form/gloss fields are empty in strong_related -- not usable, treated as no real finding.",
Gen.46.18,341,885441,2,0,H2153,Zilpah,entity_link,resolved,Gen.46.18,3,,Target of 'whom' (position 3) -- Zilpah is the antecedent.,
Gen.46.18,342,885442,3,0,H0834A,whom,related_word,checked_empty,,,,"0 usable related codes (1 pulled, form/gloss empty).",
Gen.46.18,343,885442,3,0,H0834A,whom,entity_link,resolved,Gen.46.18,2,,"'whom' (relative pronoun) refers back to Zilpah (position 2), not Laban -- the antecedent of the relative clause.",
Gen.46.18,344,885443,4,0,H3837A,Laban,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Gen.46.18,345,885444,5,0,H5414G,gave,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 60 related codes under the exact code H5414G, genuine -- natan ('to give') is the root of mattan/mattanah ('gift'), a real and expected semantic connection, heavily populated with proper names built on the same root (Mattan, Mattanah, Mattenai).",
Gen.46.18,346,885444,5,0,H5414G,gave,verb_argument,resolved,Gen.46.18,4,[885445],"'gave' (H5414G): trigger/agent is Laban (position 4), impact/recipient is Leah (position 6).",
Gen.46.18,347,885445,6,0,H3812,Leah,related_word,checked_empty,,,,"1 related code pulled, form/gloss empty -- not usable.",
Gen.46.18,348,885446,6,1,H9005,Leah,inert,checked_empty,,,,"Prepositional prefix ('to'), function role -- no relational finding beyond its own grammatical role.",
Gen.46.18,349,885447,7,0,H1323G,daughter,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 42 related codes under the exact code H1323G, genuine -- bat ('daughter') is cross-listed with the full ben ('son') family, a real parent-child terminology pairing attested in STEP's own data, not coincidental.",
Gen.46.18,350,885447,7,0,H1323G,daughter,noun_relational,resolved,Gen.46.18,6,,"'daughter' construct-linked to Leah (position 6) -- marks the genealogical relation (Leah is Laban's daughter), not a separate referent.",
Gen.46.18,351,885448,8,0,H3205,bore,related_word,resolved,,,,"Genuine same-concept family: child/youth/maiden/born (the Hebrew ILD birth-root) -- a real semantic cluster around 'bore', not coincidental.",
Gen.46.18,352,885448,8,0,H3205,bore,chain,resolved,,,,'bore' carries narrative_morph=wayyiqtol -- a genuine sequential narrative action continuing this genealogy list's own narrative thread.,
Gen.46.18,353,885449,8,1,H9023,bore,pronoun_resolution,resolved,Gen.46.18,6,,"'she' (3fs suffix) refers to Leah (position 6), the immediately preceding named woman -- distinguishing her from Zilpah named earlier in the verse.",
Gen.46.18,354,885450,9,0,H3290,Jacob,related_word,resolved,,,,"Genuine cross-reference, not mere etymology: Jacob is also called Israel (H3478/H3479) and Israelite (G2474/G2475) -- the same person's two names, attested cross-lingually (Greek Iakob transliteration too).",
Gen.46.18,355,885451,9,1,H9005,Jacob,inert,checked_empty,,,,"Prepositional prefix ('to'), function role.",
Gen.46.18,356,885452,9,2,H0853,Jacob,inert,checked_empty,,,,"Direct-object marker (H0853), function role -- per the H0853-function-word-exception rule.",
Gen.46.18,357,885453,9,3,H0428,Jacob,related_word,unresolved,,,,"This code (H0428, elsewhere 'these'/demonstrative) is tagged at the same position as 'Jacob' with no clear semantic role in this word-complex -- the code combination at this position is not confidently explained by a single-verse targeted read; flagged rather than guessed, per the design's own unresolved-not-guessed rule.",
Gen.46.18,358,885454,10,0,H6240,sixteen,related_word,resolved,,,,"Genuine numeral family: ten/tenth/tithe (H4643/H6218/H6224/H6235/H6237) -- real root connection, 'sixteen' as a six-plus-ten compound.",
Gen.46.18,359,885455,10,1,H8337,sixteen,related_word,resolved,,,,"Coincidental, not genuine: Sheva/onyx/Shoham (H7718/H7719/H7724) share the root letters of 'six' but are semantically unrelated proper names/gem terms -- a textbook Hebrew triliteral-root collision, correctly sorted as coincidental per the design's own language-aware sorting rule, not a real relation.",
Gen.46.18,360,885456,11,0,H5315J,persons,related_word,resolved,,,,"CORRECTED (v1 wrongly reported 0): 11 related codes under the exact code H5315J, genuine and directly relevant -- nephesh's OWN other senses (soul: life/myself/animal/appetite/dead) plus naphash ('be refreshed') and Naphish (a coincidental proper name). This is real, strong evidence for the polysemy point below: the same lemma spans 'headcount' and 'soul/life', not two unrelated words.",
