"strong","term","source","ib_relevance"
"G0014","to do good","mounce","IB related"
"G0014","do good","lsj","IB related"
"G0014","well","lsj","Could impact IB"
"G0014","to do good","meaning_tree","IB related"
"G0014","confer benefits","meaning_tree","Could impact IB"
"G0015","to do good","mounce","IB related"
"G0015","to do right","mounce","Could impact IB"
"G0015","do good","lsj","IB related"
"G0015","do good to","lsj","IB related"
"G0015","make good","lsj","IB related"
"G0015","make favourable","lsj","Could impact IB"
"G0015","exert beneficent influence","lsj","Could impact IB"
"G0015","do well","lsj","Could impact IB"
"G0015","act rightly","lsj","Could impact IB"
"G0015","to do good","meaning_tree","IB related"
"G0015","to do right","meaning_tree","Could impact IB"
"G0015","do well","meaning_tree","Could impact IB"
"G0016","doing good","mounce","IB related"
"G0016","well-doing","lsj","Could impact IB"
"G0016","doing good","meaning_tree","IB related"
"G0016","well-doing","meaning_tree","Could impact IB"
"G0017","right","mounce","Could impact IB"
"G0017","beneficent","lsj","Could impact IB"
"G0017","exerting beneficent influence","lsj","Could impact IB"
"G0017","creating the Good","lsj","IB related"
"G0017","right","meaning_tree","Could impact IB"
"G0017","doing good","meaning_tree","IB related"
"G0017","a well-doer","meaning_tree","Could impact IB"
"G0018","good","lsj","IB related"
"G0018","well-born","lsj","Could impact IB"
"G0018","gentle","lsj","Could impact IB"
"G0018","aristocrats","lsj","Could impact IB"
"G0018","brave","lsj","Could impact IB"
"G0018","valiant","lsj","Could impact IB"
"G0018","capable","lsj","Could impact IB"
"G0018","my good friend","lsj","IB related"
"G0018","serviceable","lsj","Could impact IB"
"G0018","good for","lsj","IB related"
"G0018","to good purpose","lsj","IB related"
"G0018","for his own good end","lsj","IB related"
"G0018","it is good","lsj","IB related"
"G0018","morally good","lsj","IB related"
"G0018","blessing","lsj","IB related"
"G0018","benefit","lsj","Could impact IB"
"G0018","blessing!","lsj","IB related"
"G0018","treasure!","lsj","Not relevant"
"G0018","a benefit","lsj","Could impact IB"
"G0018","for no good end","lsj","IB related"
"G0018","the good","lsj","IB related"
"G0018","goods of fortune","lsj","IB related"
"G0018","treasures","lsj","Not relevant"
"G0018","wealth","lsj","Could impact IB"
"G0018","fare well","lsj","Could impact IB"
"G0018","good things","lsj","IB related"
"G0018","dainties","lsj","Could impact IB"
"G0018","good qualities","lsj","IB related"
"G0018","good points","lsj","IB related"
"G0018","admirable.","lsj","Could impact IB"
"G0018","goodness","meaning_tree","IB related"
"G0018","good thing","meaning_tree","IB related"
"G0019","goodness","mounce","IB related"
"G0019","goodness","lsj","IB related"
"G0019","kindness","lsj","IB related"
"G0019","goodness","meaning_tree","IB related"
"G0019","virtue","meaning_tree","IB related"
"G0019","beneficence","meaning_tree","Could impact IB"
"G0019","generosity","meaning_tree","IB related"
"G0020","delight","mounce","IB related"
"G0020","great joy","mounce","IB related"
"G0020","great joy","lsj","IB related"
"G0020","exultation","lsj","Could impact IB"
"G0020","delight","meaning_tree","IB related"
"G0020","great joy","meaning_tree","IB related"
"G0020","exultation","meaning_tree","Could impact IB"
"G0020","extreme joy","meaning_tree","IB related"
"G0021","with great joy","mounce","IB related"
"G0021","rejoice exceedingly","lsj","Could impact IB"
"G0021","in malam partem","lsj","Could impact IB"
"G0021","with great joy","meaning_tree","IB related"
"G0021","to celebrate","meaning_tree","Could impact IB"
"G0021","praise","meaning_tree","IB related"
"G0021","to exult","meaning_tree","Could impact IB"
"G0021","rejoice exceedingly","meaning_tree","Could impact IB"
"G0021","to desire ardently","meaning_tree","IB related"
"G0023","to be indignant","mounce","Could impact IB"
"G0023","feel a violent irritation","lsj","IB related"
"G0023","ferment","lsj","Could impact IB"
"G0023","to be displeased","lsj","Could impact IB"
"G0023","vexed","lsj","Could impact IB"
"G0023","show outward signs of grief","lsj","IB related"
"G0023","to be vexed at","lsj","Could impact IB"
"G0023","with","lsj","Not relevant"
"G0023","to be angry at","lsj","Could impact IB"
"G0023","to be indignant","meaning_tree","Could impact IB"
"G0023","to be pained","meaning_tree","Could impact IB"
"G0023","to be angry","meaning_tree","Could impact IB"
"G0023","vexed","meaning_tree","Could impact IB"
"G0023","to manifest indignation","meaning_tree","IB related"
"G0024","indignation","mounce","IB related"
"G0024","physical pain and irritation","lsj","IB related"
"G0024","vexation","lsj","IB related"
"G0024","wrath","lsj","IB related"
"G0024","indignation","meaning_tree","IB related"
"G0025","to love","mounce","IB related"
"G0025","each other","mounce","Not relevant"
"G0025","and even enemies","mounce","Could impact IB"
"G0025","greet with affection","lsj","IB related"
"G0025","show affection for","lsj","IB related"
"G0025","to be regarded with affection","lsj","IB related"
"G0025","love","lsj","IB related"
"G0025","to be fond of","lsj","Could impact IB"
"G0025","persuade","lsj","Could impact IB"
"G0025","entreat","lsj","Could impact IB"
"G0025","caress","lsj","Could impact IB"
"G0025","pet","lsj","Could impact IB"
"G0025","prize","lsj","Could impact IB"
"G0025","desire","lsj","IB related"
"G0025","prefer","lsj","Could impact IB"
"G0025","highly prized","lsj","Could impact IB"
"G0025","precious stones","lsj","Could impact IB"
"G0025","to be well pleased","lsj","Could impact IB"
"G0025","contented","lsj","Could impact IB"
"G0025","to be well content","lsj","Could impact IB"
"G0025","to be contented with","lsj","Could impact IB"
"G0025","tolerate","lsj","Could impact IB"
"G0025","put up with","lsj","Not relevant"
"G0025","may be content with","lsj","Could impact IB"
"G0025","to be content","lsj","Could impact IB"
"G0025","to be fond","lsj","Could impact IB"
"G0025","wont","lsj","Could impact IB"
"G0025","to love","meaning_tree","IB related"
"G0025","each other","meaning_tree","Not relevant"
"G0025","and even enemies","meaning_tree","Could impact IB"
"G0025","value","meaning_tree","Could impact IB"
"G0025","esteem","meaning_tree","Could impact IB"
"G0025","be faithful towards","meaning_tree","IB related"
"G0025","to delight in","meaning_tree","IB related"
"G0026","love","mounce","IB related"
"G0026","each other","mounce","Not relevant"
"G0026","and even enemies","mounce","Could impact IB"
"G0026","love feast","mounce","IB related"
"G0026","love","lsj","IB related"
"G0026","brotherly love","lsj","IB related"
"G0026","charity","lsj","Could impact IB"
"G0026","love-feast","lsj","Could impact IB"
"G0026","alms","lsj","Could impact IB"
"G0026","love","meaning_tree","IB related"
"G0026","each other","meaning_tree","Not relevant"
"G0026","and even enemies","meaning_tree","Could impact IB"
