question_code,window,obs_count,question_text
M0.1.1,meaning,846,"What is the characteristic called in the programme, and what does the name signal about its essential nature?"
M0.5.1,meaning,803,"What are the primary Hebrew and Greek terms for this characteristic, and what do their root meanings show?"
M0.6.5,relational,769,What role does this characteristic play in relation to the OTHER M-code characteristics present in this verse? Build on whatever earlier cluster-passes over this SAME verse already found (given as prior context) -- do not re-derive or duplicate their findings; the focus shifts to what THIS characteristic's own vantage point adds. Record none if no other M-code characteristic is present.
M0.5.11,meaning,681,"Where this occurrence's surface form/contextual sense diverges from the base lemma's general stepGloss, what nuance is that divergence carrying in THIS context, what is its impact here, and how does it compare against the word's other occurrences? Record none if this occurrence sits squarely within the base gloss with no notable shift."
D7.7.1,action-impact,598,"Where this verse contains an action or movement word tagged as an Operation in the cluster's role classification (the tag is `role-T3` in `cluster.cluster_code` -- consult that tagging directly, not this question's own memory of it), what is that word's relation to the parties present -- who initiates it and toward whom or what is it directed? Record none if no such operation word is present."
M0.5.2,meaning,246,"What is the grammatical range of the primary term (noun, verb, adjective, participle), and what does that range show about how the characteristic operates?"
M0.1.2,meaning,240,What do the primary Hebrew and Greek terms show at the definitional level?
M0.1.3,meaning,239,"What directional, relational, or constitutional implication does the name carry?"
M0.5.3,meaning,230,"What is the semantic range of the primary term — across what breadth of meaning does it operate, including any idiomatic, analogical, or otherwise implied meaning carried by its use in combination with other terms?"
M0.5.5,meaning,220,"Does the vocabulary include a term for the structural opposite or absence of this characteristic? Record it, or none."
M0.5.6,meaning,219,"Does the vocabulary include a person-type term — one for the person who habitually possesses or exercises this characteristic? Record it, or none."
M0.5.10,meaning,216,What does the full vocabulary arc show about the characteristic's complete semantic range?
M0.5.7,meaning,215,"Does the vocabulary include a supplication or seeking term — one for the act of seeking this characteristic from another? Record it, or none."
M0.5.4,meaning,214,"Does the vocabulary include terms distinguishing distinct aspects — disposition versus act, received versus given, condition versus quality? Record which, or none."
M0.5.8,meaning,213,What does the relationship between the OT Hebrew and NT Greek vocabulary show about continuity or development of the characteristic across the Testaments?
M0.5.9,meaning,212,"Is there a term newly coined in the NT period for this characteristic; if so, what does the coinage show? Record it, or none."
D2.1.1,affective,28,"In this verse, what is the felt quality of the characteristic -- is it shown as a settled disposition or a transient response, and what emotion-language or bodily-feeling language, if any, accompanies it? Record it, or record none."
D1.1.1,cognitive,24,"In this verse, what does the characteristic reveal about the person's perception, belief, or judgement -- what do they perceive, believe true, or conclude? Record it, or record none."
D3.1.3,operational,16,"Does the characteristic operate through a communicative or speech-based mode (commanded, addressed, spoken); if so, how? Record it, or record none."
D10.1.2,action-impact,15,"Across the evidence, is there any orientation toward a future fullness — something the person moves toward, not only what they currently are? Record it, or record none."
D10.4.2,action-impact,15,Is the transformation reversible or irreversible in the evidence?
D3.2.2,operational,15,"Under what inner conditions is the characteristic blocked, distorted, resisted, or not taken up — including, where the evidence shows it, distortion or interference by another spirit (adversarial or angelic)?"
M0.2.1,meaning,15,"What kind of inner-being phenomenon is the characteristic — an act, a disposition, a condition/status, a quality, or something else?"
D1.1.2,cognitive,14,"Across the verses, does the characteristic consistently precede a judgement or belief, follow one, or both?"
D10.2.2,action-impact,14,"Across the verses, is that immediate response consistent or varied?"
D10.3.2,action-impact,14,How does the sustained effect differ from the immediate response (D10.2)?
D10.6.2,action-impact,14,"Does the mechanism differ across contexts in the evidence; if so, how?"
D11.1.1,origin,14,"Across the evidence, does the characteristic's role read as belonging to created design, to the fallen condition, to both, or as not determinable?"
D2.1.2,affective,14,"Across the verses, is the felt quality consistent, or does it vary by context?"
D3.1.2,operational,14,"Does the mode of operation vary by context, direction, or constitutional level; if so, how?"
D3.2.1,operational,14,Under what inner conditions does the characteristic take hold or operate rightly?
D4.1.1,relational,14,"Does the evidence show the characteristic operating differently within existing relational bonds versus across relational distance or difference; if so, how?"
D4.1.2,relational,14,"Does the characteristic operate within covenantal contexts only, or does it cross covenantal boundaries, as the evidence shows?"
D4.1.3,relational,14,What does the evidence show about the relational scope of the characteristic — who is included and who is not?
D5.1.2,relational,14,What does the pattern of presence/absence found in D5.1.1 indicate for the characteristic's place in the human person and in the divine image?
D5.3.1,relational,14,"From the characteristic's God-relation (D5.1/D7.6) and its role (D10.1/D11.1), what aspect of the divine likeness, if any, does it instantiate in the person? Record the aspect, or record none."
D5.3.2,relational,14,"Across the evidence, is the characteristic shared between God and the person, or an exclusively creaturely analogue to something in God?"
D5.3.3,relational,14,"Where the characteristic is present or absent in a person, what does that indicate about the condition of the divine image in them — or is no such indication evidenced?"
D6.1.2,constitutional,14,"Across the verses, what does the pattern of engaged and absent levels indicate — the characteristic's depth and seat, the levels it never engages, and (for any body link) whether the link is emphatic, functional, expressive, indicative, or mediating?"
D6.2.1,constitutional,14,"Where a body link exists (from the D6.1.1 audit), in which direction does it run — soul/spirit expressing through the body, the body feeding back to the soul, or both — and what follows from that direction? If no body link, record none."
D6.3.1,constitutional,14,"Does the characteristic move across constitutional levels (spirit→soul→body), or onto the person from an external source — including another spirit (angelic or adversarial) — or in another direction; and if so in what sequence or pattern? If no movement, record none."
D7.1.2,relational,14,"On what basis does God extend the characteristic — conditional, unconditional, covenantal, or responsive — as the evidence shows?"
D7.3.2,relational,14,What inner conditions accompany or block uptake of the characteristic from another person?
D7.5.2,origin,14,"Across the verses, is the origin single or multiple, and does it change with context?"
