question_code,section,scope,tier,window,status,deleted,mechanism,covering_stage,live_observation_count,live_observations_by_stage,accuracy_note,question_text
D1.1.1,D1,Characteristic (HIB behaviour),D1,cognitive,active,0,DYNAMIC-STAGE4,char-answers,24,char-answers=24,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","In this verse, what does the characteristic reveal about the person's perception, belief, or judgement -- what do they perceive, believe true, or conclude? Record it, or record none."
D1.1.2,D1,Characteristic (HIB behaviour),D1,cognitive,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, does the characteristic consistently precede a judgement or belief, follow one, or both?"
D10.1.1,T0 — Divine Image and Created Design,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","Does this verse state any purpose, role, or effect the characteristic serves in the person — what it leads the person to be, do, or become? Record it if stated; otherwise record none."
D10.1.2,T0 — Divine Image and Created Design,Other non-human beings,D10,action-impact,active,0,DYNAMIC-STAGE4,char-answers,15,char-answers=15,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the evidence, is there any orientation toward a future fullness — something the person moves toward, not only what they currently are? Record it, or record none."
D10.2.1,T1 — Definition,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","What first or most immediate inner-being response does this verse show following the characteristic? Record it, or record none."
D10.2.2,T1 — Definition,Characteristic (HIB behaviour),D10,action-impact,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.","Across the verses, is that immediate response consistent or varied?"
D10.3.1,T1 — Definition,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","What does the characteristic produce in the inner being over time in this verse — what states, qualities, capacities, or orientations does it establish? Record it, or record none."
D10.3.2,T1 — Definition,Characteristic (HIB behaviour),D10,action-impact,active,0,DYNAMIC-STAGE4,char-answers,14,char-answers=14,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",How does the sustained effect differ from the immediate response (D10.2)?
D10.4.1,T5 — Formative and Developmental Dimension,Verse-context,D10,action-impact,active,0,STRUCTURALLY-UNREACHABLE,none,0,,"scope='Verse-context' is not selected by ANY stage's query, by prefix, exact code, or scope match -- no stage will ever answer this as the pipeline is currently built, regardless of how many clusters are processed. This is the core finding of escalation #1806.","In this verse, does the characteristic produce transformation in the person, and if so does it change the person's condition, their orientation to their condition, or both? Record none if no transformation is shown."
D10.4.2,T5 — Formative and Developmental Dimension,Characteristic (HIB behaviour),D10,action-impact,active,0,DYNAMIC-STAGE4,char-answers,15,char-answers=15,"scope-driven (scope IN the 4 characteristic-grain scopes), status='active', deleted=0 -- a new active question added under one of these 4 scopes is picked up automatically, no code change needed. Runs per cluster_subgroup, so only clusters that have actually reached char-answers (currently M49/M67/M83 only) have ever triggered it -- zero live observations elsewhere means 'not yet run', not 'unreachable'.",Is the transformation reversible or irreversible in the evidence?
