module,file_path,purpose,inactive,config_exempt,config_exempt_reason,crash_escalation_reviewed,crash_escalation_note
cfg,iba/app/lib/cfg.py,cfg.py — the runtime config reader. THE ONLY WAY THE APP READS CONFIG.,0,1,defines .setting()/.enum() itself — the config reader; cannot call its own accessor.,1,"IS the shared connection cfg/db.py's rollback net depends on — .close() (cfg.py:306) is the only place THIS module itself commits; a crash before that never reaches it. Reviewed together with db/escalation below, not a separate gap."
cfgcheck,iba/app/lib/cfgcheck.py,cfgcheck.py — the config-maintenance / validation utility for the app config.,0,1,validates the raw seed dict before any Cfg/DB object exists — structurally cannot call .setting()/.enum().,1,"No __main__, read-only (the pre-DB-migration JSON-seed checker, now largely superseded by configmaint.validate reading the live tables) — nothing to roll back."
cfgload,iba/app/lib/cfgload.py,cfgload.py — load the JSON SEEDS into the config tables in the DATABASE.,0,1,"writes the seed INTO the cfg_* tables (creates + populates them) — same class as migration/ scripts, already excluded from usage-checks for the same reason.",1,"GENUINE GAP: own __main__ (load(), cfgload.py:236), a single conn.commit() at the end (line 229) after ~17 CREATE TABLE statements plus every seeded row — no try/except anywhere. Same DDL-auto-commits-before-final-commit() exposure as the bootstrap_behaviour_rules_*/engine_migrate scripts, but higher-traffic: this is THE config bootstrap Start-Iba.ps1 runs every session (idempotent — skips once 'config already loaded' is detected, so a genuinely mid-crash partial load would self-heal on the next session start rather than silently persist, which is real mitigation but not a substitute for a crash record). Not fixed this round."
cfgquality,iba/app/lib/cfgquality.py,"cfgquality.py — shared config-quality checks, used by BOTH handlers/configmaint.py (the",0,1,"works directly against a raw sqlite3.Connection (not a Cfg wrapper), by design — usable from both configmaint.py (has a Cfg) and cfgreport.py (doesn't); queries cfg_setting/cfg_enum via raw SQL, not Cfg's convenience methods. Found 2026-07-30 only after fixing this same check's own text-collision false negative for this file — same class of legitimate zero as the other 11, not an oversight.",1,"No __main__, read-only (every find_* function is a SELECT-only check) — nothing to roll back."
cfgreport,iba/app/lib/cfgreport.py,"cfgreport.py — full-visibility config report, generated FROM the config store.",0,1,"generates reports by querying cfg_* tables directly; the paths it needs (out_path/db_path) are resolved by its caller (configmaint.report), not read here.",1,"No __main__, read-only (renders CONFIG-REPORT.md from live cfg_* SELECTs) — nothing to roll back."
db,iba/app/lib/db.py,db.py — the DATA layer. Built FROM the config in the database.,0,0,,1,"db.write()/update() never call .commit() themselves (only Db.close()/the module-level build helper at db.py:94 do) — by design, so a crash mid-handler rolls back the WHOLE transaction via run.py's except block, not a half-written row. This IS the mechanism every 'dispatcher-inherited' module above relies on."
dbsnapshot,iba/app/lib/dbsnapshot.py,dbsnapshot.py — pre-write DB snapshots. THE GAP FOUND 2026-07-22: this app had no rollback,0,0,,1,"Not a DB-row-write module at all — a plain file copy (shutil.copy2) of iba.db after flushing the WAL, called directly from run.py:_ensure_run (part of THIS app's own pre-write crash-safety infrastructure, not something reviewed for ITS own crash-recovery the same way a write-path module is). The one failure mode (WAL checkpoint failing) is already caught (dbsnapshot.py:50-54, sqlite3.Error) and treated as non-fatal — the snapshot is best-effort, never blocks the run it's protecting."
escalation,iba/app/lib/escalation.py,"escalation.py -- util.escalation. The authoritative record of open items in the project: errors, issues, and building tasks. All runtime errors are reported in it; both Claude and Researcher record emerging issues, tasks, followups as feedback or to get feedback. It pauses a running process and allows it to resume at resume_point when answered (dispatcher-tied), or tracks a backlog item through raise/update/correction (manual -- correction is error-correction only, escalation #774). Five types (task/issue/notice/run_error/config), each a distinct shape of life -- see USER-GUIDE.md sec4.",0,0,,1,"Its OWN crash-wrapper (main(), the CLI entry point) is D3's explicit subject — now from_id-aware (register v9, this build): a failing update/history command records which item it was operating on. Genuinely reviewed and fixed this round, not just noted."
lexiconparse,iba/app/lib/lexiconparse.py,"lexiconparse.py — the governed parse of the raw lexicon layer (strong_meaning_tree.sense_text,",0,0,,1,"No __main__, pure parse functions (regex/tag-set) — no DB write at all."
passagedebatereport,iba/app/lib/passagedebatereport.py,passagedebatereport.py — registers the passage-debate method (`WA-passage-read-guidance` +,0,0,,1,"No __main__, dispatcher-inherited (passagetrack.record_debate does the actual write)."
passagetrack,iba/app/lib/passagetrack.py,passagetrack.py — the completion-tracking record for the verse-fanout method (`report.,0,1,"receives an already-open cfg/connection from its caller; only checks cfg.may_write(), no settings/enums of its own.",1,"No __main__, dispatcher-inherited."
registryreport,iba/app/lib/registryreport.py,"registryreport.py — evaluate/review the `word_registry`: a summary, its join to `strong` (via",0,1,receives cfg.conn from its caller; no settings/enums of its own.,1,"No __main__, read-only report render — nothing to roll back."
reportkit,iba/app/lib/reportkit.py,"reportkit.py — shared report scaffold (title/ToC/sections/footer) + archive-on-write, reading",0,1,"Its one cfg.setting() call site (inside oneoff_path()) moved to lib/filingkit.py 2026-08-28 (escalation #971/#992) when oneoff_path() became a thin delegating wrapper -- reportkit.py itself now only reads cfg_report/cfg_report_section via raw conn.execute() (render_scaffold/write_report), never through a Cfg wrapper method. Legitimate zero, same shape as retention.py/seedreport.py.",1,"No __main__; a shared library of render/archive HELPERS (render_scaffold, archive_before_write, oneoff_path) used by every report module above — no independent write path of its own to review beyond theirs."
retention,iba/app/lib/retention.py,retention.py — log growth / run-health visibility for the append-only audit tables,0,1,"receives cfg.conn from its caller; its own setting (retention.snapshot_keep_count) is read by dbsnapshot.py, not here.",1,"No __main__; write_report writes via db.write() (retention.py has a try/except around date parsing only, not the write itself) — dispatcher-inherited."
schemareport,iba/app/lib/schemareport.py,"schemareport.py — the IBA app's own DATA-schema snapshot, one of the four ""missing reports""",0,1,receives cfg.conn from its caller; no settings/enums of its own.,1,"No __main__, read-only report render — nothing to roll back."
seedreport,iba/app/lib/seedreport.py,"seedreport.py — analysis of `candidate_seed`, one of the four ""missing reports"" from",0,1,receives cfg.conn from its caller; no settings/enums of its own.,1,"No __main__, read-only report render — nothing to roll back."
spanreport,iba/app/lib/spanreport.py,"spanreport.py — analysis of the span layer (`span` + `span_candidate`), one of the four",0,1,receives cfg.conn from its caller; no settings/enums of its own.,1,"No __main__, read-only report render — nothing to roll back."
